grp_raw;grp1;grp2;grp3;item_raw;item_class;item_ord_cor;item_cor
Fish;Fish;Fish;Actinopterygii;Holocentrus_sp;Actinopterygii;Holocentriformes;Holocentrus sp
Fish;Fish;Fish;Actinopterygii;Hypoplectrus_puella;Actinopterygii;Perciformes;Hypoplectrus puella
Fish;Fish;Fish;Actinopterygii;Jenkinsia_lamprotaenia;Actinopterygii;Clupeiformes;Jenkinsia lamprotaenia
Fish;Fish;Fish;Actinopterygii;Lactophrys_sp;Actinopterygii;Tetraodontiformes;Lactophrys sp
Fish;Fish;Fish;Actinopterygii;Lutjanus_sp;Actinopterygii;Lutjaniformes;Lutjanus sp
Fish;Fish;Fish;Actinopterygii;Microspathodon_chrysurus;Actinopterygii;Perciformes;Microspathodon chrysurus
Fish;Fish;Fish;Actinopterygii;Muraena_miliaris;Actinopterygii;Anguilliformes;Gymnothorax miliaris
Fish;Fish;Fish;Actinopterygii;Muraenidae;Actinopterygii;Anguilliformes;Muraenidae
Fish;Fish;Fish;Actinopterygii;Pomacentridae;Actinopterygii;Perciformes;Pomacentridae
Fish;Fish;Fish;Actinopterygii;Pomacentrus_fuscus;Actinopterygii;Perciformes;Stegastes fuscus
Fish;Fish;Fish;Actinopterygii;Priacanthus_cruentatus;Actinopterygii;Priacanthiformes;Heteropriacanthus cruentatus
Fish;Fish;Fish;Actinopterygii;Scarus_sp;Actinopterygii;Labriformes;Scarus sp
Fish;Fish;Fish;Actinopterygii;Scarus_vetula;Actinopterygii;Labriformes;Scarus vetula
Fish;Fish;Fish;Actinopterygii;Sparisoma_aurofrenatum;Actinopterygii;Labriformes;Sparisoma aurofrenatum
Fish;Fish;Fish;Actinopterygii;Synodontidae;Actinopterygii;Aulopiformes;Synodontidae
Fish;Fish;Fish;Actinopterygii;Synodus_intermedius;Actinopterygii;Aulopiformes;Synodus intermedius
Crab;Crab;Crab;Malacostraca;Calappa_sp;Malacostraca;Decapoda;Calappa sp
Crab;Crab;Crab;Malacostraca;Calappa_flammea;Malacostraca;Decapoda;Calappa flammea
Crab;Crab;Crab;Malacostraca;Macrocoelema_sp;Malacostraca;Decapoda;Macrocoelema sp
Crab;Crab;Crab;Malacostraca;Mithrax_cinctimanus;Malacostraca;Decapoda;Mithrax cinctimanus
Crab;Crab;Crab;Malacostraca;Mithrax_verrucosus;Malacostraca;Decapoda;Mithrax verrucosus
Stomatopods;Stomatopoda;Stomatopoda;Malacostraca;Pseudosquilla_ciliata;Malacostraca;Stomatopoda;Pseudosquilla ciliata
Spiny_lobster;Palinuridae;Palinuridae;Malacostraca;Spiny_lobster;Malacostraca;Decapoda;Palinuridae
Spiny_lobster;Palinuridae;Palinuridae;Malacostraca;Panulirus_guttatus;Malacostraca;Decapoda;Panulirus guttatus
Gastropods;Gastropoda;Gastropoda;Gastropoda;Gastropods;Gastropoda;Littorinimorpha;Strombus gigas
Hermit_crab;Paguroidea;Paguroidea;Malacostraca;Paguristes_depressus;Malacostraca;Decapoda;Paguristes depressus
Hermit_crab;Paguroidea;Paguroidea;Malacostraca;Petrochirus_diogenes;Malacostraca;Decapoda;Petrochirus diogenes
Pelecypods;Bivalvia;Bivalvia;Bivalvia;Barbatia_cancellaria;Bivalvia;Arcoida;Barbatia cancellaria
Shrimp;Shrimp;Shrimp;Malacostraca;Periclimenes_sp;Malacostraca;Decapoda;Periclimenes sp
Crab;Crab;Crab;Malacostraca;Pilumnus_sp;Malacostraca;Decapoda;Pilumnus sp
Shrimp;Shrimp;Shrimp;Malacostraca;Brachycarpus_biunguiculatus;Malacostraca;Decapoda;Brachycarpus biunguiculatus
Fish;Fish;Fish;Actinopterygii;Fistularia_tabacaria;Actinopterygii;Syngnathiformes;Fistularia tabacaria
Fish;Fish;Fish;Actinopterygii;Scarus_croicensis;Actinopterygii;Labriformes;Scarus iseri
Fish;Fish;Fish;Actinopterygii;Acanthurus_bahianus;Actinopterygii;Acanthuriformes;Acanthurus bahianus
Fish;Fish;Fish;Actinopterygii;Acanthurus_coeruleus;Actinopterygii;Acanthuriformes;Acanthurus coeruleus
Fish;Fish;Fish;Actinopterygii;Odontoscion_dentex;Actinopterygii;Perciformes;Odontoscion dentex
Fish;Fish;Fish;Actinopterygii;Pomacentrus_planifrons;Actinopterygii;Perciformes;Stegastes planifrons
Fish;Fish;Fish;Actinopterygii;Abudefduf_saxatilis;Actinopterygii;Perciformes;Abudefduf saxatilis
Fish;Fish;Fish;Actinopterygii;Caranx_ruber;Actinopterygii;Carangiformes;Caranx ruber
Fish;Fish;Fish;Actinopterygii;Holocentridae;Actinopterygii;Holocentriformes;Holocentridae
Fish;Fish;Fish;Actinopterygii;Monacanthidae;Actinopterygii;Tetraodontiformes;Monacanthidae
Fish;Fish;Fish;Actinopterygii;Serranidae;Actinopterygii;Perciformes;Serranidae
Squids;Cephalopoda;Cephalopoda;Cephalopoda;Sepiatheuthis_sepioidae;Cephalopoda;Teuthida;Sepiatheuthis sepioidae
Shrimp;Shrimp;Shrimp;Malacostraca;Tozeuma_sp;Malacostraca;Decapoda;Tozeuma sp
Copepods;Copepoda;Copepoda;Hexanauplia;Eucalanus_attenuatus;Hexanauplia;Calanoida;Eucalanus attenuatus
Copepods;Copepoda;Copepoda;Hexanauplia;Eucalanus_monachus;Hexanauplia;Calanoida;Eucalanus monachus
Copepods;Copepoda;Copepoda;Hexanauplia;Euchaeta_marina;Hexanauplia;Calanoida;Euchaeta marina
Copepods;Copepoda;Copepoda;Hexanauplia;Paracalanus_sp;Hexanauplia;Calanoida;Paracalanus sp
Copepods;Copepoda;Copepoda;Hexanauplia;Remora_stylifera;Hexanauplia;Calanoida;Temora stylifera
Tunicates;Tunicata;Tunicata;Tunicata;Salps;Thaliacea;Salpida;Salpidae
Shrimp;Shrimp;Shrimp;Malacostraca;Lucifer_faxani;Malacostraca;Decapoda;Lucifer faxani
Gastropods;Zooplankton;Gastropoda;Zooplankton;Gastropoda_larvae;Gastropoda;NA;Gastropoda
Eggs_unid;Zooplankton;Eggs;Zooplankton;Eggs_unid;NA;NA;Eggs
Fish;Fish;Fish;Actinopterygii;Apogon_pigmentarius;Actinopterygii;Kurtiformes;Phaeoptyx pigmentaria
Fish;Fish;Fish;Actinopterygii;Coryphopterus_sp;Actinopterygii;Gobiiformes;Coryphopterus sp
Fish;Fish;Fish;Actinopterygii;Coryphopterus_personatus;Actinopterygii;Gobiiformes;Coryphopterus personatus
Copepods;Copepoda;Copepoda;Hexanauplia;Corycaeus_amazonicus;Hexanauplia;Poecilostomatoida;Corycaeus amazonicus
Copepods;Copepoda;Copepoda;Hexanauplia;Euterpina_acutifrons;Hexanauplia;Harpacticoida;Euterpina acutifrons
Copepods;Copepoda;Copepoda;Hexanauplia;Paracalanus_parvus;Hexanauplia;Calanoida;Paracalanus parvus
Fish;Fish;Fish;Actinopterygii;Halichoeres_poeyi;Actinopterygii;Labriformes;Halichoeres poeyi
Crab;Crab;Crab;Malacostraca;Petrolisthes_polita;Malacostraca;Decapoda;Petrolisthes polita
Isopods;Isopoda;Isopoda;Malacostraca;Gnathiids;Malacostraca;Isopoda;Gnathiidae
Crustacea;Zooplankton;Crustacea;Zooplankton;Planktonic_crustacea;NA;NA;Crustacea
Copepods;Copepoda;Copepoda;Hexanauplia;Centropages_hamatus;Hexanauplia;Calanoida;Centropages hamatus
Copepods;Copepoda;Copepoda;Hexanauplia;Euchaeta_mari;Hexanauplia;Calanoida;Euchaeta marina
Copepods;Copepoda;Copepoda;Hexanauplia;Scolecithrix_danae;Hexanauplia;Calanoida;Scolecithrix danae
Isopods;Isopoda;Isopoda;Malacostraca;Flabellifera;Malacostraca;Isopoda;Flabellifera
Isopods;Isopoda;Isopoda;Malacostraca;Stenetrium_sp;Malacostraca;Isopoda;Stenetrium sp
Amphiopods;Amphipoda;Amphipoda;Malacostraca;Amphipoda;Malacostraca;Amphipoda;Amphipoda
Tanaids;Tanaidacea;Tanaidacea;Malacostraca;Tanaid;Malacostraca;Tanaidacea;Tanaidacea
Shrimp;Zooplankton;Shrimp;Zooplankton;Alpheids_larvae;Malacostraca;Decapoda;Alpheidae
Polychaetes;Annelida;Polychaeta;Polychaeta;Opheliids;Polychaeta;NA;Opheliidae
Fish;Fish;Fish;Actinopterygii;Dactylopterus_volitans_larvae;Actinopterygii;Syngnathiformes;Dactylopterus volitans
Fish;Fish;Fish;Actinopterygii;Lactophrys_sp_larvae;Actinopterygii;Tetraodontiformes;Lactophrys sp
Polychaeta;Annelida;Polychaeta;Polychaeta;Eunicids;Polychaeta;Eunicida;Eunicidae
Fish;Fish;Fish;Actinopterygii;Jenkinsia_sp_larvae;Actinopterygii;Clupeiformes;Jenkinsia sp
Fish;Fish;Fish;Actinopterygii;Tetraodontidae_larvae;Actinopterygii;Tetraodontiformes;Tetraodontidae
Crab;Crab;Crab;Malacostraca;Oxystomata;Malacostraca;Decapoda;Oxystomata
Stomatopods;Stomatopoda;Stomatopoda;Malacostraca;Squilla_hyalina;Malacostraca;Stomatopoda;Squilla hyalina
Octopuses;Cephalopoda;Cephalopoda;Cephalopoda;Octopoda_larvae;Cephalopoda;Octopoda;Octopoda
Copepods;Copepoda;Copepoda;Hexanauplia;Miracia_efferata;Hexanauplia;Harpacticoida;Miracia efferata
Copepods;Copepoda;Copepoda;Hexanauplia;Nannocalanus_minor;Hexanauplia;Calanoida;Nannocalanus minor
Copepods;Copepoda;Copepoda;Hexanauplia;Rhyncalanus_cornutus;Hexanauplia;Calanoida;Rhincalanus cornutus
Siphonophores;Hydrozoa;Hydrozoa;Hydrozoa;Siphonophores;Hydrozoa;Siphonophorae;Siphonophorae
Crab;Crab;Crab;Malacostraca;Parthenope_serrata;Malacostraca;Decapoda;Parthenope serrata
Crab;Crab;Crab;Malacostraca;Petrolisthes_sp;Malacostraca;Decapoda;Petrolisthes sp
Crab;Crab;Crab;Malacostraca;Ranilia_muricata;Malacostraca;Decapoda;Ranilia muricata
