grp_raw;grp1;grp2;grp3;item_raw;item_class;item_ord_cor;item_cor
Echinoids;Echinoidea;Echinoidea;Echinoidea;Clypeaster_sp;Echinoidea;Clypeasteroida;Clypeaster sp
Echinoids;Echinoidea;Echinoidea;Echinoidea;Lytechinus_variegatus;Echinoidea;Temnopleuroida;Lytechinus variegatus
Echinoids;Echinoidea;Echinoidea;Echinoidea;Moira_atropus;Echinoidea;Spatangoida;Moira atropus
Polychaeta;Annelida;Polychaeta;Polychaeta;Arabellids;Polychaeta;Eunicida;Arabellidae
Crab;Crab;Crab;Malacostraca;Albunea_gibbesii;Malacostraca;Decapoda;Albunea gibbesii
Crab;Crab;Crab;Malacostraca;Sesarma_sp;Malacostraca;Decapoda;Sesarma sp
Pelecypods;Bivalvia;Bivalvia;Bivalvia;Pinnidae;Bivalvia;Pterioida;Pinnidae
Ophiurids;Ophiuroidea;Ophiuroidea;Ophiuroidea;Amphiura_fibulata;Ophiuroidea;Ophiurida;Amphiura fibulata
Shrimp;Shrimp;Shrimp;Malacostraca;Axiidae;Malacostraca;Decapoda;Axiidae
Gastropods;Gastropoda;Gastropoda;Gastropoda;Gastropods;Gastropoda;Neogastropoda;Oliva sp
Stomatopods;Stomatopoda;Stomatopoda;Malacostraca;Squilla_tricarinata;Malacostraca;Stomatopoda;Squilla tricarinata
Priapuloids;Priapulida;Priapulida;Priapulida;Priapuloids;Priapulida;NA;Priapulida
Scaphopods;Scaphopoda;Scaphopoda;Scaphopoda;Scaphopods;Scaphopoda;NA;Scaphopoda
Scaphopods;Scaphopoda;Scaphopoda;Scaphopoda;Dentalium_semistriolatum;Scaphopoda;Dentaliida;Dentalium semistriolatum
Bryozoa;Bryozoa;Bryozoa;Bryozoa;Bryozoa;NA;NA;Bryozoa
