"","Abudefduf saxatilis","Abudefduf taurus","Acanthostracion polygonius","Acanthostracion quadricornis","Acanthurus bahianus","Acanthurus chirurgus","Acanthurus coeruleus","Aetobatus narinari","Alphestes afer","Aluterus schoepfii","Aluterus scriptus","Amblycirrhitus pinos","Anisotremus surinamensis","Anisotremus virginicus","Antennarius multiocellatus","Antennarius striatus","Apogon maculatus","Archosargus rhomboidalis","Atherinomorus stipes","Aulostomus maculatus","Balistes vetula","Bodianus rufus","Bothus lunatus","Bothus ocellatus","Calamus bajonado","Calamus calamus","Calamus pennatula","Cantherhines macrocerus","Cantherhines pullus","Canthidermis sufflamen","Canthigaster rostrata","Carangoides bartholomaei","Caranx crysos","Caranx latus","Caranx ruber","Centropyge argi","Cephalopholis cruentata","Cephalopholis fulva","Chaetodipterus faber","Chaetodon capistratus","Chaetodon sedentarius","Chilomycterus antennatus","Chromis cyanea","Chromis multilineata","Clepticus parrae","Coryphopterus glaucofraenum","Dactylopterus volitans","Dasyatis americana","Decapterus punctatus","Diodon holocanthus","Diodon hystrix","Diplodus caudimacula","Echeneis naucrates","Echidna catenata","Entomacrodus nigricans","Epinephelus adscensionis","Epinephelus guttatus","Epinephelus itajara","Epinephelus striatus","Equetus lanceolatus","Equetus punctatus","Eucinostomus argenteus","Euthynnus alletteratus","Gerres cinereus","Ginglymostoma cirratum","Gnatholepis thompsoni","Gobioclinus guppyi","Gymnothorax moringa","Gymnothorax vicinus","Haemulon album","Haemulon aurolineatum","Haemulon carbonarium","Haemulon chrysargyreum","Haemulon flavolineatum","Haemulon macrostomum","Haemulon parra","Haemulon plumierii","Haemulon sciurus","Haemulon vittatum","Halichoeres bivittatus","Halichoeres garnoti","Halichoeres maculipinna","Halichoeres poeyi","Halichoeres radiatus","Harengula clupeola","Harengula humeralis","Hemiramphus balao","Hemiramphus brasiliensis","Heteroconger longissimus","Heteropriacanthus cruentatus","Holacanthus ciliaris","Holacanthus tricolor","Holocentrus adscensionis","Holocentrus rufus","Hypoatherina harringtonensis","Hypoplectrus aberrans","Hypoplectrus chlorurus","Hypoplectrus nigricans","Hypoplectrus puella","Jenkinsia lamprotaenia","Kyphosus incisor","Kyphosus sectatrix","Labrisomus nuchipinnis","Lachnolaimus maximus","Lactophrys bicaudalis","Lactophrys trigonus","Lactophrys triqueter","Lutjanus analis","Lutjanus apodus","Lutjanus cyanopterus","Lutjanus griseus","Lutjanus jocu","Lutjanus mahogoni","Malacanthus plumieri","Melichthys niger","Microspathodon chrysurus","Monacanthus ciliatus","Monacanthus tuckeri","Mugil curema","Mulloidichthys martinicus","Mycteroperca bonaci","Mycteroperca interstitialis","Mycteroperca tigris","Mycteroperca venenosa","Myrichthys breviceps","Myrichthys ocellatus","Myripristis jacobus","Neoniphon marianus","Ocyurus chrysurus","Odontoscion dentex","Ogcocephalus nasutus","Oligoplites saurus","Ophichthus ophis","Ophioblennius atlanticus","Opisthonema oglinum","Opistognathus aurifrons","Opistognathus maxillosus","Opistognathus whitehursti","Parablennius marmoreus","Paranthias furcifer","Pareques acuminatus","Pempheris schomburgkii","Phaeoptyx conklini","Platybelone argalus","Pomacanthus arcuatus","Pomacanthus paru","Priacanthus arenatus","Prognathodes aculeatus","Pseudupeneus maculatus","Remora remora","Rypticus saponaceus","Sargocentron coruscum","Sargocentron vexillarium","Scartella cristata","Scarus coelestinus","Scarus guacamaia","Scarus iseri","Scarus taeniopterus","Scarus vetula","Scomberomorus cavalla","Scomberomorus regalis","Scorpaena brasiliensis","Scorpaena grandicornis","Scorpaena inermis","Scorpaena plumieri","Scorpaenodes caribbaeus","Selar crumenophthalmus","Seriola dumerili","Serranus tigrinus","Sparisoma aurofrenatum","Sparisoma chrysopterum","Sparisoma radians","Sparisoma rubripinne","Sparisoma viride","Sphoeroides spengleri","Sphyraena barracuda","Sphyraena picudilla","Stegastes fuscus","Stegastes leucostictus","Stegastes planifrons","Stegastes variabilis","Strongylura timucu","Synodus foetens","Synodus intermedius","Thalassoma bifasciatum","Trachinotus falcatus","Trachinotus goodei","Tylosurus acus","Tylosurus crocodilus","Xyrichtys novacula","Xyrichtys splendens"
"Porifera",0,0,0.156,0.346892655367232,0,0,0,0,0,0,0.004,0,0.000810701256586948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.865,0.577570093457944,0,0.176678445229682,0,0,0,0,0,0,0,0.327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00105485232067511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.066079295154185,0,0,0,0,0,0,0,0,0.00211864406779661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.725956566701138,0.748,0,0,0,0,0,0,0,0,0.00100806451612903,0,0,0.015,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004,0.001,0,0,0,0,0,0,0.0234806629834254,0,0,0,0,0,0,0,0,0,0
"Priapulida",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00843881856540084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pteropoda",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.249705535924617,0,0,0.0121334681496461,0.084,0,0,0,0,0,0,0,0,0,0.0164102564102564,0.192577733199599,0,0,0,0.0638297872340425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0.356009070294785,0,0.045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0566426364572606,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0528497409326425,0,0,0,0,0,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pycnogonida",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0141342756183746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0225118483412322,0,0,0,0,0,0
"Scaphopoda",0,0,0,0,0,0,0,0,0,0,0,0,0,0.00210748155953635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00210970464135021,0.0043859649122807,0,0,0.00820512820512821,0,0.00201816347124117,0,0.0021505376344086,0,0,0,0.00205549845837616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00407331975560082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0625698324022346,0
"Scleractinia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00816326530612245,0,0,0,0,0,0,0,0.0130841121495327,0,0,0,0,0,0,0,0,0,0.023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00617919670442842,0.0233050847457627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00201612903225806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0.0144508670520231,0.0100502512562814,0.0234806629834254,0,0,0,0,0,0,0,0,0,0
"Scyphozoa",0,0,0,0.0282485875706215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0121278941565601,0,0,0,0,0,0,0,0,0,0,0,0,0
"Seagrass",0,0,0,0.0338983050847458,0.082,0.057,0.0682046138415246,0,0,0.67,0.09,0,0,0,0,0,0,0.446,0,0,0,0,0,0,0,0,0,0,0.0859813084112149,0,0.189634864546525,0,0,0,0,0,0,0,0.023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0,0,0.0952380952380952,0.0312174817898023,0.013215859030837,0,0,0,0,0,0,0,0.0453141091658084,0,0.171875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00103412616339193,0.001,0,0,0,0,0,0,0,0,0.0131048387096774,0.08,0,0.173,0.032,0,0,0,0,0,0,0,0,0,0,0.013,0.168,0.88,0.07,0.025,0.0600226500566251,0,0,0.0209481808158765,0,0.0653266331658292,0,0,0,0,0,0,0,0,0,0,0
"Shrimp",0,0,0.133333333333333,0.00338983050847458,0,0,0,0,0.0728831725616292,0,0.003,0.212701612903226,0.0233076611268747,0.154899894625922,0,0,0.561282932416953,0,0,0.265,0.0326530612244898,0.0617283950617284,0,0.240866035182679,0,0,0.0322222222222222,0,0.00186915887850467,0,0.0341578327444052,0,0,0.038,0.034034034034034,0,0.173,0.214953271028037,0,0,0,0.004,0,0,0,0,0.054,0.076,0,0,0,0,0,0.037,0,0.0458333333333333,0.108583247156153,0,0.0503018108651911,0.625,0.265806451612903,0.141657922350472,0,0.0455026455026455,0,0,0,0,0,0.0411392405063291,0.368421052631579,0.0410205102551276,0.170418006430868,0.0338461538461538,0,0.37941473259334,0.0632497273718648,0.10752688172043,0,0.0368421052631579,0.0636942675159236,0.0668036998972251,0,0,0,0,0,0,0.025,0.101214574898785,0,0,0.118568232662192,0.167037861915367,0,0.538745387453875,0.54876741693462,0.294,0.721,0,0,0,0.077,0,0,0.00312174817898023,0.0781938325991189,0.0234454638124363,0.0367021276595745,0,0.132,0,0.125,0.014957264957265,0.00617919670442842,0.0127118644067797,0.146205357142857,0,0,0.121181262729124,0,0,0,0.008,0,0.039360393603936,0.311728395061728,0.596309111880046,0.167875647668394,0.38,0,0,0,0,0.171,0,0.286,0.54,0,0.129207383279045,0.817877094972067,0,0,0,0,0,0.347,0,0.242222222222222,0,0.342,0.719424460431655,0,0,0,0,0,0,0,0,0.00404858299595142,1,0.857142857142857,0.910352187833511,0.187,0.724972497249725,0,0,0.731434384537131,0,0,0,0,0,0.0622876557191393,0,0,0.00992282249173098,0.00963391136801542,0,0.0117403314917127,0.04,0,0.005,0.0770142180094787,0,0,0,0.091,0.070391061452514,0
"Sipuncula",0,0,0,0,0,0,0,0,0,0,0,0,0,0.00421496311907271,0,0,0,0,0,0,0.036734693877551,0,0,0,0,0.006282722513089,0.0277777777777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0634920634920635,0,0,0,0,0,0.265822784810127,0,0.0485242621310655,0.0128617363344051,0.104615384615385,0,0,0.0905125408942203,0.032258064516129,0,0,0.00636942675159236,0.0092497430626927,0.0586245772266065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.172907488986784,0,0,0,0,0,0,0.0769230769230769,0,0,0,0,0,0.0692464358452139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0488888888888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Stomatopoda",0,0,0,0,0,0,0,0,0,0,0,0,0.0233076611268747,0.0495258166491043,0.125,0,0,0,0,0,0.00204081632653061,0.0123456790123457,0.114,0.0378890392422192,0,0,0.0166666666666667,0,0,0,0,0,0.0353892821031345,0,0.00600600600600601,0,0.089,0.128764278296989,0,0,0,0,0,0,0,0,0.193,0.02,0,0,0,0,0,0,0,0,0.171664943123061,0,0.0553319919517103,0,0.00387096774193548,0,0,0.0296296296296296,0,0,0,0,0,0.0147679324894515,0,0,0.0632368703108253,0.00717948717948718,0,0.00504540867810293,0,0.0473118279569893,0,0.0315789473684211,0,0,0.00225479143179256,0.00910010111223458,0,0,0,0,0,0,0,0,0,0.0044543429844098,0,0.0774907749077491,0,0.029,0.053,0,0,0,0,0,0,0,0,0.00815494393476045,0.0393617021276596,0,0,0,0,0.16025641025641,0,0,0,0,0,0.00814663951120163,0,0,0,0,0.07,0.153751537515375,0,0,0.0248704663212435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0355555555555556,0,0.083,0,0,0,0,0,0,0,0,0,0,0,0,0.080042689434365,0,0,0,0,0.0905391658189217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00947867298578199,0,0,0,0,0,0
"Tanaidacea",0,0,0,0,0,0,0,0,0,0,0,0.0141129032258064,0,0.0115911485774499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0356768100734523,0,0,0,0,0,0,0,0,0.00986842105263158,0,0,0,0,0,0.00327153762268266,0.000752688172043011,0,0,0,0.0154162384378212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0513392857142857,0.0428724544480171,0,0.00916496945010183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0330073349633252,0,0,0,0,0.0165837479270315,0.00222222222222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00828729281767956,0,0,0,0.0225118483412322,0,0,0,0,0,0
"Tunicata",0.0737279335410177,0,0.377333333333333,0.206779661016949,0,0,0,0,0,0,0.011,0,0,0.0158061116965227,0,0,0,0,0,0,0.0244897959183673,0,0,0,0,0,0,0,0.11214953271028,0,0.00706713780918728,0,0,0,0,0,0,0,0.126,0.0252403846153846,0,0,0.71218487394958,0.0328205128205128,0.0471414242728185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010752688172043,0,0,0,0,0,0,0,0,0,0,0.186,0,0.009,0,0,0,0,0,0,0,0,0,0,0,0,0,0.232142857142857,0.0468262226847034,0.0737885462555066,0,0,0,0,0,0,0,0.0185375901132853,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027979274611399,0,0,0,0,0,0.03,0,0,0,0,0.132464712269273,0,0,0.089242053789731,0,0.104446742502585,0.048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0101925254813137,0,0,0.00330760749724366,0.0279383429672447,0.0100502512562814,0,0,0,0,0,0,0,0,0,0,0
"Zoantharia",0.448598130841122,0.053,0,0.122033898305085,0,0,0,0,0,0,0.024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0317757009345794,0,0,0,0,0,0,0,0,0,0.185,0.463942307692308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.724137931034483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0455015511892451,0.049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0330760749724366,0,0.324958123953099,0,0,0,0,0,0,0,0,0,0,0
"Zooplankton",0.0820353063343718,0,0,0.00903954802259887,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0.035,0.378,0,0,0,0,0,0,0,0,0,0.00186915887850467,0.256772673733804,0,0,0,0,0,0,0,0,0.037,0.0769230769230769,0.0266808964781217,0,0.220588235294118,0.0297435897435897,0.107321965897693,0.1,0,0,0.207446808510638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.081140350877193,0,0.037513397642015,0,0,0,0,0,0.02,0,0,0.0164439876670093,0,0,0.35,0.0612244897959184,0.0861678004535147,0,0.043,0.0546558704453441,0,0,0,0,0.108,0,0,0,0,0.0637785800240674,0,0,0,0,0,0.0104058272632674,0.00330396475770925,0,0,0,0,0.0181634712411705,0,0,0.0164778578784758,0,0.0435267857142857,0.0718113612004287,0,0,0,0,0,0,0,0,0.268518518518518,0.0380622837370242,0.0362694300518135,0.012,0,0.013,0,0.005,0.141,0.117227319062181,0,0,0,0.00977198697068404,0.0256983240223464,0.707818930041152,0.438875305623472,0,0.015511892450879,0.001,0.031,0,0.00222222222222222,0.142857142857143,0,0,0.211382113821138,0,0,0,0,0,0,0,0,0,0,0,0,0,0.383,0,0,0,0,0,0,0,0.0237825594563986,0.019,0,0.0132304299889746,0.203275529865125,0.0402010050251256,0,0,0,0,0.0154028436018957,0,0,0.009,0,0,0.132631578947368
