"","Abudefduf sordidus","Acanthurus achilles","Acanthurus gahhm","Acanthurus lineatus","Acanthurus nigricans","Acanthurus nigroris","Acanthurus olivaceus","Acanthurus triostegus","Anyperodon leucogrammicus","Apogon sp","Arothron meleagris","Arothron nigropunctatus","Aspidontus taeniatus","Balistapus undulatus","Bathygobius fuscus","Blenniella chrysospilos","Blenniella paula","Bothus mancus","Canthigaster solandri","Carangoides ferdau","Cephalopholis argus","Cephalopholis urodeta","Chaetodon auriga","Chaetodon citrinellus","Chaetodon ephippium","Chaetodon trifascialis","Chaetodon vagabundus","Cheilinus chlorourus","Cheilinus oxycephalus","Cheilinus trilobatus","Cheilodipterus quinquelineatus","Chlorurus sordidus","Chromis atripectoralis","Chromis ternatensis","Chrysiptera biocellata","Chrysiptera brownriggii","Chrysiptera glauca","Cirrhitichthys aprinus","Cirripectes variolosus","Corythoichthys flavofasciatus","Crenimugil crenilabis","Ctenochaetus striatus","Dascyllus aruanus","Dinematichthys iluocoeteoides","Epinephelus fuscoguttatus","Epinephelus hexagonatus","Epinephelus howlandi","Epinephelus merra","Fistularia petimba","Gnathodentex aureolineatus","Gnatholepis anjerensis","Gobiodon erythrospilus","Gobiodon rivulatus","Gomphosus varius","Gymnothorax buroensis","Gymnothorax flavimarginatus","Gymnothorax margaritophorus","Gymnothorax pictus","Gymnothorax sp","Halichoeres hortulanus","Halichoeres margaritaceus","Halichoeres marginatus","Halichoeres melanurus","Halichoeres trimaculatus","Hemigymnus melapterus","Herklotsichthys quadrimaculatus","Heteropriacanthus cruentatus","Holocentrus sp","Hypoatherina ovalaua","Hypoatherina temminckii","Hyporhamphus affinis","Hyporhamphus dussumieri","Istigobius ornatus","Labroides dimidiatus","Lutjanus fulvus","Lutjanus gibbus","Lutjanus vitta","Macropharyngodon meleagris","Monotaxis grandoculis","Moringua macrochir","Mulloidichthys flavolineatus","Myripristis berndti","Myripristis violacea","Naso lituratus","Naso unicornis","Neomyxus leuciscus","Neoniphon argenteus","Neoniphon sammara","Ostorhinchus nigrofasciatus","Ostorhinchus novemfasciatus","Ostracion cubicus","Paracirrhites arcatus","Paracirrhites forsteri","Paragobiodon echinocephalus","Parapercis millepunctata","Parupeneus barberinus","Parupeneus cyclostomus","Parupeneus trifasciatus","Pempheris oualensis","Plectroglyphidodon dickii","Plectroglyphidodon lacrymatus","Plectroglyphidodon leucozonus","Plesiops coeruleolineatus","Plesiops nigricans","Polydactylus sexfilis","Pomacentrus pavo","Pomacentrus vaiuli","Pristiapogon exostigma","Pristiapogon kallopterus","Pseudocheilinus hexataenia","Pseudogramma polyacantha","Pterois radiata","Rhinecanthus aculeatus","Rhinecanthus rectangulus","Sargocentron diadema","Sargocentron microstoma","Sargocentron punctatissimum","Sargocentron spiniferum","Saurida gracilis","Scarus sp","Scorpaenopsis gibbosa","Selar crumenophthalmus","Siganus argenteus","Spratelloides delicatulus","Stegastes albifasciatus","Stegastes fasciolatus","Stegastes nigricans","Stethojulis balteata","Stethojulis sp","Synodus variegatus","Thalassoma hardwicke","Thalassoma lutescens","Thalassoma quinquevittatum","Thysanophrys sp","Trachinotus baillonii","Uropterygius xanthopterus","Valenciennea sexguttata","Valenciennea strigata","Zebrasoma velifer"
"Echinoidea",0,0,0,0,0,0,0,0,0,0,0,0,0,0.0530973451327434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0616740088105727,0,0.0891089108910891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105263157894737,0.0747663551401869,0,0,0,0,0.105263157894737,0
"Foraminifera",0.137339055793991,0,0.0901639344262295,0,0,0,0.0805369127516778,0.149659863945578,0.5,0,0,0,0,0,0,0.166666666666667,0.160633484162896,0,0.0487804878048781,0,0,0,0.0347490347490347,0,0,0,0,0,0,0,0,0,0,0,0.0677966101694915,0.258064516129032,0,0,0.130434782608696,0,0.231707317073171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.181818181818182,0,0.232835820895522,0.105263157894737,0.1,0.08,0,0.05,0,0,0,0.483050847457627,0.314685314685315,0,0.11734693877551,0,0,0,0,0.2,0,0.285714285714286,0.138613861386139,0,0,0,0,0.25,0,0,0,0,0.271255060728745,0,0,0,0,0.0745573159366263,0,0.117647058823529,0,0,0.135483870967742,0,0,0,0.217687074829932,0,0,0,0,0.384615384615385,0,0,0.176991150442478,0.103448275862069,0,0,0,0,0,0,0,0.287081339712919,0.285714285714286,0,0,0,0,0.139092872570194,0.0709219858156028,0,0.140845070422535,0,0,0,0,0,0.132612966601179,0,0
"Gastropoda",0,0,0,0,0,0,0.0805369127516778,0,0,0,0,0,0,0.106194690265487,0,0,0.0180995475113122,0,0,0,0,0,0.0347490347490347,0,0,0,0,0.425806451612903,0.4,0.159509202453988,0.236065573770492,0,0,0,0,0,0.0422535211267606,0,0.0434782608695652,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0.12,0,0,0.111111111111111,0,0,0,0,0,0.543478260869565,0.116417910447761,0.105263157894737,0,0,1,0,0,0,0,0.11864406779661,0,0,0.076530612244898,0,0,0.0867208672086721,0,0.6,0.440528634361233,0,0.0891089108910891,0,0,0,0,0,0,0.125,0,0,0.133603238866397,0,0,0,0,0,0,0.176470588235294,0,0,0.0903225806451613,0,0.361663652802893,0,0,0,0,0,0.0824175824175824,0,0,0,0.117256637168142,0,0.218446601941748,0.0671641791044776,0.5,0,0,0,0,0.205741626794258,0,0,0,0,0,0.0241900647948164,0.177304964539007,0,0,0.157894736842105,0.0747663551401869,0,0,0,0.0933202357563851,0,0
"Holothuroidea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0867208672086721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Inorganic",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.107142857142857,0,0,0,0,0,0,0,0,0,0,0,0.259259259259259,0,0,0,0,0,0,0,0,0,0,0,0,0.263657957244656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.311224489795918,0,0,0,0,0.2,0,0.214285714285714,0,0,0.10126582278481,0,0,0,0,0,0,0,0,0,0,0,0,0.0745573159366263,0,0,0,0,0,0,0.108499095840868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.267942583732057,0,0,0,0,0,0.114902807775378,0.319148936170213,0,0,0,0,0,0,0,0.353634577603143,0.478468899521531,0
"Insecta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142548596112311,0,0,0,0,0,0,0,0,0,0,0,0,0.109677419354839,0,0,0,0,0,0,0,0,0.0422535211267606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Medusozoa",0.0429184549356223,0,0,0,0,0,0,0,0,0,0,0,0,0.0265486725663717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0671641791044776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ophiuroidea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105263157894737,0,0,0,0,0,0,0
"Phytoplankton",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.171945701357466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0869565217391304,0,0.185975609756098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Polyplacophora",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0537313432835821,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Solenogastres",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0.281842818428184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0509708737864078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Stomatopoda",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.421166306695464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.290909090909091,0,0,0,0,0,0,0.15625,0,0,0,0.363636363636364,0,0,0,0,0.08,0,0,0.228055077452668,0,0,0,0,0,0,0,0.127340823970037,0,0.0967741935483871,0,0,0,0,0,0.20253164556962,0,0,0,0,0,0,0,0,0,0,0,0.180451127819549,0,0.350877192982456,0,0.141791044776119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.103448275862069,0,0.0671641791044776,0,0.263736263736264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tunicata",0,0,0,0,0,0,0,0,0,0,0,0,0,0.0530973451327434,0,0,0,0,0.0975609756097561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Worm",0.137339055793991,0,0,0,0,0,0,0,0,0,0,0,0,0,0.298056155507559,0,0,0,0.0487804878048781,0,0.1875,0,0.324324324324324,0.0833333333333333,0.0769230769230769,0,0,0.109677419354839,0,0,0,0,0,0,0.152542372881356,0.0806451612903226,0.0422535211267606,0.25,0,0,0,0,0,0,0,0.2,0,0,0,0.111111111111111,0,0.4,0.355450236966825,0,0,0,0,0,0,0.179347826086957,0.232835820895522,0.315789473684211,0.3,0.04,0,0.15,0.0989672977624785,0,0,0,0,0.268965517241379,0.23469387755102,0,0,0.0867208672086721,0.0967741935483871,0,0.0616740088105727,0.428571428571429,0.0726072607260726,0,0.20253164556962,0,0,0,0,0.125,0,0,0.202429149797571,0,0,0,0,0.540540540540541,0,0.0588235294117647,0.194029850746269,0,0,0,0,0,0.217687074829932,0,0.0731707317073171,0.25,0,0,0,0,0.0884955752212389,0.103448275862069,0.33495145631068,0.0671641791044776,0,0,0,0,0,0,0,0.169491525423729,0,0,0,0.36889848812095,0.0709219858156028,0,0,0.105263157894737,0,0,0,0,0.0785854616895874,0,0
"Zooplankton",0.0429184549356223,0,0,0,0,0,0,0.0680272108843537,0,0,0,0,0.5,0,0,0,0.126696832579186,0.140388768898488,0.0487804878048781,0,0,0,0.0579150579150579,0,0,0,0,0,0.2,0,0,0,0.423076923076923,0.740740740740741,0.096045197740113,0,0.0563380281690141,0.25,0.0869565217391304,1,0,0,0.41864406779661,0.129032258064516,0,0,0,0.145454545454545,0,0,0.28,0.6,0.473933649289099,0,0,0,0,0,0,0,0.116417910447761,0.368421052631579,0.2,0.0666666666666667,0,0.25,0.0301204819277108,0,1,0.279661016949153,0.213286713286713,0.141379310344828,0.224489795918367,0.7,0.247191011235955,0,0,0,0,0,0.0891089108910891,0,0.10126582278481,0,0,0,0,0.125,0,0.275985663082437,0.0647773279352227,0.16,0.30188679245283,0.67,0.0902255639097744,0.137931034482759,0.175438596491228,0.107843137254902,0.194029850746269,0,0.135483870967742,0.278008298755187,0,0.273458445040214,0,0.285714285714286,0.121951219512195,0,0.115384615384615,0.307692307692308,0,0,0.086283185840708,0.211206896551724,0.16747572815534,0,0,0,0,0,0,0,0,0.830508474576271,0.0916030534351145,0.0845070422535211,0,0.126133909287257,0.148936170212766,0,0.225352112676056,0,0,0,0.2,0,0.292730844793713,0.272727272727273,0
