"","Abudefduf sexfasciatus","Abudefduf sparoides","Acanthurus triostegus","Amanses scopas","Amblygobius sphynx","Amphiprion akallopisos","Amphiprion latifasciatus","Antennablennius velifer","Apogonichthyoides timorensis","Archamia fucata","Arothron hispidus","Arothron immaculatus","Arothron nigropunctatus","Asterropteryx semipunctata","Balistapus undulatus","Blenniella periophthalmus","Bothus pantherinus","Calotomus spinidens","Cantherhines sandwichiensis","Canthigaster margaritata","Canthigaster valentini","Centropyge bispinosa","Cephalopholis argus","Chaetodon auriga","Chaetodon blackburnii","Chaetodon guttatissimus","Chaetodon melannotus","Chaetodon trifasciatus","Chaetodon vagabundus","Cheilinus trilobatus","Cheilio inermis","Cheilodipterus quinquelineatus","Chlorurus sordidus","Chromis dimidiata","Chromis ternatensis","Chromis weberi","Chrysiptera annulata","Chrysiptera biocellata","Chrysiptera brownriggii","Cirripectes variolosus","Cociella crocodilus","Conger cinereus","Coris caudimacula","Corythoichthys intestinalis","Ctenochaetus striatus","Dascyllus aruanus","Dascyllus trimaculatus","Dinematichthys iluocoeteoides","Diplogrammus infulatus","Echelus uropterus","Echidna polyzona","Enneapterygius hemimelas","Epinephelus fasciatus","Epinephelus hexagonatus","Epinephelus longispinis","Epinephelus macrospilos","Epinephelus merra","Eviota prasina","Foa brachygramma","Fowleria aurita","Fusigobius neophytus","Gnatholepis cauerensis","Gomphosus varius","Grammistes sexlineatus","Gymnothorax undulatus","Halichoeres hortulanus","Halichoeres scapularis","Halichoeres timorensis","Haliophis guttatus","Hippichthys cyanospilos","Istiblennius edentulus","Istigobius spence","Labroides dimidiatus","Leiuranus semicinctus","Lepadichthys coccinotaenia","Leptoscarus vaigiensis","Lethrinus crocineus","Lethrinus harak","Lethrinus obsoletus","Lutjanus fulviflamma","Lutjanus gibbus","Lutjanus johnii","Moringua microchir","Myripristis murdjan","Nectamia savayensis","Neoniphon sammara","Novaculoides macrolepidotus","Oplopomus oplopomus","Ostorhinchus angustatus","Ostorhinchus cyanosoma","Ostorhinchus endekataenia","Ostracion meleagris","Oxycheilinus bimaculatus","Parascorpaena aurita","Parascorpaena picta","Parupeneus barberinus","Parupeneus macronemus","Pempheris oualensis","Pervagor melanocephalus","Petroscirtes mitratus","Plagiotremus rhinorhynchos","Plectorhinchus gaterinus","Plectroglyphidodon dickii","Plectroglyphidodon lacrymatus","Plesiops coeruleolineatus","Pomacanthus chrysurus","Pomacanthus semicirculatus","Pomacentrus caeruleus","Pomacentrus sulfureus","Pomacentrus tripunctatus","Pristiapogon fraenatus","Pristiapogon kallopterus","Pseudocheilinus hexataenia","Pseudochromis natalensis","Pseudogramma polyacantha","Pteragogus flagellifer","Pterois volitans","Rhinecanthus aculeatus","Salarias fasciatus","Salarias sinuosus","Sargocentron diadema","Saurida gracilis","Scarus sp","Scorpaenodes guamensis","Scorpaenopsis gibbosa","Sebastapistes cyanostigma","Sebastapistes nuchalis","Sebastapistes strongia","Siganus canaliculatus","Stegastes fasciolatus","Stethojulis balteata","Stethojulis strigiventer","Sufflamen chrysopterum","Syngnathoides biaculeatus","Synodus variegatus","Thalassoma hardwicke","Thalassoma hebraicum","Vanderhorstia ornatissima","Zebrasoma flavescens"
"Holothuroidea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0376175548589342,0,0,0,0,0.016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00495867768595041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026813880126183,0.0262529832935561,0,0.0109546165884194,0.00302152838977716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0107655502392345,0,0,0,0.00518806744487678,0,0
"Hydrozoa",0.0140845070422535,0.0076555023923445,0.0188679245283019,0,0,0,0,0,0,0,0.026248632883704,0,0,0,0.00877834674469642,0,0,0,0.123032904148784,0,0.0227272727272727,0.182692307692308,0,0.0940438871473354,0.22746185852982,0,0,0,0.076,0,0,0,0,0,0,0,0,0.0072007200720072,0.0161290322580645,0,0,0,0,0,0,0.0303076223670253,0.0537359263050153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0617577197149644,0.00963855421686747,0,0,0,0.0583663595655978,0,0.0788643533123028,0.157517899761337,0.0407407407407407,0.028169014084507,0.0574090394057661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0432098765432099,0,0,0,0,0,0,0,0,0,0
"Inorganic",0,0,0,0,0,0,0,0.503778337531486,0,0,0.129055778344878,0,0,0,0.0234089246525238,0.32520325203252,0,0,0,0.0559552358113509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.260247234873129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.338095238095238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.107142857142857,0,0,0,0,0,0,0.0795724465558195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0868217054263566,0,0.446428571428571,0,0,0,0,0,0,0,0,0,0,0,0.0961857379767827,0.0215311004784689,0,0,0.0737179487179487,0.0389105058365759,0,0
"Insecta",0,0,0,0,0.0512820512820513,0,0,0.0100755667506297,0,0,0,0,0,0.00949367088607595,0.00438917337234821,0.0585365853658537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00759013282732448,0,0,0,0,0.0282258064516129,0,0,0,0,0.0240641711229947,0,0,0.0102354145342886,0,0.0703296703296703,0,0,0,0,0,0,0,0,0.0752688172043011,0,0,0,0.00618556701030928,0,0,0,0,0,0.0207792207792208,0,0,0,0.032967032967033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0.00777907429015947,0,0,0,0,0,0,0.00342075256556442,0,0.0433734939759036,0,0,0,0,0.0240320427236315,0,0,0,0.0211267605633803,0,0,0,0,0,0,0,0,0,0.0383386581469649,0.0133928571428571,0,0,0,0,0,0,0,0,0,0,0.0395348837209302,0,0,0,0,0,0.0389105058365759,0.0193236714975845,0
"Isopoda",0.0366197183098592,0.0344497607655502,0,0,0,0,0.100660904931368,0,0,0.0516431924882629,0.024061246810062,0.0956072351421189,0,0.0822784810126582,0,0,0.0939597315436242,0,0,0.0831334932054357,0.0318181818181818,0,0,0,0,0,0,0,0.016,0.0135823429541596,0.134146341463415,0,0,0.117647058823529,0.0558375634517767,0,0,0,0,0,0,0.0245614035087719,0.0146627565982405,0.184491978609626,0,0.0636460069707531,0.063971340839304,0.142222222222222,0,0,0.0952380952380952,0.0417721518987342,0,0,0.0879120879120879,0,0.0583657587548638,0,0.231884057971014,0.113428943937419,0,0,0.0399274047186933,0,0,0,0,0,0.0398009950248756,0.395833333333333,0,0,0,0,0,0,0,0.0454545454545455,0,0.0421487603305785,0.239524909270868,0.0726495726495727,0,0.145542753183748,0.0431654676258993,0.260869565217391,0.0740740740740741,0.0472727272727273,0.109756097560976,0,0.165694282380397,0.142857142857143,0.0606060606060606,0.0853391684901532,0,0.0661654135338346,0.100352112676056,0.0992018244013683,0.0391923990498812,0.00963855421686747,0,0.146886016451234,0,0.0389109063770652,0.0640854472630174,0,0,0.0259259259259259,0.096244131455399,0.0392798690671031,0.158054711246201,0.125730994152047,0.0132743362831858,0.025974025974026,0,0.0588235294117647,0.0590909090909091,0.198449612403101,0,0,0.181421955870335,0,0,0,0,0,0.093167701863354,0.191176470588235,0,0.0183823529411765,0,0.0199004975124378,0,0,0,0,0.0492866407263294,0.0628019323671497,0
"Nematoda",0,0.00382775119617225,0,0,0.0288461538461538,0,0,0,0,0,0,0,0,0,0.0234089246525238,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016,0,0,0,0,0,0,0,0,0.0072007200720072,0,0,0,0,0,0,0,0.00909228671010759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0208333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00831353919239905,0,0,0,0,0,0,0,0.0262529832935561,0,0.00312989045383412,0.00906458516933149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Octocorallia",0,0,0,0,0,0,0,0,0,0,0,0,0.0952380952380952,0,0,0,0,0,0.0200286123032904,0,0,0,0,0.213166144200627,0.188626907073509,0.0357142857142857,1,0,0.184,0,0,0,0,0,0,0,0,0.0396039603960396,0.0362903225806452,0,0,0,0,0,0,0.0303076223670253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0484848484848485,0.0194554531885326,0,0.026813880126183,0,0,0,0.0302152838977716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0330882352941176,0,0,0,0,0,0,0,0,0
"Ophiuroidea",0,0,0,0,0,0,0,0,0,0,0.013124316441852,0,0.0476190476190476,0,0.055596196049744,0,0,0,0,0.0623501199040767,0.134090909090909,0,0,0,0,0,0,0,0,0.0713073005093379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0225563909774436,0,0.0155844155844156,0,0,0,0,0,0,0,0,0,0,0.045045045045045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0522565320665083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0326886406973577,0,0,0,0,0,0,0,0,0,0,0.0116086235489221,0.0215311004784689,0,0,0,0.0207522697795071,0,0
"Ostracoda",0.0676056338028169,0.101435406698565,0,0,0.0432692307692308,0,0,0,0,0.0140845070422535,0,0,0,0.10126582278481,0,0.0585365853658537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.094876660341556,0.139593908629442,0.0870038064165307,0,0.0072007200720072,0.00806451612903226,0.0260247234873129,0,0,0,0.0508021390374332,0,0.0939536293377784,0.0537359263050153,0,0.0175824175824176,0,0,0.0607594936708861,0,0,0,0,0,0.025089605734767,0,0,0,0.109278350515464,0,0,0,0,0.0141043723554302,0.00779220779220779,0,0.0208333333333333,0.0333333333333333,0.0549450549450549,0,0,0,0,0,0,0,0.0148760330578512,0.0969976905311778,0,0,0.0533656761673742,0.0412034009156311,0,0,0.107272727272727,0.0213414634146341,0.0515222482435597,0.0058343057176196,0.0714285714285714,0.0151515151515152,0,0,0.0210526315789474,0.0492957746478873,0.0649942987457241,0.0439429928741093,0.0867469879518072,0.0620689655172414,0,0.0181818181818182,0.0108085851047403,0,0,0,0.0259259259259259,0.112676056338028,0.0302152838977716,0,0,0,0,0,0,0,0,0.0575079872204473,0.0848214285714286,0.0261509125578861,0,0,0,0,0,0,0,0,0,0.00697674418604651,0.0613598673300166,0,0,0,0,0,0.0193236714975845,0
"Polyplacophora",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0131675201170446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0135823429541596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0226415094339623,0,0,0,0,0.0802005012531328,0.00564174894217207,0.0285714285714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0185185185185185,0,0,0,0.00233372228704784,0,0,0,0,0.00601503759398496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025974025974026,0,0.0294117647058824,0,0,0,0,0.055570689185508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00961538461538461,0.0440985732814527,0,0
"Porifera",0,0,0,0,0,0,0,0,0,0,0.0601531170251549,0,0.142857142857143,0,0.0190197512801756,0,0,0,0.0815450643776824,0.0559552358113509,0.0545454545454545,0.211538461538462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014519056261343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0130641330166271,0,0,0,0,0.0281023212723249,0,0.157728706624606,0.13126491646778,0,0.0269953051643192,0.0226614629233287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pycnogonida",0,0,0,0,0.0224358974358974,0.0632054176072235,0,0,0,0,0,0,0,0.0474683544303797,0.00438917337234821,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0146627565982405,0,0,0,0.0102354145342886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0164948453608247,0,0,0,0,0,0.0025974025974026,0,0,0,0.032967032967033,0,0,0,0,0,0,0,0.00495867768595041,0,0,0,0,0,0,0,0.0872727272727273,0,0,0,0,0.0303030303030303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0294117647058824,0,0.0217054263565892,0,0,0,0,0,0,0,0,0,0,0,0,0.00697674418604651,0,0,0,0,0,0.00518806744487678,0.0821256038647343,0
"Scaphopoda",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0197461212976023,0.0103896103896104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Scleractinia",0,0,0,1,0,0,0,0,0,0,0,0,0.19047619047619,0,0.0409656181419166,0,0,0,0,0.0767386091127098,0.0227272727272727,0.00961538461538462,0,0.221003134796238,0.0305131761442441,0.892857142857143,0,1,0.2,0,0,0,0,0,0,0,0.0177514792899408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0308788598574822,0,0,0,0.406060606060606,0.00864686808379227,0,0,0,0,0.00625978090766823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Seagrass",0,0.0899521531100479,0.0566037735849057,0,0,0,0,0,0.0258620689655172,0,0.2187386073642,0.133505598621878,0,0,0,0,0,0.610169491525424,0,0.0207833733013589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0473372781065089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012531328320802,0,0,0,0,0,0,0,0,0,0.526315789473684,0,0,0,0,0,0,0,0,0,0.0197628458498024,0,0,0,0,0,0,0,0,0,0,0,0,0.00475059382422803,0,0,0,0,0,0,0.0520504731861199,0,0,0.0187793427230047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.216049382716049,0,0,0,0,0,0,0,0,0,0
"Shrimp",0.208450704225352,0.00382775119617225,0,0,0.0368589743589744,0.0632054176072235,0,0,0.196120689655172,0.103286384976526,0,0,0,0.0379746835443038,0.0190197512801756,0,0.116331096196868,0,0,0.00479616306954436,0,0,0.175965665236052,0.00626959247648903,0.0110957004160888,0,0,0,0,0,0,0.561946902654867,0,0,0,0,0.0769230769230769,0,0,0,0.230769230769231,0.214035087719298,0,0.240641711229947,0,0,0,0.32,0,0.428571428571429,0,0.0189873417721519,0.166666666666667,0,0.0879120879120879,0,0.119649805447471,0.00716845878136201,0.277777777777778,0.441981747066493,0.0226415094339623,0.00618556701030928,0.0254083484573503,0.414285714285714,0.212121212121212,0.012531328320802,0.0253878702397743,0.0207792207792208,0.427860696517413,0.0416666666666667,0,0,0,0,0,0,0.0901639344262295,0.127272727272727,0.0900900900900901,0.171074380165289,0.0415704387990762,0.286324786324786,0.0574162679425837,0.141904184354154,0,0.171936758893281,0.037037037037037,0.02,0.182926829268293,0.220140515222482,0.14002333722287,0.0357142857142857,0.0757575757575758,0.148796498905908,0.25,0.141353383458647,0.100352112676056,0.0718358038768529,0.00950118764845606,0,0,0.195064629847239,0.0363636363636364,0,0.240320427236315,0,0,0,0.00938967136150235,0.0362583406773259,0.121580547112462,0.260233918128655,0.0752212389380531,0.155844155844156,0.633663366336634,0,0.227272727272727,0.0434108527131783,0,0,0.0735494415690548,0.150442477876106,0,0.480769230769231,0,0.55,0.198757763975155,0.360294117647059,0,0,0.0162790697674419,0.0033167495854063,0,1,0.139737991266376,0.0224358974358974,0.0103761348897536,0.0193236714975845,0
"Sipuncula",0,0,0,0,0,0,0,0,0,0,0,0,0,0.0189873417721519,0.00877834674469642,0,0,0,0,0.00959232613908873,0.0227272727272727,0,0,0.0705329153605016,0,0,0,0,0,0.0237691001697793,0,0,0,0,0,0,0,0,0,0,0,0,0.0146627565982405,0,0,0,0,0,0.101098901098901,0,0,0,0,0,0,0,0,0.0931899641577061,0,0,0.0641509433962264,0,0,0,0,0.012531328320802,0.0141043723554302,0.0103896103896104,0,0,0,0.043956043956044,0,1,0.0176991150442478,0,0,0,0.0900900900900901,0.00495867768595041,0,0,0.215311004784689,0.00485142510612493,0,0,0,0,0,0,0,0,0,0,0,0.00902255639097744,0,0,0,0,0,0.0493537015276146,0,0.0194554531885326,0.048064085447263,0.026813880126183,0,0,0,0,0,0.0087719298245614,0.0309734513274336,0,0,0,0,0.0651162790697674,0,0,0.0212476164532825,0,0,0,0,0,0,0,0,0.0183823529411765,0.0488372093023256,0,0.0322966507177034,0,0,0.0224358974358974,0.0492866407263294,0.0628019323671497,0
"Stomatopoda",0,0,0,0,0,0,0,0,0.0129310344827586,0.0328638497652582,0,0,0,0,0,0,0,0,0,0,0,0,0.0429184549356223,0,0,0,0,0,0,0,0,0.0442477876106195,0,0,0,0,0,0,0,0,0,0.0280701754385965,0,0,0,0,0,0,0,0.142857142857143,0,0,0,0.2,0.137362637362637,0.5,0.0583657587548638,0,0,0.00782268578878748,0,0,0,0.0571428571428571,0,0,0,0,0.00995024875621891,0,0,0,0,0,0,0,0,0,0.045045045045045,0.00991735537190083,0.00989772352358958,0,0,0.0109157064887811,0.0255068672334859,0,0.037037037037037,0,0.0121951219512195,0,0.00933488914819136,0,0,0,0,0.0150375939849624,0,0.0376282782212087,0,0,0,0,0,0,0.0240320427236315,0,0,0,0,0,0.0182370820668693,0.0116959064327485,0,0,0,0.0294117647058824,0,0,0,0,0,0,0,0,0,0,0.0062111801242236,0,0,0,0,0.0116086235489221,0,0,0,0,0,0,0
"Tanaidacea",0,0,0,0,0.102564102564103,0,0,0.0201511335012594,0,0,0,0,0,0,0.0409656181419166,0.00650406504065041,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0135823429541596,0,0,0,0,0,0,0,0,0,0.0260247234873129,0,0,0.12316715542522,0,0,0,0,0,0.0681318681318681,0,0,0.220253164556962,0,0,0,0,0,0.100358422939068,0,0,0,0.0268041237113402,0.0689655172413793,0,0,0.137844611528822,0.14950634696756,0.124675324675325,0,0,0,0.0769230769230769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0555555555555556,0,0,0,0,0,0.181818181818182,0,0,0,0,0,0,0.0530120481927711,0.0620689655172414,0,0,0,0,0,0.0262529832935561,0,0,0,0,0,0.101769911504425,0,0,0.0882352941176471,0,0,0,0.0133928571428571,0,0,0,0,0,0,0,0,0.0308641975308642,0,0.232558139534884,0.139303482587065,0.119617224880383,0,0,0.0641025641025641,0,0,0
"Tunicata",0,0.0851674641148325,0,0,0,0,0.1021860701576,0,0,0,0,0.0663221360895779,0,0,0.0819312362838332,0,0,0,0.123032904148784,0.155075939248601,0.15,0.105769230769231,0,0.0438871473354232,0.0194174757281553,0,0,0,0.016,0,0,0,0,0.079696394686907,0.0913705583756345,0.0734094616639478,0,0.144014401440144,0.00806451612903226,0,0,0,0,0,0,0.0848613426276709,0.148413510747185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0554272517321016,0,0,0,0,0,0,0,0,0,0,0.142857142857143,0,0,0,0,0,0,0.118764845605701,0.00963855421686747,0,0,0,0.0843069638169746,0,0.157728706624606,0.157517899761337,0,0.0766823161189358,0.0906458516933149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.183823529411765,0,0,0.0873205741626794,0,0,0.0961538461538461,0.0492866407263294,0,0
"Zoantharia",0,0,0,0,0,0,0,0,0,0,0,0,0.0476190476190476,0,0,0,0,0,0.0200286123032904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0261282660332542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zooplankton",0.0619718309859155,0.0682615629984051,0,0,0.0432692307692308,0.0970654627539503,0.135231316725979,0,0.144396551724138,0.234741784037559,0.043018592781626,0.172265288544358,0.0952380952380952,0,0,0,0.0201342281879195,0.0677966101694915,0,0.0159872102318145,0.00681818181818182,0.0192307692307692,0,0.0478056426332288,0,0.0357142857142857,0,0,0.062,0.0373514431239389,0,0,0,0.0853889943074004,0.148477157360406,0.127243066884176,0.0769230769230769,0.0621062106210621,0.0645161290322581,0.260247234873129,0,0,0,0.0240641711229947,0,0.102136687376875,0.0788126919140225,0,0.0835164835164835,0,0,0.0392405063291139,0,0,0,0,0,0.017921146953405,0,0,0,0,0.014519056261343,0,0,0.012531328320802,0.0197461212976023,0,0.054726368159204,0.0625,0,0,0.330985915492958,0,0.0176991150442478,0,0,0,0,0,0,0,0,0.101273499090358,0.164159581425768,0.00790513833992095,0.0555555555555556,0,0.0426829268292683,0,0.0396732788798133,0,0,0,0,0.0285714285714286,0.0246478873239437,0.0900798175598632,0.0356294536817102,0.0385542168674699,0,0,0.0363636363636364,0.0290287714241598,0,0.0520504731861199,0,0.172222222222222,0.0848982785602504,0.0509882915774896,0,0.0350877192982456,0.0132743362831858,0.025974025974026,0,0,0,0,0,0.0133928571428571,0.0392263688368292,0,0,0,0,0,0,0,0,0.0919117647058823,0,0.00746268656716418,0,0,0,0,0.00518806744487678,0,0
