"","Abudefduf sexfasciatus","Abudefduf sparoides","Acanthurus triostegus","Amanses scopas","Amblygobius sphynx","Amphiprion akallopisos","Amphiprion latifasciatus","Antennablennius velifer","Apogonichthyoides timorensis","Archamia fucata","Arothron hispidus","Arothron immaculatus","Arothron nigropunctatus","Asterropteryx semipunctata","Balistapus undulatus","Blenniella periophthalmus","Bothus pantherinus","Calotomus spinidens","Cantherhines sandwichiensis","Canthigaster margaritata","Canthigaster valentini","Centropyge bispinosa","Cephalopholis argus","Chaetodon auriga","Chaetodon blackburnii","Chaetodon guttatissimus","Chaetodon melannotus","Chaetodon trifasciatus","Chaetodon vagabundus","Cheilinus trilobatus","Cheilio inermis","Cheilodipterus quinquelineatus","Chlorurus sordidus","Chromis dimidiata","Chromis ternatensis","Chromis weberi","Chrysiptera annulata","Chrysiptera biocellata","Chrysiptera brownriggii","Cirripectes variolosus","Cociella crocodilus","Conger cinereus","Coris caudimacula","Corythoichthys intestinalis","Ctenochaetus striatus","Dascyllus aruanus","Dascyllus trimaculatus","Dinematichthys iluocoeteoides","Diplogrammus infulatus","Echelus uropterus","Echidna polyzona","Enneapterygius hemimelas","Epinephelus fasciatus","Epinephelus hexagonatus","Epinephelus longispinis","Epinephelus macrospilos","Epinephelus merra","Eviota prasina","Foa brachygramma","Fowleria aurita","Fusigobius neophytus","Gnatholepis cauerensis","Gomphosus varius","Grammistes sexlineatus","Gymnothorax undulatus","Halichoeres hortulanus","Halichoeres scapularis","Halichoeres timorensis","Haliophis guttatus","Hippichthys cyanospilos","Istiblennius edentulus","Istigobius spence","Labroides dimidiatus","Leiuranus semicinctus","Lepadichthys coccinotaenia","Leptoscarus vaigiensis","Lethrinus crocineus","Lethrinus harak","Lethrinus obsoletus","Lutjanus fulviflamma","Lutjanus gibbus","Lutjanus johnii","Moringua microchir","Myripristis murdjan","Nectamia savayensis","Neoniphon sammara","Novaculoides macrolepidotus","Oplopomus oplopomus","Ostorhinchus angustatus","Ostorhinchus cyanosoma","Ostorhinchus endekataenia","Ostracion meleagris","Oxycheilinus bimaculatus","Parascorpaena aurita","Parascorpaena picta","Parupeneus barberinus","Parupeneus macronemus","Pempheris oualensis","Pervagor melanocephalus","Petroscirtes mitratus","Plagiotremus rhinorhynchos","Plectorhinchus gaterinus","Plectroglyphidodon dickii","Plectroglyphidodon lacrymatus","Plesiops coeruleolineatus","Pomacanthus chrysurus","Pomacanthus semicirculatus","Pomacentrus caeruleus","Pomacentrus sulfureus","Pomacentrus tripunctatus","Pristiapogon fraenatus","Pristiapogon kallopterus","Pseudocheilinus hexataenia","Pseudochromis natalensis","Pseudogramma polyacantha","Pteragogus flagellifer","Pterois volitans","Rhinecanthus aculeatus","Salarias fasciatus","Salarias sinuosus","Sargocentron diadema","Saurida gracilis","Scarus sp","Scorpaenodes guamensis","Scorpaenopsis gibbosa","Sebastapistes cyanostigma","Sebastapistes nuchalis","Sebastapistes strongia","Siganus canaliculatus","Stegastes fasciolatus","Stethojulis balteata","Stethojulis strigiventer","Sufflamen chrysopterum","Syngnathoides biaculeatus","Synodus variegatus","Thalassoma hardwicke","Thalassoma hebraicum","Vanderhorstia ornatissima","Zebrasoma flavescens"
"Bryozoa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0321872713972202,0,0,0,0.101573676680973,0,0.0704545454545455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0391923990498812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0107655502392345,0,0,0,0,0,0
"Cephalopoda",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00884955752212389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0583657587548638,0,0,0,0,0,0,0,0.0909090909090909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00991735537190083,0,0,0,0.0254699818071559,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00684150513112885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cirripedia",0,0.0133971291866029,0,0,0,0,0,0.035264483627204,0,0,0,0,0.0952380952380952,0,0.0687637161667886,0,0,0,0,0,0,0.0673076923076923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0177514792899408,0.0144014401440144,0.0282258064516129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0103896103896104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00950118764845606,0,0,0,0,0,0,0.026813880126183,0.0787589498806683,0,0.014866979655712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0107655502392345,0,0,0,0.00518806744487678,0,0
"Copepoda",0.230985915492958,0.134609250398724,0,0,0.145833333333333,0.130925507900677,0.305033045246568,0,0.21551724137931,0.0375586854460094,0,0,0,0.186708860759494,0,0.110569105691057,0.0268456375838926,0,0,0.0159872102318145,0.0227272727272727,0,0,0,0,0,0,0,0,0,0,0,0,0.32258064516129,0.374365482233503,0.505709624796085,0.142011834319527,0.198019801980198,0.207661290322581,0.044242029928432,0,0,0.032258064516129,0.251336898395722,0,0.256099409001364,0.131780962128966,0,0.032967032967033,0,0,0.220253164556962,0,0,0,0,0,0.290322580645161,0,0,0.105660377358491,0.171134020618557,0.014519056261343,0,0,0.0225563909774436,0.0253878702397743,0.025974025974026,0,0.0208333333333333,0.0666666666666667,0.10989010989011,0.232394366197183,0,0.0353982300884956,0.0460526315789474,0,0,0,0,0.182118112834048,0,0,0.0582171012734991,0.121648136036625,0,0,0.101818181818182,0.100609756097561,0.241217798594848,0.014002333722287,0.0714285714285714,0.0454545454545454,0,0,0.0300751879699248,0.0492957746478873,0.088939566704675,0.0261282660332542,0.11566265060241,0.0620689655172414,0,0.103030303030303,0.0684543723300221,0,0,0,0.355555555555556,0.129890453834116,0.0856099710436863,0,0.00584795321637427,0.384955752212389,0,0,0.0882352941176471,0,0,0.0575079872204473,0.0133928571428571,0.0212476164532825,0,0,0,0,0,0,0,0,0.150735294117647,0.225581395348837,0.139303482587065,0,0,0,0.0961538461538461,0,0.106280193236715,0
"Cumacea",0,0,0,0,0.0512820512820513,0,0,0,0,0.0140845070422535,0,0.0189491817398794,0,0.0664556962025316,0,0.00650406504065041,0.0134228187919463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0505494505494506,0,0,0,0,0,0,0,0,0,0,0,0.0226415094339623,0.0989690721649485,0,0,0,0,0.0141043723554302,0,0,0.0208333333333333,0,0.0659340659340659,0,0,0,0,0,0,0,0.00495867768595041,0,0,0,0.0145542753183748,0.0196206671026815,0,0,0.0345454545454545,0.0152439024390244,0,0.0280046674445741,0,0,0,0,0.0180451127819549,0.0492957746478873,0.00684150513112885,0.00475059382422803,0,0,0,0,0.00432343404189613,0,0,0,0,0,0,0,0.00584795321637427,0,0,0,0.0294117647058824,0,0,0,0,0.00653772813947153,0,0,0,0,0,0,0,0,0,0,0.0613598673300166,0.0322966507177034,0,0,0,0.00518806744487678,0.0193236714975845,0
"Detritus",0.177464788732394,0.076555023923445,0,0,0,0,0,0,0,0,0,0.0189491817398794,0,0,0,0,0,0,0,0,0,0,0,0.00626959247648903,0.0776699029126214,0,0,0,0.03,0,0,0,0,0,0.0786802030456853,0.0271886895051659,0,0,0,0,0,0,0,0,0,0.0424306713138354,0.0435005117707267,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105660377358491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0571428571428571,0.0246478873239437,0,0,0,0,0,0,0.148077615934943,0,0,0,0.0259259259259259,0,0.0574090394057661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Echinoidea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.049743964886613,0,0,0,0,0.0415667466027178,0.0386363636363636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0473372781065089,0.0072007200720072,0.00806451612903226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0350877192982456,0,0.0181818181818182,0,0,0,0,0,0,0.849557522123894,0,0,0,0,0.00991735537190083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00475059382422803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.076555023923445,0,0,0.00961538461538461,0,0,0
"Foraminifera",0.00845070422535211,0.0172248803827751,0,0,0,0,0,0,0.0258620689655172,0,0.048122493620124,0.0189491817398794,0,0,0.00438917337234821,0.15609756097561,0,0,0.0815450643776824,0.0559552358113509,0.0772727272727273,0,0,0,0,0,0,0,0,0,0,0,0.385057471264368,0.0227703984819734,0,0,0,0.0756075607560756,0.0524193548387097,0.088484059856864,0,0,0.0146627565982405,0.0160427807486631,0,0,0.0102354145342886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0824742268041237,0,0,0,0.0350877192982456,0.0253878702397743,0.0597402597402597,0,0,0.0857142857142857,0,0.0422535211267606,0,0,0,0,0,0,0,0,0,0,0.0194057004244997,0.0981033355134075,0.0138339920948617,0,0.02,0,0,0,0.0714285714285714,0.0151515151515152,0,0,0,0,0,0.0225653206650831,0.0433734939759036,0,0,0,0.0734983787122343,0,0,0,0,0.0633802816901408,0.0846027949137605,0,0,0,0,0,0,0,0,0.338658146964856,0.125,0.00653772813947153,0,0,0,0,0,0,0,0,0,0.0162790697674419,0.0961857379767827,0,0,0,0.0320512820512821,0.0207522697795071,0,0
"Gastropoda",0.00845070422535211,0.0172248803827751,0,0,0.116987179487179,0,0.0518556176919166,0,0,0,0.0743711265038279,0.0757967269595177,0.0952380952380952,0.0759493670886076,0.0819312362838332,0.00975609756097561,0.0268456375838926,0.135593220338983,0.0815450643776824,0.0567545963229416,0.0772727272727273,0,0,0.0188087774294671,0,0,0,0,0.092,0.254668930390492,0.24390243902439,0,0.0402298850574713,0,0.0152284263959391,0,0.029585798816568,0.0072007200720072,0.0685483870967742,0.0832791151594014,0,0,0.0542521994134897,0.00802139037433155,0,0.051522958023943,0.0844421699078813,0.0711111111111111,0.0681318681318681,0,0,0,0,0,0,0,0.0291828793774319,0.00716845878136201,0.00483091787439614,0.015645371577575,0.0226415094339623,0.0103092783505155,0.0943738656987296,0,0.0808080808080808,0.215538847117794,0.188998589562764,0.061038961038961,0,0.0208333333333333,0,0.010989010989011,0.0422535211267606,0,0.079646017699115,0.0657894736842105,0,0.1,0.171171171171171,0.0231404958677686,0.0306829429231277,0,0,0.00485142510612493,0.0117724002616089,0.0177865612648221,0.111111111111111,0.0545454545454545,0.0121951219512195,0,0.0280046674445741,0.0714285714285714,0.0757575757575758,0.0612691466083151,0.125,0.0150375939849624,0.0246478873239437,0.00342075256556442,0.0617577197149644,0.0337349397590361,0.0620689655172414,0.110458284371328,0,0.0389109063770652,0.0427236315086782,0.0520504731861199,0.0262529832935561,0.0555555555555556,0.0140845070422535,0.018129170338663,0,0.0116959064327485,0.0884955752212389,0.0346320346320346,0,0.176470588235294,0.0590909090909091,0.0325581395348837,0.0383386581469649,0,0.0449468809588668,0,0,0.0615384615384615,0,0,0,0,0.0555555555555556,0.0183823529411765,0.00697674418604651,0.0779436152570481,0.0873205741626794,0,0,0.105769230769231,0.116731517509728,0.0434782608695652,0
"Hemichordata",0,0,0,0,0,0,0,0,0.0991379310344828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0571428571428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
