"","Ginglymostomatidae","Dasyatidae","Mylobatidae","Clupeidae","Synodontidae","Muraenidae","Ophichthidae","Congridae","Belonidae","Hemiramphidae","Aulostomidae","Holocentridae","Mugilidae","Sphyraenidae","Atherinidae","Serranidae","Cirrhitidae","Apogonidae","Priacanthidae","Pempheridae","Haemulidae","Lutjanidae","Sparidae","Kyphosidae","Gerreidae","Sciaenidae","Mullidae","Malacanthidae","Echeneidae","Carangidae","Scombridae","Pomacentridae","Labridae","Bothidae","Gobiidae","Blenniidae","Labrisomidae","Clinidae","Opistognathidae","Scorpaenidae","Dactylopteridae","Ephippidae","Chaetodontidae","Pomacanthidae","Acanthuridae","Balistidae","Monacanthidae","Ostraciidae","Tetraodontidae","Diodontidae","Antennariidae","Ogcocephalidae","Moringuidae","Syngnathidae","Fistulariidae","Polynemidae","Plesiopidae","Lethrinidae","Siganidae","Platycephalidae","Pinguipedidae","Bythitidae","Callionymidae","Pseudochromidae","Gobiesocidae","Tripterygiidae","Ophidiidae","Zanclidae","Carcharhinidae","Elopidae","Megalopidae","Albulidae","Chirocentridae","Chanidae","Sphyrnidae","Terapontidae","Sillaginidae","Leiognathidae","Nemipteridae","Monodactylidae","Drepaneidae","Platacidae","Scatophagidae","Trichiuridae"
"Decapoda",0,0,0,0.345911949685535,0,0.408239700374532,0,0,0,0.130208333333333,0,0.547374773687387,0,0,0,0.220112726194008,0.227707006369427,0.595754622521861,0.0834767641996558,0.291044776119403,0,0.334174022698613,0,0,0,0,0.198981216173193,0,0,0.0919540229885058,0,0.0984702233364136,0.152293897483355,0.196544276457883,0.0708629303606023,0.0423076923076923,0,0,0,0.423631123919308,0,0,0.0321903428971309,0,0,0.11313639220616,0,0.0647773279352227,0.0550964187327824,0,0,0,0,0,0,0.564625850340136,0.300510783200908,0.283185840707965,0,0.545454545454545,0.402255639097744,0.467741935483871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Detritus",0,0,0,0,0,0,0,0,0,0,0,0,0.263736263736264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0259384978544699,0,0,0.0734119566325664,0.332051282051282,0,0,0,0,0,0,0,0,0.0124410933081998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Echinoidea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0214899713467049,0,0,0,0,0,0.00575210763875982,0,0.0112157155966421,0,0,0,0,0,0,0,0,0,0,0.0188560653676933,0,0,0,0,0,0,0,0,0,0,0,0.0309734513274336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Foraminifera",0,0,0,0.0314465408805031,0,0.0262172284644195,0,0,0,0.15625,0,0,0.241758241758242,0,0.344064386317907,0.0587362800355977,0,0,0,0,0,0,0,0,0,0,0.0716332378223496,0,0,0.0985221674876847,0,0.0446718574160316,0.0737502372255276,0,0.0509805254392822,0.139102564102564,0,0,0,0,0,0,0.00629811056682995,0,0.038454288407163,0.098051539912005,0,0.271255060728745,0.0165289256198347,0,0,0,0.285714285714286,0,0,0.217687074829932,0,0,0.285714285714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gastropoda",0,0,0,0,0,0,0,0,0,0,0,0.171394085697043,0,0,0.0845070422535211,0,0,0.0476603698017489,0,0,0,0.0172941812286075,0,0,0,0,0.0501432664756447,0,0,0.0706075533661741,0,0.00960685105721109,0.209541063983393,0,0.0550589674744248,0.0192307692307692,0,0,0,0,0,0,0.00629811056682995,0,0.0135721017907634,0.0876807039597737,0,0.133603238866397,0,0,0,0,0,0,0,0,0.170261066969353,0.38716814159292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Holothuroidea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0172941812286075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Inorganic",0,0,0,0,0,0,0,0,0,0,0,0.00965600482800241,0,0,0,0.0783150400474637,0,0,0,0,0,0,0,0,0,0,0.0191021967526266,0,0,0.0919540229885058,0,0.00960685105721109,0.0513581039174983,0,0.186588723107773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.214285714285714,0,0,0,0.0510783200908059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Insecta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00288205531716333,0.00698470213277977,0,0.0112157155966421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Medusozoa",0,0,0,0,0,0,0,0,0,0,0,0.00362100181050091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00480342552860554,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00942803268384664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ophiuroidea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00410864831339987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Phytoplankton",0,0,0,0,0,0,0,0,0,0,0,0,0.221153846153846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0769230769230769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Polyplacophora",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00369778348205988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Porifera",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pycnogonida",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Scaphopoda",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Solenogastres",0,0,0,0,0,0,0,0,0,0,0,0.00844900422450211,0,0,0,0,0,0,0,0,0,0.0562060889929742,0,0,0,0,0,0,0,0,0,0,0.00123259449401996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Stomatopoda",0,0,0,0,0,0.0617977528089888,0,0,0,0,0,0.0374170187085094,0,0,0,0.0142390981904479,0,0,0.228055077452668,0.141791044776119,0,0.095117996757341,0,0,0,0,0.119388729703916,0,0,0,0,0,0.00246518898803992,0.421166306695464,0,0,0,0,0,0,0,0,0,0,0,0.0226272784412319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.180451127819549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tunicata",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0188560653676933,0,0,0.0330578512396694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Worm",0,0,0,0.157232704402516,0,0,0,0,0,0.135416666666667,0,0.0893180446590223,0,0,0,0.0640759418570157,0.212314225053079,0.0700887791202189,0.0989672977624785,0.194029850746269,0,0.0389119077643668,0,0,0,0,0.165552371856097,0,0,0,0,0.0365060340174021,0.124492043896016,0,0.137647418686062,0,0,0,0,0,0,0,0.0902729181245626,0,0,0.0603394091766185,0,0.202429149797571,0.0165289256198347,0,0,0,0.428571428571429,0,0,0.217687074829932,0,0.086283185840708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zooplankton",0,0,0,0.465408805031446,0,0,0,0,0,0.177083333333333,0,0.0482800241400121,0,0,0.48692152917505,0.00711954909522397,0.248407643312102,0.0504639209665576,0.0301204819277108,0.194029850746269,0,0.142676995136012,0,0,0,0,0.134033747214263,0,0,0.0656814449917898,0,0.174611380001281,0.125200296605278,0.140388768898488,0.322808687081535,0.106410256410256,0,0,0,0,0,0,0.0104968509447166,0,0.0056550424128181,0.0829666876178504,0,0.0647773279352227,0.0165289256198347,0,0,0,0,1,0,0,0.14472190692395,0,0,0,0.0902255639097744,0.129032258064516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
