"","Abudefduf sordidus","Acanthurus achilles","Acanthurus gahhm","Acanthurus lineatus","Acanthurus nigricans","Acanthurus nigroris","Acanthurus olivaceus","Acanthurus triostegus","Anyperodon leucogrammicus","Apogon sp","Arothron meleagris","Arothron nigropunctatus","Aspidontus taeniatus","Balistapus undulatus","Bathygobius fuscus","Blenniella chrysospilos","Blenniella paula","Bothus mancus","Canthigaster solandri","Carangoides ferdau","Cephalopholis argus","Cephalopholis urodeta","Chaetodon auriga","Chaetodon citrinellus","Chaetodon ephippium","Chaetodon trifascialis","Chaetodon vagabundus","Cheilinus chlorourus","Cheilinus oxycephalus","Cheilinus trilobatus","Cheilodipterus quinquelineatus","Chlorurus sordidus","Chromis atripectoralis","Chromis ternatensis","Chrysiptera biocellata","Chrysiptera brownriggii","Chrysiptera glauca","Cirrhitichthys aprinus","Cirripectes variolosus","Corythoichthys flavofasciatus","Crenimugil crenilabis","Ctenochaetus striatus","Dascyllus aruanus","Dinematichthys iluocoeteoides","Epinephelus fuscoguttatus","Epinephelus hexagonatus","Epinephelus howlandi","Epinephelus merra","Fistularia petimba","Gnathodentex aureolineatus","Gnatholepis anjerensis","Gobiodon erythrospilus","Gobiodon rivulatus","Gomphosus varius","Gymnothorax buroensis","Gymnothorax flavimarginatus","Gymnothorax margaritophorus","Gymnothorax pictus","Gymnothorax sp","Halichoeres hortulanus","Halichoeres margaritaceus","Halichoeres marginatus","Halichoeres melanurus","Halichoeres trimaculatus","Hemigymnus melapterus","Herklotsichthys quadrimaculatus","Heteropriacanthus cruentatus","Holocentrus sp","Hypoatherina ovalaua","Hypoatherina temminckii","Hyporhamphus affinis","Hyporhamphus dussumieri","Istigobius ornatus","Labroides dimidiatus","Lutjanus fulvus","Lutjanus gibbus","Lutjanus vitta","Macropharyngodon meleagris","Monotaxis grandoculis","Moringua macrochir","Mulloidichthys flavolineatus","Myripristis berndti","Myripristis violacea","Naso lituratus","Naso unicornis","Neomyxus chaptalii","Neoniphon argenteus","Neoniphon sammara","Ostorhinchus nigrofasciatus","Ostorhinchus novemfasciatus","Ostracion cubicus","Paracirrhites arcatus","Paracirrhites forsteri","Paragobiodon echinocephalus","Parapercis cephalopunctata","Parupeneus barberinus","Parupeneus cyclostomus","Parupeneus trifasciatus","Pempheris oualensis","Plectroglyphidodon dickii","Plectroglyphidodon lacrymatus","Plectroglyphidodon leucozonus","Plesiops coeruleolineatus","Plesiops nigricans","Polydactylus sexfilis","Pomacentrus pavo","Pomacentrus vaiuli","Pristiapogon exostigma","Pristiapogon kallopterus","Pseudocheilinus hexataenia","Pseudogramma polyacantha","Pterois radiata","Rhinecanthus aculeatus","Rhinecanthus rectangulus","Sargocentron diadema","Sargocentron microstoma","Sargocentron punctatissimum","Sargocentron spiniferum","Saurida gracilis","Scarus sp","Scorpaenopsis gibbosa","Selar crumenophthalmus","Siganus argenteus","Spratelloides delicatulus","Stegastes albifasciatus","Stegastes fasciolatus","Stegastes nigricans","Stethojulis balteata","Stethojulis sp","Synodus variegatus","Thalassoma hardwicke","Thalassoma lutescens","Thalassoma quinquevittatum","Thysanophrys sp","Trachinotus baillonii","Uropterygius xanthopterus","Valenciennea sexguttata","Valenciennea strigata","Zebrasoma veliferum"
"Ostracoda",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.112449799196787,0,0,0,0,0,0.0242914979757085,0,0,0,0,0,0,0,0,0,0,0.181818181818182,0,0,0,0,0.0869565217391304,0.198795180722892,0,0,0.0506091846298032,0.0808080808080808,0,0,0,0,0,0,0.0769230769230769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0,0,0,0,0,0,0.14247311827957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0.0673211781206171,0,0,0,0,0,0,0,0.0923076923076923,0,0,0.113989637305699,0.0952380952380952,0,0,0,0,0,0,0,0,0,0,0,0,0,0.275229357798165,0,0,0,0.07421875,0.113636363636364,0,0,0,0,0,0,0,0.199095022624434,0.269571136827774,0
"Phytoplankton",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.152610441767068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0869565217391304,0,0.185975609756098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Polyplacophora",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0378548895899054,0,0,0.0181818181818182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pteropoda",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Scleractinia",0,0,0,0,0,0,0,0.0680272108843537,0,0,1,0.714285714285714,0,0.118081180811808,0,0,0,0,0.0465116279069767,0,0,0,0.226720647773279,0.783333333333333,0.461538461538462,1,0.75,0,0,0,0,0.754545454545454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0223463687150838,0,0,0,0,0,0,0.580357142857143,0,0,0,0,0,0,0,0,0,0,0,0,0.0559440559440559,0,0,0,0,0,0
"Shrimp",0.0378787878787879,0,0,0,0,0,0,0,0,1,0,0,0.5,0.0885608856088561,0.221864951768489,0,0,0.121608980355472,0,0,0.5625,0.285714285714286,0.0526315789473684,0,0.0769230769230769,0,0,0.354838709677419,0.428571428571429,0.200772200772201,0.360576923076923,0,0.223101265822785,0,0,0,0.291666666666667,0,0,0,0,0,0.0506091846298032,0.333333333333333,0.333333333333333,0,0.0745341614906832,0.0919540229885057,0,0,0,0,0,0.428571428571429,0.17910447761194,0,0,0,0,0,0.290220820189274,0,0,0.151515151515152,0,0.366666666666667,0.09765625,0.4,0,0,0,0.0900900900900901,0,0,0.101796407185629,0.056140350877193,0.417582417582418,0,0,0,0.109375,1,0.131474103585657,0,0,0,0.5,0,1,0.298994974874372,0,0.0952380952380952,0,0.33,0.234597156398104,0.205,0.108695652173913,0.187938288920056,0.160804020100503,0,0,0,0.0740740740740741,0,0.434782608695652,0.138461538461538,0,0,0.22279792746114,0.19047619047619,0.666666666666667,0.242424242424242,0.074487895716946,0,0.0424242424242424,0.187096774193548,0.5,0,0,0,0,0.076555023923445,0,0,0.0916030534351145,0,0,0.12890625,0.0681818181818182,0,0.0789473684210526,0.173913043478261,0.181818181818182,0.3,0,0.5,0.0113122171945701,0.0204220558202859,0
"Sipuncula",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.056140350877193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Solenogastres",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0181818181818182,0,0,0,0,0,0,0,0,0,0,0,0.182456140350877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0424242424242424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Stomatopoda",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.364826941066417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.183908045977011,0,0,0,0,0,0,0.111940298507463,0,0,0,0.363636363636364,0,0,0,0,0.0363636363636364,0,0,0.20703125,0,0,0,0,0,0,0,0.101796407185629,0,0.0549450549450549,0,0,0,0,0,0.127490039840637,0,0,0,0,0,0,0,0,0,0,0,0.113744075829384,0,0.217391304347826,0,0.0954773869346734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0854092526690391,0,0.0387096774193548,0,0.263736263736264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tanaidacea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.126182965299685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0673211781206171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0204220558202859,0
"Tunicata",0,0,0,0,0,0,0,0,0,0,0,0,0,0.044280442804428,0,0,0,0,0.0930232558139535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zooplankton",0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.0566801619433198,0,0,0,0,0,0,0,0,0,0.064873417721519,0.272727272727273,0.0568720379146919,0,0.0625,0.166666666666667,0,0,0,0,0.193064667291471,0,0,0,0,0.0919540229885057,0,0,0.0769230769230769,0.5,0.182481751824818,0,0,0,0,0,0,0,0.0378548895899054,0,0,0.0545454545454545,0,0.0666666666666667,0.02734375,0,0.238095238095238,0.239057239057239,0.128630705394191,0.117117117117117,0.0188172043010753,0,0,0,0,0,0,0,0,0,0.0637450199203187,0,0,0,0,0,0,0.193467336683417,0,0,0.30188679245283,0,0.0568720379146919,0,0.108695652173913,0.0336605890603086,0.201005025125628,0,0.0795454545454546,0,0,0,0,0.153846153846154,0.117647058823529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.201834862385321,0.0916030534351145,0.0845070422535211,0,0.0546875,0.0227272727272727,0,0.131578947368421,0,0,0,0,0,0.0248868778280543,0.0837304288631722,0
