"","Abudefduf sordidus","Acanthurus achilles","Acanthurus gahhm","Acanthurus lineatus","Acanthurus nigricans","Acanthurus nigroris","Acanthurus olivaceus","Acanthurus triostegus","Anyperodon leucogrammicus","Apogon sp","Arothron meleagris","Arothron nigropunctatus","Aspidontus taeniatus","Balistapus undulatus","Bathygobius fuscus","Blenniella chrysospilos","Blenniella paula","Bothus mancus","Canthigaster solandri","Carangoides ferdau","Cephalopholis argus","Cephalopholis urodeta","Chaetodon auriga","Chaetodon citrinellus","Chaetodon ephippium","Chaetodon trifascialis","Chaetodon vagabundus","Cheilinus chlorourus","Cheilinus oxycephalus","Cheilinus trilobatus","Cheilodipterus quinquelineatus","Chlorurus sordidus","Chromis atripectoralis","Chromis ternatensis","Chrysiptera biocellata","Chrysiptera brownriggii","Chrysiptera glauca","Cirrhitichthys aprinus","Cirripectes variolosus","Corythoichthys flavofasciatus","Crenimugil crenilabis","Ctenochaetus striatus","Dascyllus aruanus","Dinematichthys iluocoeteoides","Epinephelus fuscoguttatus","Epinephelus hexagonatus","Epinephelus howlandi","Epinephelus merra","Fistularia petimba","Gnathodentex aureolineatus","Gnatholepis anjerensis","Gobiodon erythrospilus","Gobiodon rivulatus","Gomphosus varius","Gymnothorax buroensis","Gymnothorax flavimarginatus","Gymnothorax margaritophorus","Gymnothorax pictus","Gymnothorax sp","Halichoeres hortulanus","Halichoeres margaritaceus","Halichoeres marginatus","Halichoeres melanurus","Halichoeres trimaculatus","Hemigymnus melapterus","Herklotsichthys quadrimaculatus","Heteropriacanthus cruentatus","Holocentrus sp","Hypoatherina ovalaua","Hypoatherina temminckii","Hyporhamphus affinis","Hyporhamphus dussumieri","Istigobius ornatus","Labroides dimidiatus","Lutjanus fulvus","Lutjanus gibbus","Lutjanus vitta","Macropharyngodon meleagris","Monotaxis grandoculis","Moringua macrochir","Mulloidichthys flavolineatus","Myripristis berndti","Myripristis violacea","Naso lituratus","Naso unicornis","Neomyxus chaptalii","Neoniphon argenteus","Neoniphon sammara","Ostorhinchus nigrofasciatus","Ostorhinchus novemfasciatus","Ostracion cubicus","Paracirrhites arcatus","Paracirrhites forsteri","Paragobiodon echinocephalus","Parapercis cephalopunctata","Parupeneus barberinus","Parupeneus cyclostomus","Parupeneus trifasciatus","Pempheris oualensis","Plectroglyphidodon dickii","Plectroglyphidodon lacrymatus","Plectroglyphidodon leucozonus","Plesiops coeruleolineatus","Plesiops nigricans","Polydactylus sexfilis","Pomacentrus pavo","Pomacentrus vaiuli","Pristiapogon exostigma","Pristiapogon kallopterus","Pseudocheilinus hexataenia","Pseudogramma polyacantha","Pterois radiata","Rhinecanthus aculeatus","Rhinecanthus rectangulus","Sargocentron diadema","Sargocentron microstoma","Sargocentron punctatissimum","Sargocentron spiniferum","Saurida gracilis","Scarus sp","Scorpaenopsis gibbosa","Selar crumenophthalmus","Siganus argenteus","Spratelloides delicatulus","Stegastes albifasciatus","Stegastes fasciolatus","Stegastes nigricans","Stethojulis balteata","Stethojulis sp","Synodus variegatus","Thalassoma hardwicke","Thalassoma lutescens","Thalassoma quinquevittatum","Thysanophrys sp","Trachinotus baillonii","Uropterygius xanthopterus","Valenciennea sexguttata","Valenciennea strigata","Zebrasoma veliferum"
"Holothuroidea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.056140350877193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hydrozoa",0.0378787878787879,0,0,0,0,0,0,0,0,0,0,0,0,0.022140221402214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0387096774193548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Inorganic",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0714285714285714,0,0,0,0,0,0,0,0,0,0,0,0.0909090909090909,0,0,0,0,0,0,0,0,0,0,0,0,0.229813664596273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.163978494623656,0,0,0,0,0.2,0,0.214285714285714,0,0,0.0637450199203187,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0.0740740740740741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.267942583732057,0,0,0,0,0,0.07421875,0.204545454545455,0,0,0,0,0,0,0,0.16289592760181,0.204220558202859,0
"Insecta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.106109324758842,0,0,0,0,0,0,0,0,0,0,0,0,0.109677419354839,0,0,0,0,0,0,0,0,0.03125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Isopoda",0.0378787878787879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0465116279069767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0909090909090909,0.127962085308057,0,0.03125,0.166666666666667,0,0.198795180722892,0,0,0.202436738519213,0.0808080808080808,0,0,0,0,0,0,0,0.25,0.182481751824818,0,0,0,0,0,0,0,0,0.307692307692308,0.166666666666667,0,0,0,0.02734375,0,0,0,0,0,0.185483870967742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0647773279352227,0.0952380952380952,0,0.67,0,0.125,0,0,0,0,0,0,0,0,0,0.0461538461538462,0,0,0.0518134715025907,0.0952380952380952,0,0,0.122905027932961,0.263345195729537,0.139393939393939,0,0,0,0,0,0,0,0,0,0,0,0,0.12890625,0.181818181818182,0,0.0789473684210526,0,0,0,0.2,0,0.187782805429864,0.204220558202859,0
"Leptostraca",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mysida",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.289556962025316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.135135135135135,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nemertea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0809716599190283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Octocorallia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0465116279069767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ophiuroidea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0869565217391304,0,0,0,0,0,0,0
