"","Abudefduf saxatilis","Abudefduf taurus","Acanthostracion polygonius","Acanthostracion quadricornis","Acanthurus bahianus","Acanthurus chirurgus","Acanthurus coeruleus","Aetobatus narinari","Alphestes afer","Aluterus schoepfii","Aluterus scriptus","Amblycirrhitus pinos","Anisotremus surinamensis","Anisotremus virginicus","Antennarius multiocellatus","Antennarius striatus","Apogon maculatus","Archosargus rhomboidalis","Atherinomorus stipes","Aulostomus maculatus","Balistes vetula","Bodianus rufus","Bothus lunatus","Bothus ocellatus","Calamus bajonado","Calamus calamus","Calamus pennatula","Cantherhines macrocerus","Cantherhines pullus","Canthidermis sufflamen","Canthigaster rostrata","Carangoides bartholomaei","Caranx crysos","Caranx latus","Caranx ruber","Centropyge argi","Cephalopholis cruentata","Cephalopholis fulva","Chaetodipterus faber","Chaetodon capistratus","Chaetodon sedentarius","Chilomycterus antennatus","Chromis cyanea","Chromis multilineata","Clepticus parrae","Coryphopterus glaucofraenum","Dactylopterus volitans","Decapterus punctatus","Diodon holocanthus","Diodon hystrix","Diplodus caudimacula","Echeneis naucrates","Echidna catenata","Entomacrodus nigricans","Epinephelus adscensionis","Epinephelus guttatus","Epinephelus itajara","Epinephelus striatus","Equetus lanceolatus","Equetus punctatus","Eucinostomus argenteus","Euthynnus alletteratus","Gerres cinereus","Ginglymostoma cirratum","Gnatholepis thompsoni","Gobioclinus guppyi","Gymnothorax moringa","Gymnothorax vicinus","Haemulon album","Haemulon aurolineatum","Haemulon carbonarium","Haemulon chrysargyreum","Haemulon flavolineatum","Haemulon macrostomum","Haemulon parra","Haemulon plumierii","Haemulon sciurus","Haemulon vittatum","Halichoeres bivittatus","Halichoeres garnoti","Halichoeres maculipinna","Halichoeres poeyi","Halichoeres radiatus","Harengula clupeola","Harengula humeralis","Hemiramphus balao","Hemiramphus brasiliensis","Heteroconger longissimus","Heteropriacanthus cruentatus","Holacanthus ciliaris","Holacanthus tricolor","Holocentrus adscensionis","Holocentrus rufus","Hypanus americanus","Hypoatherina harringtonensis","Hypoplectrus aberrans","Hypoplectrus chlorurus","Hypoplectrus nigricans","Hypoplectrus puella","Jenkinsia lamprotaenia","Kyphosus incisor","Kyphosus sectatrix","Labrisomus nuchipinnis","Lachnolaimus maximus","Lactophrys bicaudalis","Lactophrys trigonus","Lactophrys triqueter","Lutjanus analis","Lutjanus apodus","Lutjanus cyanopterus","Lutjanus griseus","Lutjanus jocu","Lutjanus mahogoni","Malacanthus plumieri","Melichthys niger","Microspathodon chrysurus","Monacanthus ciliatus","Monacanthus tuckeri","Mugil curema","Mulloidichthys martinicus","Mycteroperca bonaci","Mycteroperca interstitialis","Mycteroperca tigris","Mycteroperca venenosa","Myrichthys breviceps","Myrichthys ocellatus","Myripristis jacobus","Neoniphon marianus","Ocyurus chrysurus","Odontoscion dentex","Ogcocephalus nasutus","Oligoplites saurus","Ophichthus ophis","Ophioblennius atlanticus","Opisthonema oglinum","Opistognathus aurifrons","Opistognathus maxillosus","Opistognathus whitehursti","Parablennius marmoreus","Paranthias furcifer","Pareques acuminatus","Pempheris schomburgkii","Phaeoptyx conklini","Platybelone argalus","Pomacanthus arcuatus","Pomacanthus paru","Priacanthus arenatus","Prognathodes aculeatus","Pseudupeneus maculatus","Remora remora","Rypticus saponaceus","Sargocentron coruscum","Sargocentron vexillarium","Scartella cristata","Scarus coelestinus","Scarus guacamaia","Scarus iseri","Scarus taeniopterus","Scarus vetula","Scomberomorus cavalla","Scomberomorus regalis","Scorpaena brasiliensis","Scorpaena grandicornis","Scorpaena inermis","Scorpaena plumieri","Scorpaenodes caribbaeus","Selar crumenophthalmus","Seriola dumerili","Serranus tigrinus","Sparisoma aurofrenatum","Sparisoma chrysopterum","Sparisoma radians","Sparisoma rubripinne","Sparisoma viride","Sphoeroides spengleri","Sphyraena barracuda","Sphyraena picudilla","Stegastes fuscus","Stegastes leucostictus","Stegastes planifrons","Stegastes variabilis","Strongylura timucu","Synodus foetens","Synodus intermedius","Thalassoma bifasciatum","Trachinotus falcatus","Trachinotus goodei","Tylosurus acus acus","Tylosurus crocodilus","Xyrichtys novacula","Xyrichtys splendens"
"Detritus",0,0,0,0,0.459,0.4695,0.465396188565697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0129564193168433,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0.482,0,0,0,0,0,0,0,0,0,0,0.377551020408163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.472987288135593,0.118303571428571,0.442658092175777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4975,0,0,0,0,0.396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0198187995469989,0,0,0.30981256890849,0.108863198458574,0.204355108877722,0.355662983425414,0,0,0,0,0,0,0,0,0,0
"Echinoidea",0,0,0,0,0,0,0,0,0,0,0,0,0.541143088771788,0,0,0,0,0,0,0,0,0.148148148148148,0,0,0.453360080240722,0.0931937172774869,0.0222222222222222,0,0.00186915887850467,0.294464075382803,0.0447585394581861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.116,0.34704112337011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.209915611814346,0,0.109054527263632,0,0.0143589743589744,0.916578669482576,0,0.135223555070883,0.0935483870967742,0,0.188421052631579,0.0382165605095541,0,0.076662908680947,0.201213346814965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105,0.046,0.119047619047619,0.0738813735691988,0.0253303964757709,0,0,0,0,0,0,0.0288461538461539,0,0,0,0,0,0.00407331975560082,0,0,0,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.189054726368159,0,0,0,0,0,0,0.00100806451612903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0781426953567384,0,0,0,0,0,0,0,0,0,0.0177725118483412,0.25,0,0,0,0,0
"Foraminifera",0,0,0,0,0,0,0,0,0,0,0,0,0,0.00526870389884088,0,0,0,0,0.022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00105263157894737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00102986611740474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00201612903225806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0144508670520231,0,0,0,0,0,0,0,0,0,0,0,0
"Gastropoda",0.0550363447559709,0.002,0.0226666666666667,0,0,0.001,0,0.534,0,0.006,0.006,0,0.16214025131739,0.0400421496311907,0,0,0,0.043,0,0,0.0653061224489796,0.106995884773663,0,0,0.111334002006018,0.0869109947643979,0.0455555555555556,0,0,0,0.0918727915194346,0,0,0,0.004004004004004,0,0.038,0,0,0,0,0.566,0,0,0,0,0,0,0.677,0.313941825476429,0.8,0,0,0,0.0333333333333333,0,0,0.0160965794768612,0,0.0412903225806452,0.0167890870933893,0,0.153439153439153,0,0,0.05,0,0,0.0284810126582279,0.0230263157894737,0.152076038019009,0.0192926045016077,0.00512820512820513,0,0.0514631685166498,0.0752453653217012,0.0483870967741935,0,0.130526315789474,0.171974522292994,0.0544707091469681,0.240135287485908,0.215369059656218,0,0,0,0,0,0.0121457489878543,0,0,0.0111856823266219,0,0,0,0,0,0,0,0,0,0,0.165,0.397,0.0119047619047619,0.0218522372528616,0.0319383259911894,0.132517838939857,0.00531914893617021,0,0.068,0.0363269424823411,0,0,0,0.00105932203389831,0.0167410714285714,0,0,0.00712830957230143,0,0,0,0,0,0,0,0,0.0248704663212435,0,0.259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00888888888888889,0,0,0,0.255081300813008,0.008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0363836824696803,0.00289017341040462,0,0.0151933701657459,0,0,0,0.135071090047393,0.478,0.083,0,0,0.430167597765363,0.0526315789473684
"Holothuroidea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0222222222222222,0.008,0,0,0,0,0,0,0,0,0,0,0.023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0512820512820513,0,0.0332996972754793,0.029443838604144,0,0,0,0,0,0.0180383314543405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.119047619047619,0.0270551508844953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Insecta",0.0124610591900312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00518134715025907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014,0,0,0
"Medusozoa",0,0.001,0,0.0282485875706215,0,0,0,0,0,0,0.394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0.0318021201413428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00334821428571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024,0,0,0,0,0,0.00413650465356774,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0154355016538037,0,0,0.0386740331491713,0,0,0,0,0,0,0,0,0,0
"Ophiuroidea",0,0,0,0,0,0,0,0,0,0,0,0,0.0537089582488853,0.173867228661749,0,0,0,0,0,0,0.13469387755102,0.200617283950617,0,0,0,0.162303664921466,0.0788888888888889,0,0.0355140186915888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0201058201058201,0,0,0,0,0,0.0548523206751055,0,0.0600300150075038,0,0.0317948717948718,0,0.024217961654894,0.0621592148309706,0.0602150537634409,0,0.0768421052631579,0.197452229299363,0,0.114994363021421,0.0687563195146613,0,0,0,0,0,0,0,0,0,0.0790645879732739,0,0,0,0,0,0,0,0,0,0.123,0,0.148809523809524,0.0166493236212279,0,0,0,0,0,0,0,0.233974358974359,0,0.0105932203389831,0,0,0,0.0906313645621181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0.092,0,0,0,0,0,0,0,0,0,0.00888888888888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0679501698754247,0,0,0,0,0,0.00966850828729282,0,0,0,0.0888625592417061,0,0,0,0,0,0
"Polyplacophora",0,0.001,0,0,0,0,0,0,0,0,0,0,0,0.00842992623814542,0,0,0,0,0,0,0.00408163265306122,0.00720164609053498,0,0,0,0.018848167539267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0.0166666666666667,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0.00843881856540084,0,0.0980490245122561,0,0.0584615384615385,0,0,0.00763358778625954,0,0,0.0347368421052632,0.0254777070063694,0.0154162384378212,0.0496054114994363,0.00202224469160768,0,0,0,0,0,0,0,0,0,0.0066815144766147,0,0,0,0,0,0,0,0,0,0,0,0,0.00832466181061394,0.00770925110132159,0,0,0,0,0,0,0.0608974358974359,0,0,0,0,0,0.0804480651731161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.104674796747967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0158550396375991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Porifera",0,0,0.156,0.346892655367232,0,0,0,0,0,0,0.004,0,0.000810701256586948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.865,0.577570093457944,0,0.176678445229682,0,0,0,0,0,0,0,0.327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00105485232067511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.066079295154185,0,0,0,0,0,0,0,0,0.00211864406779661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.725956566701138,0.748,0,0,0,0,0,0,0,0,0.00100806451612903,0,0,0.015,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004,0.001,0,0,0,0,0,0,0.0234806629834254,0,0,0,0,0,0,0,0,0,0
"Pycnogonida",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0141342756183746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0225118483412322,0,0,0,0,0,0
"Scaphopoda",0,0,0,0,0,0,0,0,0,0,0,0,0,0.00210748155953635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00210970464135021,0.0043859649122807,0,0,0.00820512820512821,0,0.00201816347124117,0,0.0021505376344086,0,0,0,0.00205549845837616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00407331975560082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0625698324022346,0
"Stomatopoda",0,0,0,0,0,0,0,0,0,0,0,0,0.0233076611268747,0.0495258166491043,0.125,0,0,0,0,0,0.00204081632653061,0.0123456790123457,0.114,0.0378890392422192,0,0,0.0166666666666667,0,0,0,0,0,0.0353892821031345,0,0.00600600600600601,0,0.089,0.128764278296989,0,0,0,0,0,0,0,0,0.193,0,0,0,0,0,0,0,0,0.171664943123061,0,0.0553319919517103,0,0.00387096774193548,0,0,0.0296296296296296,0,0,0,0,0,0.0147679324894515,0,0,0.0632368703108253,0.00717948717948718,0,0.00504540867810293,0,0.0473118279569893,0,0.0315789473684211,0,0,0.00225479143179256,0.00910010111223458,0,0,0,0,0,0,0,0,0,0.0044543429844098,0.02,0,0.0774907749077491,0,0.029,0.053,0,0,0,0,0,0,0,0,0.00815494393476045,0.0393617021276596,0,0,0,0,0.16025641025641,0,0,0,0,0,0.00814663951120163,0,0,0,0,0.07,0.153751537515375,0,0,0.0248704663212435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0355555555555556,0,0.083,0,0,0,0,0,0,0,0,0,0,0,0,0.080042689434365,0,0,0,0,0.0905391658189217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00947867298578199,0,0,0,0,0,0
"Tunicata",0,0,0.377333333333333,0.206779661016949,0,0,0,0,0,0,0.011,0,0,0.0158061116965227,0,0,0,0,0,0,0.0244897959183673,0,0,0,0,0,0,0,0.11214953271028,0,0.00706713780918728,0,0,0,0,0,0,0,0,0.0252403846153846,0,0,0,0.0328205128205128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010752688172043,0,0,0,0,0,0,0,0,0,0,0,0,0.009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.232142857142857,0.0468262226847034,0.0737885462555066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027979274611399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.104446742502585,0.048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0101925254813137,0,0,0.00330760749724366,0.0279383429672447,0,0,0,0,0,0,0,0,0,0,0,0
"Worm",0.00934579439252337,0,0,0.0203389830508475,0,0.002,0,0,0,0,0,0.121975806451613,0.00405350628293474,0.151738672286617,0,0,0.0423825887743414,0.004,0,0,0.122448979591837,0.00205761316872428,0,0,0.0672016048144433,0.207329842931937,0.105555555555556,0,0,0,0.0848056537102473,0,0,0,0,0,0,0,0.137,0.377403846153846,0.626467449306297,0,0,0,0,0,0,0,0,0,0,0,0,0.036,0,0.0206825232678387,0,0,0.313,0.0696774193548387,0.204616998950682,0.067,0.217989417989418,0,0,0,0,0,0.469409282700422,0.339912280701754,0.128564282141071,0.217577706323687,0.510769230769231,0,0.029263370332997,0.284623773173391,0.0860215053763441,0.013,0.183157894736842,0.0764331210191083,0.493319630010278,0.0800450958286359,0.0141557128412538,0.05,0.295918367346939,0.100907029478458,0,0,0.17004048582996,0,0,0.0436241610738255,0.0501113585746102,0.402,0,0,0,0,0,0,0,0,0.1,0,0.0714285714285714,0.0894901144640999,0.530837004405286,0,0,0,0,0,0,0.153846153846154,0,0,0.046875,0,0,0.258655804480652,0,0,0,0,0,0.014760147601476,0.0720164609053498,0,0,0,0.044,0,0,0,0.224,0.00305810397553517,0.143,0,0.092,0,0,0.280864197530864,0.0721271393643032,0,0,0,0.111,0.638474295190713,0.196666666666667,0,0,0,0.040650406504065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.124575311438279,0,0,0.061742006615215,0.208092485549133,0.0938023450586265,0,0,0,0,0.0604265402843602,0,0,0,0,0.0837988826815642,0
"Zooplankton",0.305295950155763,0,0,0.0124293785310734,0,0.001,0,0,0,0,0,0.522177419354839,0.00304012971220105,0.163329820864067,0,0,0.124856815578465,0.037,0.678,0,0.00122448979591837,0.00720164609053498,0,0,0,0,0,0,0.0616822429906542,0.677267373380448,0.0506478209658422,0,0.0252780586450961,0.091,0.022022022022022,0,0,0,0.164,0.0769230769230769,0.0266808964781217,0.206,1,0.967179487179487,1,0.3,0.014,1,0,0,0,0.333333333333333,0,0,0,0,0,0.00201207243460765,0,0.0167741935483871,0.495278069254984,0,0.00423280423280423,0,0.244897959183673,0.025,0,0,0.00527426160337553,0.157894736842105,0.00200100050025012,0.14898177920686,0.0451282051282051,0,0.0766902119071645,0.00872410032715376,0.0426881720430108,0.954,0,0,0.2672147995889,0.00338218714768884,0,0.95,0.0612244897959184,0.45578231292517,0,0.975,0.190283400809717,0,0,0.00671140939597316,0.0456570155902004,0,1,0.00738007380073801,0,0.059,0.126,1,0,0,0.053,0.01,0,0.0291363163371488,0.0198237885462555,0,0,0,0,0.0181634712411705,0,0.0170940170940171,0.11740473738414,0.00317796610169492,0.352678571428571,0.557341907824223,0,0.130346232179226,0,0,0,0,0,0,0.462962962962963,0.0507497116493656,0.287046632124352,0.19,0,0.013,0,0.005,0.507,0.996941896024465,0.344,0.11,0,0.870792616720955,0.0815642458100559,0.719135802469136,0.927872860635697,0,0.015511892450879,0.001,0.047,0.172470978441128,0.05,0.857142857142857,0,0,0.273373983739837,0,0,0,0,0,0,0,0,0,0,0,0,0,0.404,0,0,0,0,0,0,0,0.110985277463194,0.019,0,0.113561190738699,0.223506743737958,0.0971524288107203,0.158149171270718,0,0,0,0.33175355450237,0,0.017,0.009,0,0.041340782122905,0.912631578947368
