"","Abudefduf sexfasciatus","Abudefduf vaigiensis","Acanthurus dussumieri","Acanthurus lineatus","Acanthurus nigrofuscus","Amblyglyphidodon curacao","Amblygobius albimaculatus","Amphiprion clarkii","Amphiprion frenatus","Amphiprion ocellaris","Arothron nigropunctatus","Asterropteryx semipunctata","Atrosalarias holomelas","Callogobius hasseltii","Chaetodon auriga","Chaetodon auripes","Chaetodon bennetti","Chaetodon citrinellus","Chaetodon ephippium","Chaetodon lineolatus","Chaetodon lunula","Chaetodon plebeius","Chaetodon speculum","Chaetodon trifascialis","Chaetodon trifasciatus","Chaetodon vagabundus","Cheilinus trilobatus","Cheilio inermis","Cheilodipterus quinquelineatus","Cheiloprion labiatus","Chlorurus sordidus","Chromis atripectoralis","Chromis caerulea","Chrysiptera brownriggii","Chrysiptera cyanea","Chrysiptera glauca","Chrysiptera rex","Coris variegata","Corythoichthys haematopterus","Ctenochaetus striatus","Dascyllus aruanus","Diodon liturosus","Epibulus insidiator","Epinephelus merra","Exallias brevis","Fowleria aurita","Fusigobius neophytus","Gnathodentex aureolineatus","Gobiodon citrinus","Gomphosus varius","Halichoeres marginatus","Halichoeres melanochir","Halichoeres melanurus","Halichoeres nebulosus","Halichoeres trimaculatus","Hemigymnus fasciatus","Hemigymnus melapterus","Heniochus chrysostomus","Labracinus cyclophthalmus","Labracinus melanotaenia","Labrichthys unilineatus","Labroides dimidiatus","Lethrinus genivittatus","Lutjanus fulviflamma","Macropharyngodon meleagris","Meiacanthus kamoharai","Naso sp","Nectamia fusca","Neoglyphidodon melas","Neoniphon sammara","Neosynchiropus ocellatus","Ostorhinchus aroubiensis","Ostorhinchus cookii","Ostorhinchus cyanosoma","Oxymonacanthus longirostris","Parapercis cylindrica","Parapercis hexophtalma","Parupeneus barberinus","Parupeneus spilurus","Parupeneus trifasciatus","Plectorhinchus diagrammus","Plectroglyphidodon dickii","Plectroglyphidodon johnstonianus","Plectroglyphidodon lacrymatus","Plesiops coeruleolineatus","Pomacentrus amboinensis","Pomacentrus chrysurus","Pomacentrus littoralis","Pomacentrus moluccensis","Pomachromis richardsoni","Pseudochromis tapeinosoma","Ptereleotris evides","Ptereleotris microlepis","Rhinecanthus aculeatus","Salarias fasciatus","Salarias luctuosus","Saurida gracilis","Scarus ghobban","Scarus oviceps","Scarus prasiognathos","Scarus psittacus","Scolopsis lineata","Scorpaenodes kelloggi","Siganus punctatus","Siganus spinus","Siganus virgatus","Sphyraena barracuda","Stegastes nigricans","Stethojulis bandanensis","Stethojulis strigiventer","Stethojulis trilineata","Thalassoma hardwicke","Thalassoma lunare","Upeneus tragula","Valenciennea longipinnis","Zanclus cornutus","Zebrasoma scopas","Zebrasoma veliferum"
"Hydrozoa",0.196278879574729,0,0,0,0,0.140576602335001,0.00965250965250965,0.0910746812386157,0,0,0,0.0406905055487053,0.00826446280991736,0,0.108757870635375,0.203389830508475,0,0.0286085825747724,0,0.248756218905473,0.0641399416909621,0,0,0,0,0.24390243902439,0,0,0,0,0,0,0.27906976744186,0,0.0954907161803713,0,0.0227457351746548,0,0,0,0.146666666666667,0,0,0,0,0,0.0216847372810676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0292207792207792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0692464358452139,0,0.102459016393443,0,0.033587786259542,0.0561576354679803,0.0460893854748603,0.06640625,0.0199524940617577,0,0,0,0.0123111359820929,0,0,0,0,0,0,0,0,0,0,0.0113960113960114,0,0,0,0,0,0.0145985401459854,0,0,0,0,0.0131291028446389,0,0
"Inorganic",0,0,0.250312891113892,0,0.15884476534296,0.00953061710745771,0,0,0,0,0.0952380952380952,0.123304562268804,0.206611570247934,0.1875,0,0,0,0.0286085825747724,0,0,0,0,0,0,0,0,0,0,0,0,0.303448275862069,0,0,0.0554156171284635,0.0222811671087533,0.117508813160987,0,0.109105495387084,0.048834628190899,0.229885057471264,0,0,0,0,0,0,0.146788990825688,0,0,0,0.0781574476118558,0.0195195195195195,0.062992125984252,0.0730643402399128,0.0315955766192733,0,0.0904311251314406,0,0,0,0,0,0.25,0,0.222222222222222,0.116883116883117,0.166666666666667,0,0,0,0.114394661582459,0,0,0,0,0.0186915887850467,0.0839160839160839,0.215022091310751,0.0485689505637468,0.0689655172413793,0.0805860805860806,0,0,0.0327868852459016,0.0452261306532663,0.119083969465649,0.0827586206896552,0.11731843575419,0,0,0,0,0,0.0996082820369334,0.22075055187638,0.275862068965517,0,0.243697478991597,0.333333333333333,0.3003003003003,0.333333333333333,0.0474516695957821,0,0,0.245014245014245,0,0,0.109649122807018,0.119246861924686,0.143036386449184,0.118115461181155,0.0262529832935561,0.053206002728513,0,0.138613861386139,0.0568927789934354,0,0
"Insecta",0.196278879574729,0.0532319391634981,0,0,0,0,0,0.0455373406193078,0,0,0,0,0.00826446280991736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0315346881569727,0.0201390553824023,0,0.0350132625994695,0,0.0227457351746548,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033587786259542,0.0177339901477832,0,0,0,0.0526315789473684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00627615062761506,0,0,0,0,0,0,0,0,0
"Isopoda",0,0,0,0,0,0.00953061710745771,0,0,0,0,0,0,0,0.0625,0.0228963938179737,0,0,0,0,0.0845771144278607,0,0,0,0,0,0,0,0,0,0,0,0.0683251576734408,0.00863102373531527,0.0554156171284635,0.0222811671087533,0,0.0227457351746548,0.0417168070597674,0.148723640399556,0,0.03,0.0825688073394495,0,0,0,0,0,0.0955414012738854,0,0,0.0872191806683028,0,0.0192475940507437,0.054525627044711,0.0758293838862559,0.08,0.0452155625657203,0,0.0922509225092251,0,0,0.333333333333333,0,0,0,0,0,0.105828220858896,0,0,0.0857959961868446,0.25,0.119904076738609,0,0,0,0,0,0.13529921942758,0.0827586206896552,0.0415140415140415,0.0692464358452139,0,0,0,0,0,0,0,0.0199524940617577,0.105263157894737,0,0,0.0369334079462787,0,0,0,0,0,0,0,0.15817223198594,0,0,0,0.0262295081967213,0,0.0131578947368421,0.0251046025104603,0.04366373902133,0.0291970802919708,0.0525059665871122,0.0286493860845839,0,0.0411271896420411,0,0,0
"Mysida",0,0,0,0,0,0,0,0,0,0,0,0.0135635018495684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0147213459516299,0,0,0,0,0,0,0,0,0,0,0.0230061349693252,0,0,0,0,0,0,0,0,0,0,0.0138768430182134,0.0275862068965517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Octocorallia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0228963938179737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.190105614230128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ophiuroidea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.228668941979522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0375375375375375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0598130841121495,0.167832167832168,0,0.0242844752818734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0131578947368421,0,0,0,0,0,0,0.0548362528560548,0,0,0
"Ostracoda",0,0,0,0,0,0,0.111969111969112,0,0,0,0,0.0690505548705302,0.00826446280991736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0127320954907162,0.0399529964747356,0,0,0.048834628190899,0.0229885057471264,0,0,0,0,0,0,0,0.0233545647558386,0,0,0.0611666981310176,0,0,0,0,0.08,0.0452155625657203,0,0,0,0,0,0,0,0,0.0292207792207792,0,0.0414110429447853,0.0233463035019455,0,0.0571973307912297,0,0,0,0,0,0,0.053019145802651,0.0138768430182134,0,0,0,0,0.0327868852459016,0,0,0,0,0,0,0.0526315789473684,0,0,0.0492445439283716,0,0,0,0,0,0,0,0.031634446397188,0,0,0,0.0262295081967213,0,0.0131578947368421,0.0439330543933054,0.0511919698870765,0.0583941605839416,0,0,0,0.124904798172125,0,0,0
"Phytoplankton",0,0,0,0,0,0.00953061710745771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0584415584415584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0692464358452139,0,0.237704918032787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Polyplacophora",0,0,0,0,0,0,0,0,0,0,0,0,0,0.0625,0,0,0,0,0,0,0,0,0,0,0,0,0.112627986348123,0,0,0,0,0,0,0,0,0.0399529964747356,0,0.0513437625350983,0,0,0,0.0825688073394495,0,0,0,0,0,0.116772823779193,0,0,0.113271663205588,0.132132132132132,0.0559930008748906,0.109051254089422,0.0758293838862559,0.0266666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0720686367969495,0,0,0,0,0.0411214953271028,0.0839160839160839,0,0,0,0.0415140415140415,0,0,0,0.150753768844221,0,0,0,0,0,0,0,0,0.0246222719641858,0,0,0,0,0,0,0,0.0632688927943761,0,0,0,0,0,0,0,0,0.0145985401459854,0.212410501193317,0.053206002728513,0,0,0,0,0
"Porifera",0,0,0.112640801001252,0,0.0794223826714801,0.00953061710745771,0,0.0236794171220401,0,0,0,0.0690505548705302,0.0433884297520661,0.0625,0,0,0,0.0572171651495449,0.3003003003003,0,0,0,0,0,0,0.0609756097560976,0,0,0,0,0,0,0.0201390553824023,0,0.0222811671087533,0,0.139723801787165,0.0417168070597674,0,0.160919540229885,0.02,0,0,0,0.0909090909090909,0,0.0417014178482068,0,0,0,0.0260524825372853,0.0375375375375375,0.0244969378827647,0.054525627044711,0,0.106666666666667,0.0147213459516299,0,0,0,0,0,0,0,0,0.0584415584415584,0,0,0.0233463035019455,0,0,0,0,0,0,0.0186915887850467,0,0,0,0,0,0,0,0.0327868852459016,0,0.067175572519084,0.174384236453202,0.11731843575419,0.0390625,0,0,0,0,0.0626748740906547,0.0551876379690949,0.0689655172413793,0,0,0,0,0,0,0,0.386847195357834,0.0113960113960114,0.111475409836066,0,0.0679824561403509,0.0188284518828452,0.0225846925972396,0,0,0.0286493860845839,0,0,0.437636761487965,0,0
"Pycnogonida",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0227457351746548,0,0,0,0,0,0,0,0,0,0.0216847372810676,0.0233545647558386,0,0,0,0,0,0.0185387131952017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0251396648044693,0.01171875,0,0,0,0,0,0,0,0,0,0,0,0,0.15817223198594,0,0,0,0,0,0,0.0313807531380753,0.0331242158092848,0.0145985401459854,0,0,0,0,0.0131291028446389,0,0
"Scleractinia",0,0,0,0,0,0,0,0,0,0,0.380952380952381,0,0,0,0.154550658271322,0.0677966101694915,0.833333333333333,0.0572171651495449,0.249249249249249,0,0,0.746268656716418,0.6,0.925925925925926,0.900900900900901,0.0609756097560976,0,0,0.181818181818182,0.585714285714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.454545454545455,0,0,0,0.668896321070234,0,0,0,0,0,0.0221169036334913,0,0,0.5,0,0,0.218472468916519,0,0,0,0,0,0,0,0,0,0,0,0.0623501199040767,0,0.71969696969697,0,0,0.053019145802651,0,0,0,0.236252545824847,0.66006600660066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0131578947368421,0,0,0,0,0,0,0,0.0437636761487965,0,0
"Shrimp",0,0,0,0,0,0.0357398141529664,0.0212355212355212,0,0.0493827160493827,0.188976377952756,0,0,0,0.0625,0,0,0,0,0,0,0,0,0,0,0,0,0.0580204778156997,0.185185185185185,0.272727272727273,0,0,0,0,0.0554156171284635,0,0,0,0.01764941837144,0,0,0.02,0.042535446205171,0,0.165898617511521,0,1,0,0,0,0.272727272727273,0,0.0375375375375375,0,0,0.0315955766192733,0.0266666666666667,0.0452155625657203,0,0.164206642066421,0.110831234256927,0,0,0,0.169761273209549,0,0,0,0.188650306748466,0,0.4,0,0,0.151079136690647,0.170940170940171,0,0.0411214953271028,0.0839160839160839,0,0.0624457935819601,0.220689655172414,0.0805860805860806,0,0,0,0.150753768844221,0,0.00886699507389162,0,0.01171875,0,0.105263157894737,0,0,0.0123111359820929,0,0,0,0,0,0,0,0.031634446397188,0.5,0,0,0,0,0,0,0.00301129234629862,0,0,0.053206002728513,0.266666666666667,0,0,0,0
"Sipuncula",0,0,0,0,0,0,0,0.0236794171220401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00666666666666667,0,0,0,0,0,0,0,0,0,0.00906173305644705,0.0195195195195195,0.00699912510936133,0.0185387131952017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0145985401459854,0.0525059665871122,0,0,0,0,0,0
"Stomatopoda",0,0,0,0,0,0,0,0.0236794171220401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.037037037037037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0359869138495093,0,0.0266666666666667,0.0304942166140904,0,0,0,0,0,0,0.103448275862069,0,0,0,0.0414110429447853,0,0,0,0,0,0,0,0.0186915887850467,0.0839160839160839,0,0.0624457935819601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0291970802919708,0.0262529832935561,0.0286493860845839,0,0,0,0,0
"Tanaidacea",0,0,0,0,0,0.0452704312604241,0.131274131274131,0.0692167577413479,0,0.047244094488189,0,0.0690505548705302,0.00826446280991736,0.0625,0,0,0,0,0,0,0,0,0,0,0,0,0,0.037037037037037,0,0,0,0,0.00863102373531527,0,0.070026525198939,0,0,0.0417168070597674,0.148723640399556,0,0.0333333333333333,0.042535446205171,0,0,0,0,0.0417014178482068,0.0764331210191083,0,0,0.0962809137247499,0.0570570570570571,0.094488188976378,0.0730643402399128,0.00947867298578199,0.133333333333333,0.10515247108307,0,0.0516605166051661,0,0,0,0,0,0,0.0292207792207792,0,0,0,0.2,0.114394661582459,0,0.119904076738609,0.170940170940171,0,0.0785046728971962,0,0.106038291605302,0.0381613183000867,0.0275862068965517,0.163614163614164,0.0325865580448065,0,0.0327868852459016,0,0,0.0266009852216749,0,0.01171875,0,0,0,0,0.0749860100727476,0,0,0,0,0,0,0,0.0966608084358524,0,0.127659574468085,0,0.0262295081967213,0,0.0285087719298246,0.112970711297071,0.135508155583438,0.13271400132714,0.0262529832935561,0,0,0.0974866717440975,0.0131291028446389,0,0
"Tunicata",0.0613371498671028,0.0532319391634981,0,0,0,0.0881582082439838,0,0.160291438979964,0.151675485008818,0.094488188976378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.131394533987386,0.158235435147447,0,0.140053050397878,0,0.16246953696182,0,0,0,0.0466666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0700389105058366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100763358778626,0.0916256157635468,0.0251396648044693,0.12890625,0.0826603325415677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zooplankton",0.0791249233285627,0.0817490494296578,0.0225281602002503,0,0,0.0528949249463903,0.0453667953667954,0.0692167577413479,0.201058201058201,0.078740157480315,0,0.0542540073982737,0.0227272727272727,0.0625,0.108757870635375,0.0677966101694915,0,0.0572171651495449,0.201201201201201,0,0.128279883381924,0.0522388059701493,0,0.037037037037037,0,0.0609756097560976,0.0580204778156997,0.037037037037037,0,0,0,0.118780658724597,0.058978662191321,0.110831234256927,0.0954907161803714,0.0587544065804935,0.0869212022745735,0.0212595266746891,0,0,0.07,0,0,0,0.0909090909090909,0,0.0216847372810676,0.0233545647558386,0.040133779264214,0,0.0230319048518029,0.0255255255255255,0.0691163604549431,0.0359869138495093,0.0579252238020011,0.0666666666666667,0.0452155625657203,0,0.107011070110701,0.110831234256927,0.319715808170515,0.0952380952380952,0,0,0.0377777777777778,0,0,0.0782208588957055,0.0700389105058366,0,0.038512869399428,0.25,0.0623501199040767,0.0598290598290598,0.0378787878787879,0.0598130841121495,0,0,0.0555073720728534,0.0413793103448276,0.0415140415140415,0.0835030549898167,0.168316831683168,0.069672131147541,0.150753768844221,0.0763358778625954,0.0246305418719212,0.0460893854748603,0.0911458333333333,0.132541567695962,0.0526315789473684,0.0606060606060606,0.122850122850123,0.0307778399552322,0.0375275938189845,0,0,0,0,0,0,0.031634446397188,0,0,0.0113960113960114,0.0590163934426229,0,0.0285087719298246,0.0146443514644351,0.0281053952321205,0.0437956204379562,0.0883054892601432,0.0995907230559345,0.266666666666667,0.0274181264280274,0.0437636761487965,0,0
