"","Abudefduf sexfasciatus","Abudefduf vaigiensis","Acanthurus dussumieri","Acanthurus lineatus","Acanthurus nigrofuscus","Amblyglyphidodon curacao","Amblygobius albimaculatus","Amphiprion clarkii","Amphiprion frenatus","Amphiprion ocellaris","Arothron nigropunctatus","Asterropteryx semipunctata","Atrosalarias holomelas","Callogobius hasseltii","Chaetodon auriga","Chaetodon auripes","Chaetodon bennetti","Chaetodon citrinellus","Chaetodon ephippium","Chaetodon lineolatus","Chaetodon lunula","Chaetodon plebeius","Chaetodon speculum","Chaetodon trifascialis","Chaetodon trifasciatus","Chaetodon vagabundus","Cheilinus trilobatus","Cheilio inermis","Cheilodipterus quinquelineatus","Cheiloprion labiatus","Chlorurus sordidus","Chromis atripectoralis","Chromis caerulea","Chrysiptera brownriggii","Chrysiptera cyanea","Chrysiptera glauca","Chrysiptera rex","Coris variegata","Corythoichthys haematopterus","Ctenochaetus striatus","Dascyllus aruanus","Diodon liturosus","Epibulus insidiator","Epinephelus merra","Exallias brevis","Fowleria aurita","Fusigobius neophytus","Gnathodentex aureolineatus","Gobiodon citrinus","Gomphosus varius","Halichoeres marginatus","Halichoeres melanochir","Halichoeres melanurus","Halichoeres nebulosus","Halichoeres trimaculatus","Hemigymnus fasciatus","Hemigymnus melapterus","Heniochus chrysostomus","Labracinus cyclophthalmus","Labracinus melanotaenia","Labrichthys unilineatus","Labroides dimidiatus","Lethrinus genivittatus","Lutjanus fulviflamma","Macropharyngodon meleagris","Meiacanthus kamoharai","Naso sp","Nectamia fusca","Neoglyphidodon melas","Neoniphon sammara","Neosynchiropus ocellatus","Ostorhinchus aroubiensis","Ostorhinchus cookii","Ostorhinchus cyanosoma","Oxymonacanthus longirostris","Parapercis cylindrica","Parapercis hexophtalma","Parupeneus barberinus","Parupeneus spilurus","Parupeneus trifasciatus","Plectorhinchus diagrammus","Plectroglyphidodon dickii","Plectroglyphidodon johnstonianus","Plectroglyphidodon lacrymatus","Plesiops coeruleolineatus","Pomacentrus amboinensis","Pomacentrus chrysurus","Pomacentrus littoralis","Pomacentrus moluccensis","Pomachromis richardsoni","Pseudochromis tapeinosoma","Ptereleotris evides","Ptereleotris microlepis","Rhinecanthus aculeatus","Salarias fasciatus","Salarias luctuosus","Saurida gracilis","Scarus ghobban","Scarus oviceps","Scarus prasiognathos","Scarus psittacus","Scolopsis lineata","Scorpaenodes kelloggi","Siganus punctatus","Siganus spinus","Siganus virgatus","Sphyraena barracuda","Stegastes nigricans","Stethojulis bandanensis","Stethojulis strigiventer","Stethojulis trilineata","Thalassoma hardwicke","Thalassoma lunare","Upeneus tragula","Valenciennea longipinnis","Zanclus cornutus","Zebrasoma scopas","Zebrasoma veliferum"
"Cephalopoda",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.165898617511521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cirripedia",0.0417092619096299,0,0,0,0,0.104836788182035,0,0.0910746812386157,0.102292768959436,0,0,0.0271270036991369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.131394533987386,0.0690481898825222,0,0.0222811671087533,0,0.0454914703493095,0.01764941837144,0.0732519422863485,0,0.0666666666666667,0,0,0,0,0,0,0,0,0,0.0169907494808382,0.0195195195195195,0.0507436570428696,0,0,0.0266666666666667,0.0147213459516299,0,0,0,0,0,0,0,0,0,0,0.0230061349693252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0183206106870229,0,0,0.078125,0.202375296912114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0131578947368421,0.0188284518828452,0.00752823086574655,0,0.0262529832935561,0.0409276944065484,0,0,0,0,0
"Copepoda",0.143120016356573,0.161596958174905,0.0225281602002503,0,0,0.176316416487968,0.116795366795367,0.12568306010929,0.218694885361552,0.165354330708661,0,0.123304562268804,0.0661157024793388,0.125,0.0429307384087006,0,0,0.0286085825747724,0,0,0,0,0,0.037037037037037,0.036036036036036,0,0,0.0740740740740741,0,0.114285714285714,0,0.371408549404345,0.183649005034764,0.110831234256927,0.181432360742706,0.0775558166862515,0.139723801787165,0.0465302847974328,0.197558268590455,0.0229885057471264,0.156666666666667,0,0,0,0,0,0.125104253544621,0,0.123745819397993,0,0.0396450821219558,0.0472972972972973,0.0647419072615923,0.0359869138495093,0,0.106666666666667,0.0825446898002103,0,0,0,0,0.0952380952380952,0,0,0.0377777777777778,0.0584415584415584,0,0.0567484662576687,0.104502501389661,0,0.0646329837940896,0,0.0623501199040767,0.196581196581197,0,0.119626168224299,0,0.0795287187039764,0.0381613183000867,0.103448275862069,0.142857142857143,0.0509164969450102,0.0858085808580858,0.135245901639344,0.103015075376884,0.186259541984733,0.0798029556650246,0.13268156424581,0.217447916666667,0.217577197149644,0.131578947368421,0.939393939393939,0.633906633906634,0.0621152770005596,0.0728476821192053,0,0,0,0,0,0,0.0878734622144112,0,0,0.0341880341880342,0.0557377049180328,0,0.0416666666666667,0.0878661087866109,0.0662484316185696,0.0882548108825481,0.0262529832935561,0.0552523874488404,0.133333333333333,0.0898705255140899,0,0.4,0
"Cumacea",0,0,0,0,0,0.016678579938051,0.131274131274131,0.0455373406193078,0,0,0.0952380952380952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01764941837144,0.173140954495006,0,0.00666666666666667,0,0,0,0,0,0.0216847372810676,0,0,0,0,0,0,0,0,0.0266666666666667,0.0452155625657203,0,0,0.0554156171284635,0,0,0,0,0,0,0,0.0414110429447853,0,0,0.0720686367969495,0,0.0623501199040767,0.0598290598290598,0,0.0411214953271028,0.041958041958042,0,0,0,0.122100122100122,0,0,0,0,0,0,0,0,0,0.157894736842105,0,0,0.0246222719641858,0.0176600441501104,0,0,0,0,0,0,0,0,0,0.0113960113960114,0,0,0,0.0753138075313808,0.0481806775407779,0.0743198407431984,0,0,0,0.0837776085300838,0,0,0
"Detritus",0,0,0.137672090112641,0,0,0,0,0,0,0,0,0.123304562268804,0.206611570247934,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0380952380952381,0.344827586206897,0,0,0,0,0.157461809635723,0,0,0,0.229885057471264,0,0,0,0,0,0,0.146788990825688,0,0,0,0,0,0.00699912510936133,0,0,0,0,0,0,0,0,0,0,0,0.222222222222222,0.0292207792207792,0,0,0.0233463035019455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22075055187638,0.275862068965517,0,0.280112044817927,0.333333333333333,0.3003003003003,0.333333333333333,0,0,0,0,0,0,0.219298245614035,0,0,0,0,0,0,0,0,0,0
"Echinoidea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0580204778156997,0,0,0,0,0,0,0,0,0,0,0.00802246289610911,0,0,0,0.042535446205171,0,0,0,0,0,0.0233545647558386,0,0,0,0,0,0,0.00947867298578199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0123111359820929,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0285087719298246,0.00627615062761506,0,0,0,0.053206002728513,0,0,0,0,0
"Euphausiacea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0216847372810676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Foraminifera",0,0.0532319391634981,0.227784730913642,0,0.15884476534296,0.0262091970455087,0.00965250965250965,0.0236794171220401,0,0.047244094488189,0.0952380952380952,0.0961775585696671,0.169421487603306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.114285714285714,0.00689655172413793,0,0.0287700791177176,0.0554156171284635,0,0.117508813160987,0.0454914703493095,0.109105495387084,0,0.183908045977012,0,0,0,0,0.181818181818182,0,0.0633861551292744,0.0382165605095541,0,0,0.0521049650745705,0.0570570570570571,0.0874890638670166,0.0185387131952017,0.0221169036334913,0,0.0904311251314406,0,0,0,0.319715808170515,0,0,0,0.184444444444444,0.0876623376623377,0,0,0,0,0.0285986653956149,0,0,0,0,0,0,0.106038291605302,0.0485689505637468,0.0551724137931035,0,0,0,0.069672131147541,0,0.0854961832061069,0.0650246305418719,0.11731843575419,0.01171875,0.0199524940617577,0.0526315789473684,0,0.058968058968059,0.0996082820369334,0.183222958057395,0.206896551724138,0,0.196078431372549,0,0.0990990990990991,0,0,0,0,0.136752136752137,0.0262295081967213,0,0.12280701754386,0.112970711297071,0.120451693851945,0.0743198407431984,0.0525059665871122,0.053206002728513,0,0.0837776085300838,0.0306345733041576,0,0
"Gastropoda",0,0,0.0675844806007509,0,0,0,0.102316602316602,0,0,0,0,0.0271270036991369,0.0144628099173554,0.0625,0,0,0,0,0,0,0,0,0,0,0,0,0.228668941979522,0.0740740740740741,0.0909090909090909,0,0,0,0,0,0,0.0399529964747356,0,0.134777376654633,0,0.0229885057471264,0,0.250208507089241,0,0.165898617511521,0,0,0.105087572977481,0.174097664543524,0,0,0.0781574476118558,0.15015015015015,0.111986001749781,0.109051254089422,0.240126382306477,0.0533333333333333,0.0452155625657203,0,0.0516605166051661,0.0554156171284635,0.142095914742451,0,0,0,0.184444444444444,0,0,0,0.0350194552529183,0,0.100667302192564,0,0,0,0,0,0,0.0265095729013255,0.0242844752818734,0,0,0,0,0,0.0728643216080402,0.0183206106870229,0,0,0,0,0,0,0,0.0872971460548405,0.0551876379690949,0,0,0,0,0,0,0.0474516695957821,0,0,0.056980056980057,0,0,0.0131578947368421,0.0815899581589958,0.0948557089084065,0.0583941605839416,0.0262529832935561,0.0286493860845839,0,0.0974866717440975,0.0131291028446389,0,0
"Holothuroidea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0351142155937323,0,0.00699912510936133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
