"","Abudefduf abdominalis","Abudefduf sordidus","Acanthurus thompsoni","Anampses cuvier","Apogon erythrinus","Apolemichthys arcuatus","Arothron hispidus","Arothron meleagris","Atherinomorus insularum","Aulostomus chinensis","Brotula multibarbata","Cantherhines dumerilii","Cantherhines sandwichiensis","Canthigaster amboinensis","Canthigaster jactator","Caranx melampygus","Centropyge potteri","Cephalopholis argus","Chaetodon auriga","Chaetodon fremblii","Chaetodon kleinii","Chaetodon lunula","Chaetodon miliaris","Chaetodon multicinctus","Chaetodon ornatissimus","Chaetodon quadrimaculatus","Chaetodon unimaculatus","Chlorurus sordidus","Chromis leucura","Chromis vanderbilti","Chromis verater","Cirrhitops fasciatus","Cirrhitus pinnulatus","Coris gaimard","Dascyllus albisella","Diodon holocanthus","Diodon hystrix","Exallias brevis","Fistularia petimba","Forcipiger flavissimus","Forcipiger longirostris","Gomphosus varius","Gymnomuraena zebra","Gymnothorax meleagris","Halichoeres ornatissimus","Hemitaurichthys thompsoni","Hemitaurichthys zoster","Heteropriacanthus cruentatus","Kyphosus cinerascens","Macropharyngodon geoffroy","Melichthys niger","Monotaxis grandoculis","Mulloidichthys flavolineatus","Myripristis amaena","Myripristis kuntee","Myripristis murdjan","Naso hexacanthus","Neoniphon sammara","Ostracion meleagris","Oxycheilinus orientalis","Paracirrhites arcatus","Paracirrhites forsteri","Parupeneus cyclostomus","Parupeneus forsskali","Parupeneus multifasciatus","Parupeneus porphyreus","Parupeneus trifasciatus","Pervagor spilosoma","Plectroglyphidodon imparipennis","Plectroglyphidodon johnstonianus","Plectroglyphidodon sindonis","Plectrypops lima","Pristiapogon kallopterus","Pristiapogon taeniopterus","Pseudocheilinus octotaenia","Pterois sphex","Rhinecanthus rectangulus","Sargocentron diadema","Sargocentron punctatissimum","Sargocentron tiere","Sargocentron xantherythrum","Scorpaenopsis cacopsis","Sebastapistes coniorta","Stegastes fasciolatus","Stethojulis balteata","Sufflamen bursa","Synodus variegatus","Thalassoma duperrey","Thalassoma trilobatum","Xanthichthys ringens","Zanclus cornutus"
"Cyanobacteria",0.113924050632911,0,0.227848101366768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.164179104558476,0,0,0,0,0,0,0,0.365853658536585,0.141592920526901,0,0,0,0,0.329896907216495,0,0,0,0,0,0,0,0,0,0,0.49999999990625,0.177966101694915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Decapoda",0.227848101265823,0.136363636363636,0.113924050683384,0.141176470574948,0.625,0,0.0697674419058951,0,0.40000000048,0.379310344474435,0.555555555555556,0,0,0.0380952381191837,0.0389610389650869,0.166666666666667,0,0,0.164609053523345,0.0540540540540541,0,0.0560538116027704,0,0,0,0,0,0,0,0.141592920526901,0.216216216216216,0.631578947368421,0.600000001306667,0.166666666666667,0,0.3125,0.323529411806228,0,0,0.0635641316685585,0.923076923792899,0.6,1,0.666666666666667,0,0,0.0593220338983051,0.127272727050579,0,0,0.138528138394858,0.0967741935483871,0.0275229358027944,0.246913580780369,0.346153846133506,0.202247190921096,0.413793103448276,0.703703703423868,0,0.333333333333333,0.535211267605634,0.1599999999496,0.103448275826397,0.0752941176470588,0.390243902189173,0.368421052631579,0.31040442430075,0,0.0390243904209399,0,0.0512820512820513,0.6875,0.558823529318339,0.619047617805745,0.545454545454545,1,0.109489051139645,0.173778122701609,0.311926605385102,0.481481481270233,0.383877159714855,0,0.866666666133333,0,0,0.0700000000063,0,0.0649350648682746,0.507246377590842,0,0.014598540087165
"Detritus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.238095238095238,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.357798165078529,0,0,0,0,0,0.0833333333333333,0,0,0,0,0.197647058823529,0.341463414598453,0.157894736842105,0.106463878497015,0,0,0,0.256410256410256,0,0,0,0,0,0,0,0,0,0,0,0,0.3243243242542,0.27027027027027,0,0,0,0,0,0
"Echinoidea",0,0,0,0.0941176472382007,0,0,0.232558139360736,0,0,0,0,0,0,0.0761904762383673,0.0519480519015011,0,0,0,0.164609053523345,0,0,0.0896860987976164,0,0,0,0,0,0,0,0,0,0,0.133333332897778,0.5,0,0.25,0.323529411806228,0,0,0.286038592508513,0,0,0,0,0.0522388059752172,0,0,0,0,0,0,0.193548387096774,0.0275229358027944,0,0,0,0,0,0,0,0,0,0,0.169411764705882,0,0,0,0.101694915243895,0,0,0,0,0,0,0.181818181818182,0,0.0729927006867707,0.0271528313632629,0.165137614741924,0,0,0,0,0,0.0675675675675676,0.157499999994488,0,0.0779220779666048,0,0,0
"Foraminifera",0,0,0,0.188235293911696,0,0,0,0,0.319999999808,0,0,0,0,0.0571428571787755,0.0519480519015011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.156716417925652,0,0.0593220338983051,0,0,0.355555555555556,0.069264069318641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.135135135135135,0.06999999992755,0,0.0259740261966605,0,0,0.0437956204366775
"Gastropoda",0,0.136363636363636,0,0,0,0,0.0465116279372634,0,0,0,0,0,0.0246913580385612,0.0761904762383673,0.103896103958846,0,0,0,0,0.0540540540540541,0,0.313901345500178,0,0,0,0.0470219434693547,0,0,0,0,0,0,0,0,0,0.3125,0.323529411806228,0,0,0,0,0.2666666672,0,0,0,0.125000000164062,0.0593220338983051,0,0,0.355555555555556,0.0346320346593205,0.193548387096774,0.165137614816766,0.123456790390184,0,0.0674157299250095,0,0,0.0833333333333333,0,0,0,0,0.197647058823529,0.146341463650208,0.157894736842105,0.106463878497015,0.0338983051490951,0.078048780256514,0,0,0,0,0,0,0,0.0973236009156943,0.135764158228262,0.0550458715806414,0,0.201535508458744,0,0,0,0.27027027027027,0.131250000021656,0,0.233766233899814,0,0,0
"Holothuroidea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0448430493988082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0645161290322581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0271528313632629,0,0,0,0,0,0,0,0,0,0,0,0,0
"Inorganic",0,0,0,0,0,0,0,0,0,0,0,0,0.0246913580385612,0,0.0779220779301737,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0346320346593205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0338983051490951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0864864865758948,0,0,0,0,0,0,0
"Insecta",0,0.0340909090909091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.069264069318641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0390243904209399,0,0.0512820512820513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Medusozoa",0,0.0681818181818182,0,0,0,0,0.0465116279372634,0,0,0,0,0,0.0493827160771224,0,0,0,0,0,0.0411522634425646,0.108108108108108,0.164179104558476,0.0448430493988082,0,0.0740740741495199,0,0.203761755608583,0,0,0,0,0,0,0,0,0.0824742268041237,0,0,0,0,0.254256526674234,0,0,0,0,0,0,0.11864406779661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0677966100948003,0,0,0.0512820512820513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0291970803495125
"Ophiuroidea",0,0,0,0,0,0,0.13953488381179,0,0,0,0,0,0.0246913580385612,0.0380952381191837,0.0259740260286726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105263157894737,0.133333332897778,0,0,0.125,0,0,0,0,0,0,0,0,0.0522388059752172,0,0,0,0,0,0,0.193548387096774,0,0,0,0,0,0,0,0,0.0845070422535211,0,0,0.112941176470588,0,0,0,0.0338983051490951,0,0,0,0,0,0,0,0,0,0.325833980594997,0.0550458715806414,0,0,0,0,0,0,0,0,0.0519480517699443,0.0724637677924806,0,0
"Phytoplankton",0,0,0,0,0,0,0,0,0,0,0,0,0.0740740741156836,0,0.0779220779301737,0,0.238095238095238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0,0,0,0,0,0,0.208955223900869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0677966100948003,0.234146341354908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Polyplacophora",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.157894736842105,0,0,0,0,0,0,0,0,0,0,0,0.0271528313632629,0,0,0,0,0,0,0,0,0,0,0,0,0
"Porifera",0,0.136363636363636,0,0,0,1,0.0465116279372634,0,0,0,0,0,0.0493827160771224,0.0952380952979592,0.0779220779301737,0,0.238095238095238,0,0.0411522634425646,0,0,0,0,0,0,0,0.147058823611592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0833333333333333,0,0,0,0,0,0,0,0,0.0338983051490951,0.0390243904209399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12972972970168,0,0.1400000000126,0,0,0,0,0.17518248174671
"Pycnogonida",0,0.0681818181818182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Stomatopoda",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.036363636627438,0,0,0,0,0,0.0617283947629935,0.153846154025148,0.134831460996086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.115163148110234,0,0,0,0,0,0,0,0,0,0
"Tunicata",0,0,0,0.0941176472382007,0,0,0.232558139360736,0.428571428571429,0,0,0,0,0.172839506097089,0.0190476190595918,0.0779220779301737,0,0,0,0,0,0,0.0224215244079243,0,0,0,0,0,0,0,0,0,0,0,0.166666666666667,0,0,0,0,0,0,0,0,0,0,0.156716417925652,0,0,0,0,0,0,0.0645161290322581,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21897810227929,0,0,0,0,0,0,0,0,0,0,0.0519480517699443,0,0,0.014598540087165
"Worm",0.227848101265823,0.0681818181818182,0.227848101366768,0.141176470574948,0,0,0,0,0,0,0,0,0.0246913580385612,0.0285714285893878,0.0779220779301737,0,0,0,0.156378600785449,0.22972972972973,0,0.215246636881096,0,0.14814814829904,0,0.156739811966814,0.0294117647223183,0,0,0.353982300892474,0.216216216216216,0,0,0,0,0,0,0,0,0.214528944381385,0,0,0,0,0.104477611950434,0,0,0,0,0,0,0.0645161290322581,0.110091743211178,0.0617283947629935,0.153846154025148,0.134831460996086,0.137931034482759,0,0.166666666666667,0,0,0,0,0.0705882352941176,0,0,0.0532319389291156,0.0677966100948003,0.292682926693635,0.10000000018,0.128205128205128,0,0.0882352947716263,0,0,0,0.0973236009156943,0.162916990297499,0.137614678951603,0.0740740741042524,0.0575815735656736,0,0,0.0432432431257852,0.0675675675675676,0.0787499999972438,0,0.0389610389833024,0.144927536599454,0,0.0583941605238425
"Zooplankton",0.20253164556962,0.113636363636364,0.43037974658308,0.199999999887059,0.375,0,0,0,0.2,0,0.222222222222222,0,0.0617283950531931,0.0380952381191837,0.0259740260286726,0.166666666666667,0.0476190476190476,0,0.185185185121171,0.175675675675676,0.671641790883047,0.0672645739038924,1,0.148148148095336,0,0.0438871473300184,0.088235294166955,0,0.390243902439024,0.362831858053724,0.567567567567568,0.157894736842105,0,0.166666666666667,0.257731958762887,0,0,0,0,0.118047673098751,0,0,0,0,0.164179104396525,0.374999999929688,0.288135593220339,0.327272727356033,0,0.0666666666666667,0.0649350649256198,0.0645161290322581,0.119266055026176,0.259259259387289,0.230769230720414,0.258426966240626,0.310344827586207,0,0.0833333333333333,0,0.126760563380282,0,0,0.12,0.121951219562165,0.157894736842105,0.152436916706622,0.050847457655846,0.16097560975467,0,0.205128205128205,0.1875,0.176470588484429,0.28571428578458,0.272727272727273,0,0.0875912408679205,0.0930954227245819,0.275229357760088,0.370370370521262,0.18426103658482,0,0,0.04864864863813,0.189189189189189,0.08999999999685,0,0.0909090909090909,0.130434782432262,0.60784313739331,0.05109489048026
