"","Abudefduf abdominalis","Abudefduf sordidus","Acanthurus thompsoni","Anampses cuvier","Apogon erythrinus","Apolemichthys arcuatus","Arothron hispidus","Arothron meleagris","Atherinomorus insularum","Aulostomus chinensis","Brotula multibarbata","Cantherhines dumerilii","Cantherhines sandwichiensis","Canthigaster amboinensis","Canthigaster jactator","Caranx melampygus","Centropyge potteri","Cephalopholis argus","Chaetodon auriga","Chaetodon fremblii","Chaetodon kleinii","Chaetodon lunula","Chaetodon miliaris","Chaetodon multicinctus","Chaetodon ornatissimus","Chaetodon quadrimaculatus","Chaetodon unimaculatus","Chlorurus sordidus","Chromis leucura","Chromis vanderbilti","Chromis verater","Cirrhitops fasciatus","Cirrhitus pinnulatus","Coris gaimard","Dascyllus albisella","Diodon holocanthus","Diodon hystrix","Exallias brevis","Fistularia petimba","Forcipiger flavissimus","Forcipiger longirostris","Gomphosus varius","Gymnomuraena zebra","Gymnothorax meleagris","Halichoeres ornatissimus","Hemitaurichthys thompsoni","Hemitaurichthys zoster","Heteropriacanthus cruentatus","Kyphosus cinerascens","Macropharyngodon geoffroy","Melichthys niger","Monotaxis grandoculis","Mulloidichthys flavolineatus","Myripristis amaena","Myripristis kuntee","Myripristis murdjan","Naso hexacanthus","Neoniphon sammara","Ostracion meleagris","Oxycheilinus orientalis","Paracirrhites arcatus","Paracirrhites forsteri","Parupeneus cyclostomus","Parupeneus forsskali","Parupeneus multifasciatus","Parupeneus porphyreus","Parupeneus trifasciatus","Pervagor spilosoma","Plectroglyphidodon imparipennis","Plectroglyphidodon johnstonianus","Plectroglyphidodon sindonis","Plectrypops lima","Pristiapogon kallopterus","Pristiapogon taeniopterus","Pseudocheilinus octotaenia","Pterois sphex","Rhinecanthus rectangulus","Sargocentron diadema","Sargocentron punctatissimum","Sargocentron tiere","Sargocentron xantherythrum","Scorpaenopsis cacopsis","Sebastapistes coniorta","Stegastes fasciolatus","Stethojulis balteata","Sufflamen bursa","Synodus variegatus","Thalassoma duperrey","Thalassoma trilobatum","Xanthichthys ringens","Zanclus cornutus"
"Actinopterygii",0,0,0,0,0,0,0,0,0,0.620689655525565,0.222222222222222,0,0,0,0,0.666666666666667,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0769230762071006,0,0,0.333333333333333,0,0,0,0.218181818237355,0,0,0,0,0,0.185185185153178,0.115384615095784,0.134831460996086,0,0.296296296576132,0,0.666666666666667,0.253521126760563,0.8400000000504,0.896551724173603,0,0,0,0.188731420623553,0,0,0,0,0.125,0.176470587425606,0.095238096409675,0,0,0,0,0,0.0740740741042524,0,0.5,0.133333333866667,0,0,0,1,0.0259740261966605,0.0724637677924806,0,0
"Anthozoa",0,0,0,0,0,0,0,0.5,0,0,0,0.777777777777778,0.0493827160771224,0.114285714148027,0.0519480519015011,0,0,0,0.12345679008078,0,0,0.0336322869033662,0,0.407407407414952,0.5,0.344827586361474,0.441176470275952,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0,0,0,0,0,0,0,0,0.177966101694915,0,0,0,0.0346320346593205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.169491525338696,0,0.59999999988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0519480517699443,0,0,0
"Arachnida",0,0,0,0,0,0,0,0,0.079999999712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015673981041509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.069264069318641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0390243904209399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0174999999818875,0,0,0,0.39215686260669,0
"Asteroidea",0,0,0,0,0,0,0.13953488381179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Benthic autotroph",0.227848101265823,0.170454545454545,0,0.141176470574948,0,0,0.0465116279372634,0,0,0,0,0,0.172839506097089,0.152380952267211,0.129870129831675,0,0.238095238095238,0,0.12345679008078,0.378378378378378,0,0.112107623205541,0,0.222222222041152,0.5,0.188087774222246,0.264705882500865,0.333333333333333,0.24390243902439,0,0,0,0,0,0.329896907216495,0,0,0.333333333333333,0,0.0635641316685585,0,0,0,0,0.104477611950434,0,0,0,1,0.222222222222222,0.242424242372819,0.0645161290322581,0,0,0,0,0.137931034482759,0,0.166666666666667,0,0,0,0,0.0282352941176471,0,0,0,0.135593220392991,0.078048780256514,0.29999999994,0.256410256410256,0,0,0,0,0,0.14598540159252,0,0,0,0,0,0,0.3243243242542,0,0.0875000000669375,0,0.207792207703154,0,0,0.17518248174671
"Bivalvia",0,0,0,0,0,0,0,0.0714285714285714,0,0,0,0.111111111111111,0.0493827160771224,0.0380952381191837,0,0,0,0,0,0,0,0,0,0,0,0,0.0294117647223183,0,0,0,0,0,0,0,0,0,0.0294117645813149,0,0,0,0,0.1333333328,0,0,0,0,0.0593220338983051,0,0,0,0,0,0.192660550261762,0,0,0,0,0,0.0833333333333333,0,0,0,0,0.0282352941176471,0,0,0,0,0,0,0,0,0,0,0,0,0.0243309002289236,0.0271528313632629,0,0,0.0575815735656736,0,0,0.0216216217250548,0,0.122500000030713,0,0.0779220779666048,0,0,0.116788321222868
"Bryozoa",0,0.0681818181818182,0,0,0,0,0,0,0,0,0,0.111111111111111,0.0493827160771224,0.0380952381191837,0.0519480519015011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0486618004578472,0,0,0,0,0,0,0,0,0.0174999999818875,0,0,0,0,0.116788321222868
"Cephalopoda",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105263157894737,0.133333332897778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.290909090728595,0,0,0,0,0,0.0617283947629935,0,0.0674157299250095,0,0,0,0,0,0,0,0,0,0,0.0822675424459302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.0724637677924806,0,0
"Cirripedia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0216216217250548,0,0.0174999999818875,0,0,0,0,0.0291970803495125
"Coralline algae",0,0,0,0,0,0,0,0,0,0,0,0,0.172839506097089,0.190476190386395,0.0779220779301737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.242424242372819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.203389830487791,0,0,0,0,0,0,0,0,0.0973236009156943,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17518248174671
