"","Ginglymostomatidae","Dasyatidae","Mylobatidae","Clupeidae","Synodontidae","Muraenidae","Ophichthidae","Congridae","Belonidae","Hemiramphidae","Aulostomidae","Holocentridae","Mugilidae","Sphyraenidae","Atherinidae","Serranidae","Cirrhitidae","Apogonidae","Priacanthidae","Pempheridae","Haemulidae","Lutjanidae","Sparidae","Kyphosidae","Gerreidae","Sciaenidae","Mullidae","Malacanthidae","Echeneidae","Carangidae","Scombridae","Pomacentridae","Labridae","Bothidae","Gobiidae","Blenniidae","Labrisomidae","Clinidae","Opistognathidae","Scorpaenidae","Dactylopteridae","Ephippidae","Chaetodontidae","Pomacanthidae","Acanthuridae","Balistidae","Monacanthidae","Ostraciidae","Tetraodontidae","Diodontidae","Antennariidae","Ogcocephalidae","Moringuidae","Syngnathidae","Fistulariidae","Polynemidae","Plesiopidae","Lethrinidae","Siganidae","Platycephalidae","Pinguipedidae","Bythitidae","Callionymidae","Pseudochromidae","Gobiesocidae","Tripterygiidae","Ophidiidae","Zanclidae","Carcharhinidae","Elopidae","Megalopidae","Albulidae","Chirocentridae","Chanidae","Sphyrnidae","Terapontidae","Sillaginidae","Leiognathidae","Nemipteridae","Monodactylidae","Drepaneidae","Platacidae","Scatophagidae","Trichiuridae"
"Decapoda",0,0,0,0,0,0.857142857142857,0,0,0,0,0.379310344474435,0.355367715922154,0,0,0.40000000048,0,0.453351217146857,0.606630380741802,0.127272727050579,0,0,0,0,0,0,0,0.163259971450889,0,0,0.166666666666667,0,0.0788928700763623,0.10795058884047,0,0,0,0,0,0,0.536842105424931,0,0,0.0698579584893549,0,0.291167906806541,0.0971244056682532,0,0,0.0403541976669466,0.317679558031196,0,0,0,0,0,0,0,0.0967741935483871,0,0,0,0,0,0,0,0,0.555555555555556,0.014598540087165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Detritus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.217802373941949,0,0,0,0,0.086064949142917,0.105587896723296,0,0,0,0,0,0,0,0,0,0,0.192307692307692,0,0,0,0.0833333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Echinoidea",0,0,0,0,0,0,0,0,0,0,0,0.0284258682817526,0,0,0,0,0.0284034871592274,0,0,0,0,0,0,0,0,0,0.0600415872434404,0,0,0,0,0,0.0587727502105349,0,0,0,0,0,0,0,0,0,0.0582620185622623,0,0,0.0854287966083899,0.0422747860988625,0,0.0881438420702078,0.28453038676414,0,0,0,0,0,0,0,0.193548387096774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Foraminifera",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.319999999808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.117658308007552,0,0,0,0,0,0,0,0,0,0.00421268824681867,0,0,0.0467824362394533,0,0,0.0378531837141976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0437956204366775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gastropoda",0,0,0,0,0,0,0,0,0,0,0,0.071457104622164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.150331398446297,0,0,0,0,0.0401636429190171,0.137362032330878,0,0,0,0,0,0,0,0,0,0.0449279764601505,0,0,0.0910223487813836,0.0261701057205099,0.0833333333333333,0.0732729485351206,0.317679558031196,0,0,0,0,0,0,0,0.193548387096774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Holothuroidea",0,0,0,0,0,0,0,0,0,0,0,0.00406083828071531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00324052942387027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0645161290322581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Inorganic",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0114753265667331,0.0586599426240533,0,0,0,0,0,0,0,0,0,0,0,0,0.00915308536234027,0.0261701057205099,0,0.0312288765673359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Insecta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0200818214810248,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0183061707246805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Medusozoa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0311985440643074,0,0,0,0,0,0,0,0,0,0,0.0866645224622011,0,0,0,0.0523402113564703,0,0.00892253617101851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0291970803495125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ophiuroidea",0,0,0,0,0,0,0,0,0,0,0,0.056851736669087,0,0,0,0,0.0731389797034235,0,0,0,0,0,0,0,0,0,0.0354791197307285,0,0,0,0,0,0.0135906276923149,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0261701057205099,0,0.0485331891830709,0.0662983425341107,0,0,0,0,0,0,0,0.193548387096774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
