"","Abudefduf sordidus","Acanthurus gahhm","Acanthurus olivaceus","Acanthurus triostegus","Anyperodon leucogrammicus","Apogon sp","Arothron meleagris","Arothron nigropunctatus","Aspidontus taeniatus","Balistapus undulatus","Bathygobius fuscus","Blenniella chrysospilos","Blenniella paula","Bothus mancus","Canthigaster solandri","Carangoides ferdau","Cephalopholis argus","Cephalopholis urodeta","Chaetodon auriga","Chaetodon citrinellus","Chaetodon ephippium","Chaetodon trifascialis","Chaetodon vagabundus","Cheilinus chlorourus","Cheilinus oxycephalus","Cheilinus trilobatus","Cheilodipterus quinquelineatus","Chlorurus sordidus","Chromis atripectoralis","Chromis ternatensis","Chrysiptera biocellata","Chrysiptera brownriggii","Chrysiptera glauca","Cirrhitichthys aprinus","Cirripectes variolosus","Corythoichthys flavofasciatus","Crenimugil crenilabis","Dascyllus aruanus","Dinematichthys iluocoeteoides","Epinephelus fuscoguttatus","Epinephelus hexagonatus","Epinephelus howlandi","Epinephelus merra","Fistularia petimba","Gnathodentex aureolineatus","Gnatholepis anjerensis","Gobiodon erythrospilus","Gobiodon rivulatus","Gomphosus varius","Gymnothorax buroensis","Gymnothorax flavimarginatus","Gymnothorax margaritophorus","Gymnothorax pictus","Gymnothorax sp","Halichoeres hortulanus","Halichoeres margaritaceus","Halichoeres marginatus","Halichoeres melanurus","Halichoeres trimaculatus","Hemigymnus melapterus","Herklotsichthys quadrimaculatus","Heteropriacanthus cruentatus","Holocentrus sp","Hypoatherina ovalaua","Hypoatherina temminckii","Hyporhamphus affinis","Hyporhamphus dussumieri","Istigobius ornatus","Labroides dimidiatus","Lutjanus fulvus","Lutjanus gibbus","Lutjanus vitta","Macropharyngodon meleagris","Monotaxis grandoculis","Moringua macrochir","Mulloidichthys flavolineatus","Myripristis berndti","Myripristis violacea","Naso unicornis","Neoniphon argenteus","Neoniphon sammara","Ostorhinchus nigrofasciatus","Ostorhinchus novemfasciatus","Ostracion cubicus","Paracirrhites arcatus","Paracirrhites forsteri","Paragobiodon echinocephalus","Parapercis cephalopunctata","Parupeneus barberinus","Parupeneus cyclostomus","Parupeneus trifasciatus","Pempheris oualensis","Plectroglyphidodon dickii","Plectroglyphidodon lacrymatus","Plectroglyphidodon leucozonus","Plesiops coeruleolineatus","Plesiops nigricans","Polydactylus sexfilis","Pomacentrus pavo","Pomacentrus vaiuli","Pristiapogon exostigma","Pristiapogon kallopterus","Pseudocheilinus hexataenia","Pseudogramma polyacantha","Pterois radiata","Rhinecanthus aculeatus","Rhinecanthus rectangulus","Sargocentron diadema","Sargocentron microstoma","Sargocentron punctatissimum","Sargocentron spiniferum","Saurida gracilis","Scarus sp","Scorpaenopsis gibbosa","Selar crumenophthalmus","Siganus argenteus","Spratelloides delicatulus","Stegastes albifasciatus","Stegastes fasciolatus","Stegastes nigricans","Stethojulis balteata","Stethojulis sp","Synodus variegatus","Thalassoma hardwicke","Thalassoma lutescens","Thalassoma quinquevittatum","Thysanophrys sp","Trachinotus baillonii","Uropterygius xanthopterus","Valenciennea sexguttata","Valenciennea strigata"
"Globothalamea",0.208469055374593,1,0.244897959183673,0.523809523809524,0.5,0,0,0,0,0,0,1,0.387755102040816,0,0.2,0,0,0,0.033210332103321,0,0,0,0,0,0,0,0,0,0,0,0.123076923076923,0.516129032258065,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.264631043256997,0,0.1,0.111524163568773,0,0.0425531914893617,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0.363636363636364,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0693069306930693,0,0.108108108108108,0,0,0.333333333333333,0,0,0,0.217687074829932,0,0,0,0,0.380952380952381,0,0,0.282186948853616,0.21301775147929,0,0,0,0,0,0,0,0.44131455399061,1,0,0,0,0,0.15085264538697,0,0,0,0,0,0,0,0,0,0
"Hexanauplia",0,0,0,0.238095238095238,0,0,0,0,0,0,0,0,0.285714285714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.607142857142857,0.27027027027027,0.123076923076923,0,0,0,0,0.602409638554217,0,0.45,0,0,0,0,0,0,0,0.6,0,0.428571428571429,0,0,0,0,0,0,0,0,0.272727272727273,0.2,0.0557620817843866,0,0.127659574468085,0,0,0.615384615384615,0.306010928961749,0.344827586206897,0,0.230379746835443,0.6,0,0,0,0,0,0,0.0971223021582734,0,0,0,0,0.142857142857143,0,0,0,0,0,0,0,0.0693069306930693,0,0.108108108108108,0.125748502994012,0,0.333333333333333,0.358695652173913,0,0.273458445040214,0,0.328767123287671,0.333333333333333,0,0.0763358778625954,0.380952380952381,0,0,0,0.21301775147929,0,0,0,0,0,0,0,0,0,0.435897435897436,0,0,0,0.123305640577175,0.170731707317073,0,0.342857142857143,0,0,0,0,0,0.254392666157372,0.152542372881356
"Holothuroidea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0798004987531172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hydrozoa",0.0651465798045603,0,0,0,0,0,0,0,0,0.036144578313253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0821917808219178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Insecta",0,0,0,0,0,0,0,0,0,0,0.156769596199525,0,0,0,0,0,0,0,0,0,0,0,0,0.109677419354839,0,0,0,0,0,0,0,0,0.107142857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Malacostraca",0.100977198697068,0,0,0,0,1,0,0.142857142857143,0.5,0.180722891566265,0.377672209026128,0,0,0.476984656437625,0.2,0,0.5625,0.28,0.0590405904059041,0,0.125,0,0,0.354838709677419,0.454545454545455,0.317880794701987,0.363934426229508,0,0.335714285714286,0.0810810810810811,0.276923076923077,0,0.357142857142857,0.333333333333333,0,0.198795180722892,0,0.223333333333333,0.4,0.5,0,0.158064516129032,0.529411764705882,0,0.444444444444444,0,0.25,0.285714285714286,0.625,0.788135593220339,0.4,0,0.4,0.625,0.101796407185629,0.216284987277354,0.363636363636364,0.2,0.479553903345725,0,0.276595744680851,0.118155619596542,1,0.307692307692308,0.387978142076503,0.218390804597701,0.14868804664723,0.192405063291139,0.2,0.369085173501577,0.261845386533666,0.535911602209945,0,0.123348017621145,0,0.115107913669065,1,0.417789757412399,0,1,0.285714285714286,1,0.591304347826087,0.122137404580153,0.269230769230769,0,1,0.598958333333333,0.142326732673267,0.543478260869565,0.189189189189189,0.350299401197605,0,0,0.184782608695652,0.259634888438134,0.361930294906166,0.564625850340136,0.136986301369863,0.166666666666667,0.5,0.267175572519084,0.142857142857143,0.769230769230769,1,0.149911816578483,0.36094674556213,0.161987041036717,0.506849315068493,0.5,0.620253164556962,0,0,0,0.0751173708920188,0,0.256410256410256,0.5,0,0,0.174901617839965,0.195121951219512,0,0.314285714285714,0.266666666666667,0.464646464646465,0.545454545454545,0.25,1,0.158899923605806,0.121065375302663
"Ophiuroidea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.133333333333333,0,0,0,0,0,0
"Ostracoda",0,0,0,0,0,0,0,0,0,0,0,0,0.285714285714286,0,0,0,0,0,0.033210332103321,0,0,0,0,0,0,0,0,0,0,0.162162162162162,0,0,0,0,0.333333333333333,0.198795180722892,0,0.09,0.145454545454545,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.425531914893617,0,0,0,0,0,0,0.268354430379747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.216584158415842,0,0.108108108108108,0,0,0,0,0,0,0,0.164383561643836,0,0,0.16793893129771,0.0952380952380952,0,0,0,0,0,0,0,0,0,0,0,0,0,0.256410256410256,0,0,0,0.124617402710975,0.24390243902439,0,0,0,0,0,0,0,0.403361344537815,0.399515738498789
"Phaeophyceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.194070080862534,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Polychaeta",0.208469055374593,0,0,0,0,0,0,0,0,0,0.327790973871734,0,0,0,0.2,0,0.1875,0,0.509225092250922,0.0961538461538462,0.125,0,0,0.109677419354839,0,0,0,0,0.0285714285714286,0,0.276923076923077,0.161290322580645,0.107142857142857,0.333333333333333,0,0,0,0,0,0,0.2,0,0,0,0.111111111111111,0,0.25,0.285714285714286,0,0,0,0,0,0,0.197604790419162,0.264631043256997,0.272727272727273,0.3,0.0557620817843866,0,0.127659574468085,0.132564841498559,0,0,0,0,0.303206997084548,0.232911392405063,0,0,0.0798004987531172,0.110497237569061,0,0.0616740088105727,0.545454545454545,0.0971223021582734,0,0.388140161725067,0,0,0.142857142857143,0,0,0.381679389312977,0,0,0,0,0.502475247524752,0,0.0540540540540541,0.272455089820359,0,0,0,0,0,0.217687074829932,0,0.166666666666667,0.25,0,0,0,0,0.141093474426808,0.21301775147929,0.397408207343412,0.0821917808219178,0,0,0,0,0,0,0,0.0512820512820513,0,0,0,0.40008745080892,0.0975609756097561,0,0,0.133333333333333,0,0,0,0,0.0733384262796028,0
"Polyplacophora",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0610687022900763,0,0,0.0557620817843866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Solenogastres",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0557620817843866,0,0,0,0,0,0,0,0,0,0,0,0.259351620947631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.060475161987041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tubothalamea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.122065727699531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
