"","Ginglymostomatidae","Dasyatidae","Mylobatidae","Clupeidae","Synodontidae","Muraenidae","Ophichthidae","Congridae","Belonidae","Hemiramphidae","Aulostomidae","Holocentridae","Mugilidae","Sphyraenidae","Atherinidae","Serranidae","Cirrhitidae","Apogonidae","Priacanthidae","Pempheridae","Haemulidae","Lutjanidae","Sparidae","Kyphosidae","Gerreidae","Sciaenidae","Mullidae","Malacanthidae","Echeneidae","Carangidae","Scombridae","Pomacentridae","Labridae","Bothidae","Gobiidae","Blenniidae","Labrisomidae","Clinidae","Opistognathidae","Scorpaenidae","Dactylopteridae","Ephippidae","Chaetodontidae","Pomacanthidae","Acanthuridae","Balistidae","Monacanthidae","Ostraciidae","Tetraodontidae","Diodontidae","Antennariidae","Ogcocephalidae","Moringuidae","Syngnathidae","Fistulariidae","Polynemidae","Plesiopidae","Lethrinidae","Siganidae","Platycephalidae","Pinguipedidae","Bythitidae","Callionymidae","Pseudochromidae","Gobiesocidae","Tripterygiidae","Ophidiidae","Zanclidae","Carcharhinidae","Elopidae","Megalopidae","Albulidae","Chirocentridae","Chanidae","Sphyrnidae","Terapontidae","Sillaginidae","Leiognathidae","Nemipteridae","Monodactylidae","Drepaneidae","Platacidae","Scatophagidae","Trichiuridae"
"Decapoda",0,0.20000000014,0,0,0.00767056926952509,0,0,0,0.0666666662933333,0,0,0.678814576780995,0,0.00590011247103451,0,0.256923522727495,0,0.823529411958478,0.875,0,0.478343021709977,0.312052040267893,0.764705880294983,0,0.39999999928,0,0.465359000159973,0,0,0.166660668904035,0,0.0714285730816327,0.346849990545427,0.186128804025315,0,0,0,0,0,0.727272727272727,1,0,0,0,0,0.120162595766328,0,0,0.246017699249293,0,0,0,0,0,0,0.5,0,0.223178170096116,0,0.249999999914062,0,0,0,0,0,0,0,0,0,0.076923077,0.12,0.5,0.333333333,0,1,0.204081632941691,0.639283508060186,0.0487804875496728,0.30982299399372,0.230769230769231,0,0,0,0
"Detritus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00436857479928795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Echinoidea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00132602136154966,0,0,0,0,0.0231211647341701,0.016126810313703,0.0147058830909386,0,0,0,0.00474660435322375,0,0.222222224,0,0,0,0.165082069735326,0,0,0,0,0,0,0,0,0,0,0,0,0.0909848928538191,0,0,0.0303413400447372,0,0,0,0,0,0,0,0,0.0612448603966653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00126988677292365,0,1,0,0,0
"Foraminifera",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000549318298523191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0202324897248677,0,0,0,0,0,0,0,0,0,0,0,0.00555022790216031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gastropoda",0,0,0,0,0,0,0,0,0,0,0,0.0128153786313209,0,0,0,0.00245870274118038,0,0,0,0,0.180181012062087,0.00828101759511236,0.0588235294961073,0,0.080000000576,0,0.000988188382104231,0,0,0,0,0,0.260674503546121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.109481668811313,0,0,0,0,0,0,0,0,0.0495994080956951,0,0.0625000000644531,0,0,0,0,0,0,0,0,0,0.076923077,0,0,0,0,0,0,0,0,0.0331109205658488,0,0,0,0,0
"Holothuroidea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00856757216388049,0.00172908670210652,0.0147058830909386,0,0,0,0,0,0,0.00151601509455717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0106610109455452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Inorganic",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Insecta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Medusozoa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ophiuroidea",0,0,0,0,0,0,0,0,0,0,0,0.112134561342039,0,0,0,0.00172100642903763,0,0,0,0,0.00271798834930098,0.00188093123330205,0,0,0,0,0.0388590730066519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00873675702275173,0,0,0,0,0,0,0,0,0,0,0,0.0173582313287383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0177784115065273,0,0,0,0,0
"Phytoplankton",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Polyplacophora",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.16159424313424e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Porifera",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000942494674783206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.369955157139798,0.323719835213466,0,0,0.0887484197728537,0,0,0,0,0,0,0,0,0.000649414416557226,0.123711340218939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pycnogonida",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Scaphopoda",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00164932477677667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00229906629603961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Solenogastres",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Stomatopoda",0,0.10000000007,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0194518170170668,0,0,0,0,0.00164932477677667,0.0687980896094037,0,0,0,0,0.00934287187312725,0,0,0.0187931244181844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0128139100181299,0,0,0,0,0,0,0,0,0,0.0714285714285714,0,0.012013045581487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0689366980616695,0,0,0,0,0
"Tunicata",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Worm",0,0.49999999965,0,0,0,0,0,0,0,0,0,0.0128153786313209,0,0,0,0.00706426244059983,0,0,0,0,0.0591234326435709,0.0260040489398059,0,0,0.279999999856,0,0.150957729003937,0,0,0,0,0,0,0.368011323408049,0,0,0,0,0,0.136363636363636,0,0,0,0,0,0.0330463997429975,0,0,0,0,0,0,0,0,0,0,0,0.113227959985409,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0.0612244902682216,0.116121062350581,0,0.156836261223986,0.153846153846154,0,0.625,0,0
"Zooplankton",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00788807512191168,0.00611986543842825,0,0,0,0,0.113919946513001,0,0,0.0174341739360909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0262958280545497,0,0,0,0,0,0,0,0,0.00256079654303094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
