"","Family","nom","item","mean_length","max_length","min_length","nb_sample","nb_guts","n","freq_item","item_raw","item_family","item_ord","item_class","item_phylum","item_kingdom","site_code","class","fish_sp","genus_cor","sp_cor"
"213","Carangidae","Carangoides orthogrammus","Poisson",371.363636363636,620,280,33,16,16,1,"Actinopterygii",NA,NA,"Actinopterygii","Chordata","Animalia","nca","Actinopterygii","Carangoides orthogrammus","Carangoides","orthogrammus"
"214","Carangidae","Carangoides coeruleopinnatus","Poisson",207.105263157895,305,120,19,4,4,1,"Actinopterygii",NA,NA,"Actinopterygii","Chordata","Animalia","nca","Actinopterygii","Carangoides coeruleopinnatus","Carangoides","coeruleopinnatus"
"215","Carangidae","Caranx ignobilis","Poisson",335.462962962963,870,70,108,27,17,0.62962962962963,"Actinopterygii",NA,NA,"Actinopterygii","Chordata","Animalia","nca","Actinopterygii","Caranx ignobilis","Caranx","ignobilis"
"216","Carangidae","Caranx ignobilis","crabes",335.462962962963,870,70,108,27,6,0.222222222222222,"Crab",NA,"Decapoda","Malacostraca","Arthropoda","Animalia","nca","Actinopterygii","Caranx ignobilis","Caranx","ignobilis"
"217","Carangidae","Caranx ignobilis","crevettes",335.462962962963,870,70,108,27,5,0.185185185185185,"Shrimp",NA,"Decapoda","Malacostraca","Arthropoda","Animalia","nca","Actinopterygii","Caranx ignobilis","Caranx","ignobilis"
"218","Carangidae","Caranx melampygus","Poisson",144.310344827586,540,55,29,2,2,1,"Actinopterygii",NA,NA,"Actinopterygii","Chordata","Animalia","nca","Actinopterygii","Caranx melampygus","Caranx","melampygus"
"219","Carangidae","Caranx papuensis","crevettes",257.100591715976,650,65,169,46,5,0.108695652173913,"Shrimp",NA,"Decapoda","Malacostraca","Arthropoda","Animalia","nca","Actinopterygii","Caranx papuensis","Caranx","papuensis"
"220","Carangidae","Caranx papuensis","Poisson",257.100591715976,650,65,169,46,29,0.630434782608696,"Actinopterygii",NA,NA,"Actinopterygii","Chordata","Animalia","nca","Actinopterygii","Caranx papuensis","Caranx","papuensis"
"221","Carangidae","Caranx papuensis","crabes",257.100591715976,650,65,169,46,16,0.347826086956522,"Crab",NA,"Decapoda","Malacostraca","Arthropoda","Animalia","nca","Actinopterygii","Caranx papuensis","Caranx","papuensis"
"222","Carangidae","Caranx papuensis","holothurie",257.100591715976,650,65,169,46,1,0.0217391304347826,"Holothuroidea",NA,NA,"Holothuroidea","Echinodermata","Animalia","nca","Actinopterygii","Caranx papuensis","Caranx","papuensis"
"223","Carangidae","Caranx sexfasciatus","Poisson",442.5,620,95,6,3,3,1,"Actinopterygii",NA,NA,"Actinopterygii","Chordata","Animalia","nca","Actinopterygii","Caranx sexfasciatus","Caranx","sexfasciatus"
"224","Carangidae","Caranx sp","crabes",342,600,200,5,3,1,0.333333333333333,"Crab",NA,"Decapoda","Malacostraca","Arthropoda","Animalia","nca","Actinopterygii","Caranx sp","Caranx","sp"
"225","Carangidae","Caranx sp","Poisson",342,600,200,5,3,2,0.666666666666667,"Actinopterygii",NA,NA,"Actinopterygii","Chordata","Animalia","nca","Actinopterygii","Caranx sp","Caranx","sp"
"226","Carangidae","Decapterus russelli","Poisson",161.25,300,115,16,1,1,1,"Actinopterygii",NA,NA,"Actinopterygii","Chordata","Animalia","nca","Actinopterygii","Decapterus russelli","Decapterus","russelli"
"227","Carangidae","Gnathanodon spciosus","crabes",207.75,745,40,20,2,2,1,"Crab",NA,"Decapoda","Malacostraca","Arthropoda","Animalia","nca","Actinopterygii","Gnathanodon speciosus","Gnathanodon","speciosus"
"228","Carangidae","Megalasps cordyla","crevettes",250,260,240,2,2,1,0.5,"Shrimp",NA,"Decapoda","Malacostraca","Arthropoda","Animalia","nca","Actinopterygii","Megalaspis cordyla","Megalaspis","cordyla"
"229","Carangidae","Megalasps cordyla","Poisson",250,260,240,2,2,1,0.5,"Actinopterygii",NA,NA,"Actinopterygii","Chordata","Animalia","nca","Actinopterygii","Megalaspis cordyla","Megalaspis","cordyla"
"230","Carangidae","Pseudocaranx dentex","Poisson",420,590,270,9,4,3,0.75,"Actinopterygii",NA,NA,"Actinopterygii","Chordata","Animalia","nca","Actinopterygii","Pseudocaranx dentex","Pseudocaranx","dentex"
"231","Carangidae","Scomberoides lysan","Poisson",198.928571428571,555,115,14,2,2,1,"Actinopterygii",NA,NA,"Actinopterygii","Chordata","Animalia","nca","Actinopterygii","Scomberoides lysan","Scomberoides","lysan"
"232","Carangidae","Scomberoides tol","crevettes",157.347457627119,280,35,236,30,3,0.1,"Shrimp",NA,"Decapoda","Malacostraca","Arthropoda","Animalia","nca","Actinopterygii","Scomberoides tol","Scomberoides","tol"
"233","Carangidae","Scomberoides tol","Poisson",157.347457627119,280,35,236,30,26,0.866666666666667,"Actinopterygii",NA,NA,"Actinopterygii","Chordata","Animalia","nca","Actinopterygii","Scomberoides tol","Scomberoides","tol"
"234","Carangidae","Scomberoides tol","crustacé",157.347457627119,280,35,236,30,1,0.0333333333333333,"Crustacea",NA,NA,NA,"Arthropoda","Animalia","nca","Actinopterygii","Scomberoides tol","Scomberoides","tol"
"235","Carangidae","Seriola lalandi","Poisson",487.5,500,475,2,1,1,1,"Actinopterygii",NA,NA,"Actinopterygii","Chordata","Animalia","nca","Actinopterygii","Seriola lalandi","Seriola","lalandi"
"236","Leiognathidae","Gazza minuta","Poisson",121.214574898785,210,25,247,39,39,1,"Actinopterygii",NA,NA,"Actinopterygii","Chordata","Animalia","nca","Actinopterygii","Gazza minuta","Gazza","minuta"
"237","Leiognathidae","Gazza minuta","crevettes",121.214574898785,210,25,247,39,2,0.0512820512820513,"Shrimp",NA,"Decapoda","Malacostraca","Arthropoda","Animalia","nca","Actinopterygii","Gazza minuta","Gazza","minuta"
"238","Lutjanidae","Aprion virescens","crevettes",630.923913043478,880,225,92,55,5,0.0909090909090909,"Shrimp",NA,"Decapoda","Malacostraca","Arthropoda","Animalia","nca","Actinopterygii","Aprion virescens","Aprion","virescens"
"239","Lutjanidae","Aprion virescens","crabes",630.923913043478,880,225,92,55,6,0.109090909090909,"Crab",NA,"Decapoda","Malacostraca","Arthropoda","Animalia","nca","Actinopterygii","Aprion virescens","Aprion","virescens"
"240","Lutjanidae","Aprion virescens","vers",630.923913043478,880,225,92,55,4,0.0727272727272727,"Worms",NA,NA,NA,NA,"Animalia","nca","Actinopterygii","Aprion virescens","Aprion","virescens"
"241","Lutjanidae","Aprion virescens","Poisson",630.923913043478,880,225,92,55,24,0.436363636363636,"Actinopterygii",NA,NA,"Actinopterygii","Chordata","Animalia","nca","Actinopterygii","Aprion virescens","Aprion","virescens"
"242","Lutjanidae","Aprion virescens","méduse",630.923913043478,880,225,92,55,2,0.0363636363636364,"Jellyfish",NA,NA,NA,"Cnidaria","Animalia","nca","Actinopterygii","Aprion virescens","Aprion","virescens"
"243","Lutjanidae","Aprion virescens","squilles",630.923913043478,880,225,92,55,10,0.181818181818182,"Stomatopoda",NA,"Stomatopoda","Malacostraca","Arthropoda","Animalia","nca","Actinopterygii","Aprion virescens","Aprion","virescens"
"244","Lutjanidae","Aprion virescens","mollusque",630.923913043478,880,225,92,55,3,0.0545454545454545,"Mollusca",NA,NA,NA,"Mollusca","Animalia","nca","Actinopterygii","Aprion virescens","Aprion","virescens"
"245","Lutjanidae","Aprion virescens","poulpe",630.923913043478,880,225,92,55,2,0.0363636363636364,"Octopoda",NA,"Octopoda","Cephalopoda","Mollusca","Animalia","nca","Actinopterygii","Aprion virescens","Aprion","virescens"
"246","Lutjanidae","Aprion virescens","céphalopode",630.923913043478,880,225,92,55,1,0.0181818181818182,"Cephalopoda",NA,NA,"Cephalopoda","Mollusca","Animalia","nca","Actinopterygii","Aprion virescens","Aprion","virescens"
"247","Lutjanidae","Lutjanus adetii","crabes",297.701421800948,510,185,211,95,33,0.347368421052632,"Crab",NA,"Decapoda","Malacostraca","Arthropoda","Animalia","nca","Actinopterygii","Lutjanus adetii","Lutjanus","adetii"
"248","Lutjanidae","Lutjanus adetii","Poisson",297.701421800948,510,185,211,95,22,0.231578947368421,"Actinopterygii",NA,NA,"Actinopterygii","Chordata","Animalia","nca","Actinopterygii","Lutjanus adetii","Lutjanus","adetii"
"249","Lutjanidae","Lutjanus adetii","mollusque",297.701421800948,510,185,211,95,1,0.0105263157894737,"Mollusca",NA,NA,NA,"Mollusca","Animalia","nca","Actinopterygii","Lutjanus adetii","Lutjanus","adetii"
"250","Lutjanidae","Lutjanus adetii","crevettes",297.701421800948,510,185,211,95,14,0.147368421052632,"Shrimp",NA,"Decapoda","Malacostraca","Arthropoda","Animalia","nca","Actinopterygii","Lutjanus adetii","Lutjanus","adetii"
"251","Lutjanidae","Lutjanus adetii","bivalves",297.701421800948,510,185,211,95,3,0.0315789473684211,"Bivalvia",NA,NA,"Bivalvia","Mollusca","Animalia","nca","Actinopterygii","Lutjanus adetii","Lutjanus","adetii"
"252","Lutjanidae","Lutjanus adetii","squilles",297.701421800948,510,185,211,95,3,0.0315789473684211,"Stomatopoda",NA,"Stomatopoda","Malacostraca","Arthropoda","Animalia","nca","Actinopterygii","Lutjanus adetii","Lutjanus","adetii"
"253","Lutjanidae","Lutjanus adetii","étoile de mer",297.701421800948,510,185,211,95,1,0.0105263157894737,"Asteroidea",NA,NA,"Asteroidea","Echinodermata","Animalia","nca","Actinopterygii","Lutjanus adetii","Lutjanus","adetii"
"254","Lutjanidae","Lutjanus argentimaculatus","crabes",296.684931506849,675,55,365,201,171,0.850746268656716,"Crab",NA,"Decapoda","Malacostraca","Arthropoda","Animalia","nca","Actinopterygii","Lutjanus argentimaculatus","Lutjanus","argentimaculatus"
"255","Lutjanidae","Lutjanus argentimaculatus","Poisson",296.684931506849,675,55,365,201,28,0.139303482587065,"Actinopterygii",NA,NA,"Actinopterygii","Chordata","Animalia","nca","Actinopterygii","Lutjanus argentimaculatus","Lutjanus","argentimaculatus"
"256","Lutjanidae","Lutjanus argentimaculatus","crevettes",296.684931506849,675,55,365,201,28,0.139303482587065,"Shrimp",NA,"Decapoda","Malacostraca","Arthropoda","Animalia","nca","Actinopterygii","Lutjanus argentimaculatus","Lutjanus","argentimaculatus"
"257","Lutjanidae","Lutjanus bohar","Poisson",447.942028985507,750,40,483,146,64,0.438356164383562,"Actinopterygii",NA,NA,"Actinopterygii","Chordata","Animalia","nca","Actinopterygii","Lutjanus bohar","Lutjanus","bohar"
"258","Lutjanidae","Lutjanus bohar","nudibranche",447.942028985507,750,40,483,146,10,0.0684931506849315,"Nudibranchia",NA,"Nudibranchia","Gastropoda","Mollusca","Animalia","nca","Actinopterygii","Lutjanus bohar","Lutjanus","bohar"
"259","Lutjanidae","Lutjanus bohar","bivalves",447.942028985507,750,40,483,146,2,0.0136986301369863,"Bivalvia",NA,NA,"Bivalvia","Mollusca","Animalia","nca","Actinopterygii","Lutjanus bohar","Lutjanus","bohar"
"260","Lutjanidae","Lutjanus bohar","crustacé",447.942028985507,750,40,483,146,2,0.0136986301369863,"Crustacea",NA,NA,NA,"Arthropoda","Animalia","nca","Actinopterygii","Lutjanus bohar","Lutjanus","bohar"
"261","Lutjanidae","Lutjanus bohar","crabes",447.942028985507,750,40,483,146,9,0.0616438356164384,"Crab",NA,"Decapoda","Malacostraca","Arthropoda","Animalia","nca","Actinopterygii","Lutjanus bohar","Lutjanus","bohar"
"262","Lutjanidae","Lutjanus bohar","vers",447.942028985507,750,40,483,146,4,0.0273972602739726,"Worms",NA,NA,NA,NA,"Animalia","nca","Actinopterygii","Lutjanus bohar","Lutjanus","bohar"
"263","Lutjanidae","Lutjanus bohar","mollusque",447.942028985507,750,40,483,146,4,0.0273972602739726,"Mollusca",NA,NA,NA,"Mollusca","Animalia","nca","Actinopterygii","Lutjanus bohar","Lutjanus","bohar"
"264","Lutjanidae","Lutjanus bohar","céphalopode",447.942028985507,750,40,483,146,3,0.0205479452054795,"Cephalopoda",NA,NA,"Cephalopoda","Mollusca","Animalia","nca","Actinopterygii","Lutjanus bohar","Lutjanus","bohar"
"265","Lutjanidae","Lutjanus bohar","squilles",447.942028985507,750,40,483,146,2,0.0136986301369863,"Stomatopoda",NA,"Stomatopoda","Malacostraca","Arthropoda","Animalia","nca","Actinopterygii","Lutjanus bohar","Lutjanus","bohar"
"266","Lutjanidae","Lutjanus bohar","méduse",447.942028985507,750,40,483,146,2,0.0136986301369863,"Jellyfish",NA,NA,NA,"Cnidaria","Animalia","nca","Actinopterygii","Lutjanus bohar","Lutjanus","bohar"
"267","Lutjanidae","Lutjanus bohar","éponge",447.942028985507,750,40,483,146,1,0.00684931506849315,"Porifera",NA,NA,NA,"Porifera","Animalia","nca","Actinopterygii","Lutjanus bohar","Lutjanus","bohar"
"268","Lutjanidae","Lutjanus bohar","poulpe",447.942028985507,750,40,483,146,3,0.0205479452054795,"Octopoda",NA,"Octopoda","Cephalopoda","Mollusca","Animalia","nca","Actinopterygii","Lutjanus bohar","Lutjanus","bohar"
"269","Lutjanidae","Lutjanus bohar","crevettes",447.942028985507,750,40,483,146,1,0.00684931506849315,"Shrimp",NA,"Decapoda","Malacostraca","Arthropoda","Animalia","nca","Actinopterygii","Lutjanus bohar","Lutjanus","bohar"
"270","Lutjanidae","Lutjanus fulviflamma","crabes",186.018041237113,900,21,776,142,45,0.316901408450704,"Crab",NA,"Decapoda","Malacostraca","Arthropoda","Animalia","nca","Actinopterygii","Lutjanus fulviflamma","Lutjanus","fulviflamma"
"271","Lutjanidae","Lutjanus fulviflamma","Poisson",186.018041237113,900,21,776,142,69,0.485915492957746,"Actinopterygii",NA,NA,"Actinopterygii","Chordata","Animalia","nca","Actinopterygii","Lutjanus fulviflamma","Lutjanus","fulviflamma"
"272","Lutjanidae","Lutjanus fulviflamma","crevettes",186.018041237113,900,21,776,142,26,0.183098591549296,"Shrimp",NA,"Decapoda","Malacostraca","Arthropoda","Animalia","nca","Actinopterygii","Lutjanus fulviflamma","Lutjanus","fulviflamma"
"273","Lutjanidae","Lutjanus fulviflamma","squilles",186.018041237113,900,21,776,142,4,0.028169014084507,"Stomatopoda",NA,"Stomatopoda","Malacostraca","Arthropoda","Animalia","nca","Actinopterygii","Lutjanus fulviflamma","Lutjanus","fulviflamma"
"274","Lutjanidae","Lutjanus fulviflamma","vers",186.018041237113,900,21,776,142,2,0.0140845070422535,"Worms",NA,NA,NA,NA,"Animalia","nca","Actinopterygii","Lutjanus fulviflamma","Lutjanus","fulviflamma"
"275","Lutjanidae","Lutjanus fulvus","Poisson",199.507552870091,310,40,331,112,20,0.178571428571429,"Actinopterygii",NA,NA,"Actinopterygii","Chordata","Animalia","nca","Actinopterygii","Lutjanus fulvus","Lutjanus","fulvus"
"276","Lutjanidae","Lutjanus fulvus","crabes",199.507552870091,310,40,331,112,91,0.8125,"Crab",NA,"Decapoda","Malacostraca","Arthropoda","Animalia","nca","Actinopterygii","Lutjanus fulvus","Lutjanus","fulvus"
"277","Lutjanidae","Lutjanus fulvus","crevettes",199.507552870091,310,40,331,112,10,0.0892857142857143,"Shrimp",NA,"Decapoda","Malacostraca","Arthropoda","Animalia","nca","Actinopterygii","Lutjanus fulvus","Lutjanus","fulvus"
"278","Lutjanidae","Lutjanus fulvus","crustacé",199.507552870091,310,40,331,112,2,0.0178571428571429,"Crustacea",NA,NA,NA,"Arthropoda","Animalia","nca","Actinopterygii","Lutjanus fulvus","Lutjanus","fulvus"
"279","Lutjanidae","Lutjanus gibbus","Poisson",277.031936127745,405,155,501,355,54,0.152112676056338,"Actinopterygii",NA,NA,"Actinopterygii","Chordata","Animalia","nca","Actinopterygii","Lutjanus gibbus","Lutjanus","gibbus"
"280","Lutjanidae","Lutjanus gibbus","crustacé",277.031936127745,405,155,501,355,38,0.107042253521127,"Crustacea",NA,NA,NA,"Arthropoda","Animalia","nca","Actinopterygii","Lutjanus gibbus","Lutjanus","gibbus"
"281","Lutjanidae","Lutjanus gibbus","crabes",277.031936127745,405,155,501,355,77,0.216901408450704,"Crab",NA,"Decapoda","Malacostraca","Arthropoda","Animalia","nca","Actinopterygii","Lutjanus gibbus","Lutjanus","gibbus"
"282","Lutjanidae","Lutjanus gibbus","strombes",277.031936127745,405,155,501,355,1,0.0028169014084507,"Strombidae","Strombidae","Littorinimorpha","Gastropoda","Mollusca","Animalia","nca","Actinopterygii","Lutjanus gibbus","Lutjanus","gibbus"
"283","Lutjanidae","Lutjanus gibbus","bernard l'hermite",277.031936127745,405,155,501,355,2,0.00563380281690141,"Paguroidea",NA,"Decapoda","Malacostraca","Arthropoda","Animalia","nca","Actinopterygii","Lutjanus gibbus","Lutjanus","gibbus"
"284","Lutjanidae","Lutjanus gibbus","mollusque",277.031936127745,405,155,501,355,25,0.0704225352112676,"Mollusca",NA,NA,NA,"Mollusca","Animalia","nca","Actinopterygii","Lutjanus gibbus","Lutjanus","gibbus"
"285","Lutjanidae","Lutjanus gibbus","crevettes",277.031936127745,405,155,501,355,8,0.0225352112676056,"Shrimp",NA,"Decapoda","Malacostraca","Arthropoda","Animalia","nca","Actinopterygii","Lutjanus gibbus","Lutjanus","gibbus"
"286","Lutjanidae","Lutjanus gibbus","céphalopode",277.031936127745,405,155,501,355,5,0.0140845070422535,"Cephalopoda",NA,NA,"Cephalopoda","Mollusca","Animalia","nca","Actinopterygii","Lutjanus gibbus","Lutjanus","gibbus"
"287","Lutjanidae","Lutjanus gibbus","nudibranche",277.031936127745,405,155,501,355,4,0.0112676056338028,"Nudibranchia",NA,"Nudibranchia","Gastropoda","Mollusca","Animalia","nca","Actinopterygii","Lutjanus gibbus","Lutjanus","gibbus"
"288","Lutjanidae","Lutjanus gibbus","squilles",277.031936127745,405,155,501,355,2,0.00563380281690141,"Stomatopoda",NA,"Stomatopoda","Malacostraca","Arthropoda","Animalia","nca","Actinopterygii","Lutjanus gibbus","Lutjanus","gibbus"
"289","Lutjanidae","Lutjanus gibbus","gastéropodes",277.031936127745,405,155,501,355,3,0.00845070422535211,"Gastropoda",NA,NA,"Gastropoda","Mollusca","Animalia","nca","Actinopterygii","Lutjanus gibbus","Lutjanus","gibbus"
"290","Lutjanidae","Lutjanus gibbus","méduse",277.031936127745,405,155,501,355,4,0.0112676056338028,"Jellyfish",NA,NA,NA,"Cnidaria","Animalia","nca","Actinopterygii","Lutjanus gibbus","Lutjanus","gibbus"
"291","Lutjanidae","Lutjanus gibbus","vers",277.031936127745,405,155,501,355,17,0.047887323943662,"Worms",NA,NA,NA,NA,"Animalia","nca","Actinopterygii","Lutjanus gibbus","Lutjanus","gibbus"
"292","Lutjanidae","Lutjanus gibbus","bivalves",277.031936127745,405,155,501,355,5,0.0140845070422535,"Bivalvia",NA,NA,"Bivalvia","Mollusca","Animalia","nca","Actinopterygii","Lutjanus gibbus","Lutjanus","gibbus"
"293","Lutjanidae","Lutjanus gibbus","ophiure",277.031936127745,405,155,501,355,3,0.00845070422535211,"Ophiuroidea",NA,NA,"Ophiuroidea","Echinodermata","Animalia","nca","Actinopterygii","Lutjanus gibbus","Lutjanus","gibbus"
"294","Lutjanidae","Lutjanus gibbus","oursin roche",277.031936127745,405,155,501,355,5,0.0140845070422535,"Echinoidea",NA,NA,"Echinoidea","Echinodermata","Animalia","nca","Actinopterygii","Lutjanus gibbus","Lutjanus","gibbus"
"295","Lutjanidae","Lutjanus gibbus","holothurie",277.031936127745,405,155,501,355,1,0.0028169014084507,"Holothuroidea",NA,NA,"Holothuroidea","Echinodermata","Animalia","nca","Actinopterygii","Lutjanus gibbus","Lutjanus","gibbus"
"296","Lutjanidae","Lutjanus kasmira","crabes",192.022556390977,260,40,133,54,7,0.12962962962963,"Crab",NA,"Decapoda","Malacostraca","Arthropoda","Animalia","nca","Actinopterygii","Lutjanus kasmira","Lutjanus","kasmira"
"297","Lutjanidae","Lutjanus kasmira","Poisson",192.022556390977,260,40,133,54,4,0.0740740740740741,"Actinopterygii",NA,NA,"Actinopterygii","Chordata","Animalia","nca","Actinopterygii","Lutjanus kasmira","Lutjanus","kasmira"
"298","Lutjanidae","Lutjanus kasmira","crustacé",192.022556390977,260,40,133,54,2,0.037037037037037,"Crustacea",NA,NA,NA,"Arthropoda","Animalia","nca","Actinopterygii","Lutjanus kasmira","Lutjanus","kasmira"
"299","Lutjanidae","Lutjanus kasmira","mollusque",192.022556390977,260,40,133,54,3,0.0555555555555556,"Mollusca",NA,NA,NA,"Mollusca","Animalia","nca","Actinopterygii","Lutjanus kasmira","Lutjanus","kasmira"
"300","Lutjanidae","Lutjanus kasmira","gastéropodes",192.022556390977,260,40,133,54,2,0.037037037037037,"Gastropoda",NA,NA,"Gastropoda","Mollusca","Animalia","nca","Actinopterygii","Lutjanus kasmira","Lutjanus","kasmira"
"301","Lutjanidae","Lutjanus lutjanus","vers",151.418918918919,280,85,148,2,1,0.5,"Worms",NA,NA,NA,NA,"Animalia","nca","Actinopterygii","Lutjanus lutjanus","Lutjanus","lutjanus"
"302","Lutjanidae","Lutjanus lutjanus","Poisson",151.418918918919,280,85,148,2,1,0.5,"Actinopterygii",NA,NA,"Actinopterygii","Chordata","Animalia","nca","Actinopterygii","Lutjanus lutjanus","Lutjanus","lutjanus"
"303","Lutjanidae","Lutjanus monostigma","crustacé",315,435,250,13,5,1,0.2,"Crustacea",NA,NA,NA,"Arthropoda","Animalia","nca","Actinopterygii","Lutjanus monostigma","Lutjanus","monostigma"
"304","Lutjanidae","Lutjanus quinquelineatus","crabes",173.023364485981,230,55,856,369,53,0.143631436314363,"Crab",NA,"Decapoda","Malacostraca","Arthropoda","Animalia","nca","Actinopterygii","Lutjanus quinquelineatus","Lutjanus","quinquelineatus"
"305","Lutjanidae","Lutjanus quinquelineatus","vers",173.023364485981,230,55,856,369,21,0.0569105691056911,"Worms",NA,NA,NA,NA,"Animalia","nca","Actinopterygii","Lutjanus quinquelineatus","Lutjanus","quinquelineatus"
"306","Lutjanidae","Lutjanus quinquelineatus","céphalopode",173.023364485981,230,55,856,369,8,0.021680216802168,"Cephalopoda",NA,NA,"Cephalopoda","Mollusca","Animalia","nca","Actinopterygii","Lutjanus quinquelineatus","Lutjanus","quinquelineatus"
"307","Lutjanidae","Lutjanus quinquelineatus","mollusque",173.023364485981,230,55,856,369,7,0.018970189701897,"Mollusca",NA,NA,NA,"Mollusca","Animalia","nca","Actinopterygii","Lutjanus quinquelineatus","Lutjanus","quinquelineatus"
"308","Lutjanidae","Lutjanus quinquelineatus","Poisson",173.023364485981,230,55,856,369,31,0.0840108401084011,"Actinopterygii",NA,NA,"Actinopterygii","Chordata","Animalia","nca","Actinopterygii","Lutjanus quinquelineatus","Lutjanus","quinquelineatus"
"309","Lutjanidae","Lutjanus quinquelineatus","crevettes",173.023364485981,230,55,856,369,16,0.043360433604336,"Shrimp",NA,"Decapoda","Malacostraca","Arthropoda","Animalia","nca","Actinopterygii","Lutjanus quinquelineatus","Lutjanus","quinquelineatus"
"310","Lutjanidae","Lutjanus quinquelineatus","ophiure",173.023364485981,230,55,856,369,4,0.010840108401084,"Ophiuroidea",NA,NA,"Ophiuroidea","Echinodermata","Animalia","nca","Actinopterygii","Lutjanus quinquelineatus","Lutjanus","quinquelineatus"
"311","Lutjanidae","Lutjanus quinquelineatus","bernard l'hermite",173.023364485981,230,55,856,369,4,0.010840108401084,"Paguroidea",NA,"Decapoda","Malacostraca","Arthropoda","Animalia","nca","Actinopterygii","Lutjanus quinquelineatus","Lutjanus","quinquelineatus"
"312","Lutjanidae","Lutjanus quinquelineatus","oursin roche",173.023364485981,230,55,856,369,3,0.00813008130081301,"Echinoidea",NA,NA,"Echinoidea","Echinodermata","Animalia","nca","Actinopterygii","Lutjanus quinquelineatus","Lutjanus","quinquelineatus"
"313","Lutjanidae","Lutjanus quinquelineatus","bivalves",173.023364485981,230,55,856,369,6,0.016260162601626,"Bivalvia",NA,NA,"Bivalvia","Mollusca","Animalia","nca","Actinopterygii","Lutjanus quinquelineatus","Lutjanus","quinquelineatus"
"314","Lutjanidae","Lutjanus quinquelineatus","crustacé",173.023364485981,230,55,856,369,15,0.040650406504065,"Crustacea",NA,NA,NA,"Arthropoda","Animalia","nca","Actinopterygii","Lutjanus quinquelineatus","Lutjanus","quinquelineatus"
"315","Lutjanidae","Lutjanus quinquelineatus","poulpe",173.023364485981,230,55,856,369,1,0.002710027100271,"Octopoda",NA,"Octopoda","Cephalopoda","Mollusca","Animalia","nca","Actinopterygii","Lutjanus quinquelineatus","Lutjanus","quinquelineatus"
"316","Lutjanidae","Lutjanus quinquelineatus","gastéropodes",173.023364485981,230,55,856,369,1,0.002710027100271,"Gastropoda",NA,NA,"Gastropoda","Mollusca","Animalia","nca","Actinopterygii","Lutjanus quinquelineatus","Lutjanus","quinquelineatus"
"317","Lutjanidae","Lutjanus quinquelineatus","strombes",173.023364485981,230,55,856,369,1,0.002710027100271,"Strombidae","Strombidae","Littorinimorpha","Gastropoda","Mollusca","Animalia","nca","Actinopterygii","Lutjanus quinquelineatus","Lutjanus","quinquelineatus"
"318","Lutjanidae","Lutjanus rivulatus","bivalves",496.111111111111,760,300,9,4,1,0.25,"Bivalvia",NA,NA,"Bivalvia","Mollusca","Animalia","nca","Actinopterygii","Lutjanus rivulatus","Lutjanus","rivulatus"
"319","Lutjanidae","Lutjanus rivulatus","Poisson",496.111111111111,760,300,9,4,1,0.25,"Actinopterygii",NA,NA,"Actinopterygii","Chordata","Animalia","nca","Actinopterygii","Lutjanus rivulatus","Lutjanus","rivulatus"
"320","Lutjanidae","Lutjanus russellii","Poisson",167.9,370,95,200,49,30,0.612244897959184,"Actinopterygii",NA,NA,"Actinopterygii","Chordata","Animalia","nca","Actinopterygii","Lutjanus russellii","Lutjanus","russellii"
"321","Lutjanidae","Lutjanus russellii","crevettes",167.9,370,95,200,49,19,0.387755102040816,"Shrimp",NA,"Decapoda","Malacostraca","Arthropoda","Animalia","nca","Actinopterygii","Lutjanus russellii","Lutjanus","russellii"
"322","Lutjanidae","Lutjanus russellii","crabes",167.9,370,95,200,49,9,0.183673469387755,"Crab",NA,"Decapoda","Malacostraca","Arthropoda","Animalia","nca","Actinopterygii","Lutjanus russellii","Lutjanus","russellii"
"323","Lutjanidae","Lutjanus sebae","crabes",605.636363636364,770,245,33,18,11,0.611111111111111,"Crab",NA,"Decapoda","Malacostraca","Arthropoda","Animalia","nca","Actinopterygii","Lutjanus sebae","Lutjanus","sebae"
"324","Lutjanidae","Lutjanus sebae","Poisson",605.636363636364,770,245,33,18,8,0.444444444444444,"Actinopterygii",NA,NA,"Actinopterygii","Chordata","Animalia","nca","Actinopterygii","Lutjanus sebae","Lutjanus","sebae"
"325","Lutjanidae","Lutjanus sebae","squilles",605.636363636364,770,245,33,18,5,0.277777777777778,"Stomatopoda",NA,"Stomatopoda","Malacostraca","Arthropoda","Animalia","nca","Actinopterygii","Lutjanus sebae","Lutjanus","sebae"
"326","Lutjanidae","Lutjanus sebae","poulpe",605.636363636364,770,245,33,18,2,0.111111111111111,"Octopoda",NA,"Octopoda","Cephalopoda","Mollusca","Animalia","nca","Actinopterygii","Lutjanus sebae","Lutjanus","sebae"
"327","Lutjanidae","Lutjanus semicinctus","Poisson",263.225806451613,350,180,31,6,3,0.5,"Actinopterygii",NA,NA,"Actinopterygii","Chordata","Animalia","nca","Actinopterygii","Lutjanus semicinctus","Lutjanus","semicinctus"
"328","Lutjanidae","Lutjanus semicinctus","crevettes",263.225806451613,350,180,31,6,2,0.333333333333333,"Shrimp",NA,"Decapoda","Malacostraca","Arthropoda","Animalia","nca","Actinopterygii","Lutjanus semicinctus","Lutjanus","semicinctus"
"329","Lutjanidae","Lutjanus semicinctus","crabes",263.225806451613,350,180,31,6,1,0.166666666666667,"Crab",NA,"Decapoda","Malacostraca","Arthropoda","Animalia","nca","Actinopterygii","Lutjanus semicinctus","Lutjanus","semicinctus"
