"","Abudefduf saxatilis","Abudefduf taurus","Acanthostracion polygonius","Acanthostracion quadricornis","Acanthurus chirurgus","Acanthurus coeruleus","Aetobatus narinari","Alphestes afer","Aluterus schoepfii","Aluterus scriptus","Amblycirrhitus pinos","Anisotremus surinamensis","Anisotremus virginicus","Antennarius multiocellatus","Antennarius striatus","Apogon maculatus","Archosargus rhomboidalis","Atherinomorus stipes","Aulostomus maculatus","Balistes vetula","Bodianus rufus","Bothus lunatus","Bothus ocellatus","Calamus bajonado","Calamus calamus","Calamus pennatula","Cantherhines macrocerus","Cantherhines pullus","Canthidermis sufflamen","Canthigaster rostrata","Carangoides bartholomaei","Caranx crysos","Caranx latus","Caranx ruber","Cephalopholis cruentata","Cephalopholis fulva","Chaetodipterus faber","Chaetodon capistratus","Chaetodon sedentarius","Chilomycterus antennatus","Chromis cyanea","Chromis multilineata","Clepticus parrae","Coryphopterus glaucofraenum","Dactylopterus volitans","Dasyatis americana","Decapterus punctatus","Diodon holocanthus","Diodon hystrix","Diplodus caudimacula","Echeneis naucrates","Echidna catenata","Entomacrodus nigricans","Epinephelus adscensionis","Epinephelus guttatus","Epinephelus itajara","Epinephelus striatus","Equetus lanceolatus","Equetus punctatus","Eucinostomus argenteus","Euthynnus alletteratus","Gerres cinereus","Ginglymostoma cirratum","Gnatholepis thompsoni","Gobioclinus guppyi","Gymnothorax moringa","Gymnothorax vicinus","Haemulon album","Haemulon aurolineatum","Haemulon carbonarium","Haemulon chrysargyreum","Haemulon flavolineatum","Haemulon macrostomum","Haemulon parra","Haemulon plumierii","Haemulon sciurus","Haemulon vittatum","Halichoeres bivittatus","Halichoeres garnoti","Halichoeres maculipinna","Halichoeres poeyi","Halichoeres radiatus","Harengula clupeola","Harengula humeralis","Hemiramphus balao","Hemiramphus brasiliensis","Heteroconger longissimus","Heteropriacanthus cruentatus","Holacanthus ciliaris","Holacanthus tricolor","Holocentrus adscensionis","Holocentrus rufus","Hypoatherina harringtonensis","Hypoplectrus aberrans","Hypoplectrus chlorurus","Hypoplectrus nigricans","Hypoplectrus puella","Jenkinsia lamprotaenia","Kyphosus sectatrix","Labrisomus nuchipinnis","Lachnolaimus maximus","Lactophrys bicaudalis","Lactophrys trigonus","Lactophrys triqueter","Lutjanus analis","Lutjanus apodus","Lutjanus cyanopterus","Lutjanus griseus","Lutjanus jocu","Lutjanus mahogoni","Malacanthus plumieri","Melichthys niger","Microspathodon chrysurus","Monacanthus ciliatus","Monacanthus tuckeri","Mulloidichthys martinicus","Mycteroperca bonaci","Mycteroperca interstitialis","Mycteroperca tigris","Mycteroperca venenosa","Myrichthys breviceps","Myrichthys ocellatus","Myripristis jacobus","Neoniphon marianus","Ocyurus chrysurus","Odontoscion dentex","Ogcocephalus nasutus","Oligoplites saurus","Ophichthus ophis","Ophioblennius atlanticus","Opisthonema oglinum","Opistognathus aurifrons","Opistognathus maxillosus","Opistognathus whitehursti","Parablennius marmoreus","Paranthias furcifer","Pareques acuminatus","Pempheris schomburgkii","Phaeoptyx conklini","Platybelone argalus","Pomacanthus arcuatus","Pomacanthus paru","Priacanthus arenatus","Prognathodes aculeatus","Pseudupeneus maculatus","Remora remora","Rypticus saponaceus","Sargocentron coruscum","Sargocentron vexillarium","Scartella cristata","Scarus coelestinus","Scarus taeniopterus","Scarus vetula","Scomberomorus cavalla","Scomberomorus regalis","Scorpaena brasiliensis","Scorpaena grandicornis","Scorpaena inermis","Scorpaena plumieri","Scorpaenodes caribbaeus","Selar crumenophthalmus","Seriola dumerili","Serranus tigrinus","Sparisoma aurofrenatum","Sparisoma chrysopterum","Sparisoma radians","Sparisoma rubripinne","Sparisoma viride","Sphoeroides spengleri","Sphyraena barracuda","Sphyraena picudilla","Stegastes fuscus","Stegastes leucostictus","Stegastes planifrons","Stegastes variabilis","Strongylura timucu","Synodus foetens","Synodus intermedius","Thalassoma bifasciatum","Trachinotus falcatus","Trachinotus goodei","Tylosurus acus","Tylosurus crocodilus","Xyrichtys novacula","Xyrichtys splendens"
"Gastropoda",0.0605714285714286,0.0333333333333333,0.0485714285714286,0,1,0,0.534,0,0.0181818181818182,0.0091743119266055,0,0.162271805273834,0.0402542372881356,0,0,0,0.32824427480916,0,0,0.073394495412844,0.106995884773663,0,0,0.111334002006018,0.0869109947643979,0.0863157894736842,0,0.00636942675159236,0.405182567726737,0.117117117117117,0,0.0121334681496461,0.084,0.004004004004004,0.038,0,0.0513643659711076,0,0,0.566,0,0.0169671261930011,0.210204081632653,0,0,0,0.26063829787234,0.677,0.313941825476429,0.8,0,0,0,0.0333333333333333,0,0,0.0160965794768612,0,0.0412903225806452,0.0167890870933893,0,0.15658747300216,0,0,0.05,0,0,0.0409711684370258,0.0247058823529412,0.159831756046267,0.0200445434298441,0.00512820512820513,0,0.0514631685166498,0.0780542986425339,0.0507328072153326,0,0.130663856691254,0.173076923076923,0.0559071729957806,0.255089820359281,0.215369059656218,0.05,0,0.356009070294785,0,0.0655737704918033,0.0121457489878543,0,0,0.0111856823266219,0,0,0,0,0,0,0,0,0.165,0.397,0.0176991150442478,0.0240825688073395,0.03625,0.132517838939857,0.00531914893617021,0,0.068,0.0363269424823411,0,0,0.259541984732824,0.0204081632653061,0.0219298245614035,0.128846153846154,0.00765864332603939,0,0,0,0,0,0,0,0,0.0900109769484083,0,0.259,0,0,0,0.0194871794871795,0,0,0,0,0.00217391304347826,0,0,0,0,0,0,0,0,0.0089086859688196,0,0,0,0.255081300813008,1,0,0,0,0,0,0,0,0,0,0,0.008,0,0,0,0,0,0,0,0,0,0,0.1,0.00538599640933573,0,0.0572916666666667,0,0,0,0.137184115523466,0.478,0.083,0,0,0.430167597765363,0.0526315789473684
"Hexanauplia",0.189714285714286,0,0,0,0,0,0,0,0,0,0.461693548387097,0,0.0190677966101695,0,0,0.104238258877434,0,0.408997955010225,0,0,0,0,0,0,0,0,0,0,0.0141342756183746,0.018018018018018,0,0.00606673407482305,0,0,0,0,0,0,0,0,0,0.931071049840933,0.444897959183673,0.2,0,0,0.638297872340426,0,0,0,0,0,0,0,0,0,0,0,0,0.0209863588667366,0,0,0,0.75,0,0,0,0,0.0435294117647059,0.0199789695057834,0,0,0,0,0,0,0.767,0,0,0.107594936708861,0,0,0.55,0,0.0136054421768707,0,0.679303278688525,0,0,0,0,0,0.892,0,0,0,0,0.890493381468111,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0.0152671755725191,0,0.213450292397661,0.673076923076923,0.00328227571115974,0,0,0,0,0,0,0.0246913580246914,0.0126874279123414,0.0559824368825467,0,0.006,0,0,0,0.272820512820513,0.872579001019368,0.004,0,0,0.670652173913044,0.017877094972067,0,0.0721271393643032,0,0,0,0,0.0779436152570481,0,0.314285714285714,0,0,0.0040650406504065,0,0,0,0,0,0,0,0,0,0,0,0.021,0,0,0,0,0,0,0,0.012311901504788,0,0,0.157575757575758,0.00897666068222621,0.0851063829787234,0,0,0,0,0.226233453670277,0,0,0,0,0,0.64
"Holothuroidea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0421052631578947,0.0754716981132076,0,0,0,0,0,0,0,0,0,0.0369181380417335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0512820512820513,0,0.0332996972754793,0.0305429864253394,0,0,0,0,0,0.0191616766467066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.176991150442478,0.0298165137614679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hydrozoa",0.00914285714285714,0.0166666666666667,0,0,0,0,0,0,0,0.602446483180428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.471698113207547,0.197452229299363,0.100117785630153,0.0405405405405405,0,0.00707785642062689,0,0,0,0,0,0,0,0,0.0609243697478992,0.0190880169671262,0.204081632653061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.167,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0877862595419847,0,0.0043859649122807,0,0,0,0,0,0,0,0,0,0,0.0779363336992316,0,0,0,0,0,0.00717948717948718,0.0132517838939857,0,0,0.115384615384615,0,0,0,0,0,0.0240963855421687,0.0263157894736842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00909090909090909,0,0,0.145833333333333,0,0,0,0,0,0,0,0,0,0
"Insecta",0.0137142857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00548847420417124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014,0,0,0
"Magnoliopsida",0,0,0,0.0952380952380952,0,0,0,0,0,0.137614678899083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0369181380417335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.16793893129771,0,0.225146198830409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00602409638554217,0,0,0,0,0,0,0,0,0,0.8125,1,0.64,0,0,0,0,0,0,0,0,0,0,0.590909090909091,1,1,1,0.961538461538461,0,0,0,0.0575757575757576,0,0.11854103343465,0,0,0,0,0,0,0,0,0,0,0
"Malacostraca",0.0365714285714286,0.05,0.285714285714286,0.282539682539683,0,0,0,0.898177920685959,0.0181818181818182,0.00458715596330275,0.41633064516129,0.182048681541582,0.519067796610169,0.25,0,0.853379152348225,0.381679389312977,0.3640081799591,0.265,0.379816513761468,0.452674897119342,0.114,0.617050067658999,0.23370110330993,0.27434554973822,0.403157894736842,0,0.0127388535031847,0.157832744405183,0.271771771771772,0,0.0950455005055612,0.045,0.0660660660660661,0.3,0.522326064382139,0.00963081861958267,0,0,0.434,0.176470588235294,0.0307529162248144,0.0775510204081633,0,0.878,0.278403275332651,0.0106382978723404,0.079,0.208625877632899,0.1,0.333333333333333,1,0,0.740625,0.688728024819028,0.859110169491525,0.381287726358149,0.687,0.872258064516129,0.730325288562434,0,0.372570194384449,0,0.166666666666667,0.75,0,0.25,0.21092564491654,0.543529411764706,0.44794952681388,0.583518930957684,0.253333333333333,0.0834213305174234,0.797174571140262,0.368778280542986,0.503945885005637,0.02,0.312961011591149,0.365384615384615,0.188818565400844,0.360479041916168,0.24469160768453,0.33,0.06282722513089,0.0861678004535147,0,0.0256147540983607,0.437246963562753,0,0,0.945190156599553,0.837416481069042,0,0.853628536285363,0.732047159699893,0.558,0.9,0.0962695547533093,0,0.402,0.12,0.0707964601769911,0.543577981651376,0.24625,0.532110091743119,0.312234042553191,0,0.541,0.240161453077699,0.156,0.422453703703704,0.255725190839695,0.26530612244898,0.440058479532164,0.198076923076923,0.432166301969365,0,0,0,0.008,0.93,0.945879458794588,0.829218106995885,0.987312572087659,0.526893523600439,0.622,0.475,0.013,0,0,0.323076923076923,0.0958205912334353,0.626,0.7,0,0.18804347826087,0.940782122905028,0.685185185185185,0.744498777506112,0,0,0,0.492,0.0945273631840796,0.658129175946548,0.542857142857143,0.521,1,0.542682926829268,0,0,0,0,0,0.00404858299595142,1,0.857142857142857,0.996798292422625,0.516,0.915291529152915,0.375,0,0.901322482197355,0,0,0,0,0,0.459644322845417,0.019,0,0.218181818181818,0.116696588868941,0,0.640625,0.04,0,0.005,0.339350180505415,0.1,0.026,0.023,0.091,0.111731843575419,0.257894736842105
"Ophiuroidea",0,0,0,0,0,0,0,0,0,0,0,0.0537525354969574,0.17478813559322,0,0,0,0,0,0,0.151376146788991,0.200617283950617,0,0,0,0.162303664921466,0.149473684210526,0,0.121019108280255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0205183585313175,0,0,0,0,0,0.078907435508346,0,0.0630914826498423,0,0.0317948717948718,0,0.024217961654894,0.0644796380090498,0.0631341600901917,0,0.0769230769230769,0.198717948717949,0,0.122155688622754,0.0687563195146613,0,0,0,0,0,0,0,0,0,0.0790645879732739,0,0,0,0,0,0,0,0.123,0,0.221238938053097,0.018348623853211,0,0,0,0,0,0,0,0.253472222222222,0,0.204081632653061,0,0,0.0973741794310722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0.442307692307692,0,0,0,0,0,0,0,0,0,0.0089086859688196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0820793433652531,0,0,0,0,0,0.0364583333333333,0,0,0,0.0902527075812274,0,0,0,0,0,0
"Ostracoda",0,0,0,0,0,0,0,0,0,0,0,0.00253549695740365,0.00953389830508474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00630252100840336,0.00212089077412513,0.0153061224489796,0.3,0,0,0.0904255319148936,0,0,0,0,0,0,0,0,0,0,0,0.00387096774193548,0,0,0,0,0.0833333333333333,0,0,0,0,0,0,0,0,0,0,0,0.00676437429537768,0,0,0,0.0622362869198312,0,0,0,0,0,0,0.0389344262295082,0,0,0,0,0.0133630289532294,0,0,0,0,0,0,0,0,0,0,0,0.0025,0,0,0,0,0,0,0,0,0.0408163265306122,0,0,0.0175054704595186,0,0,0,0,0,0,0.00308641975308642,0,0,0,0,0,0,0,0.00512820512820513,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0044543429844098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Phaeophyceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0282685512367491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Phascolosomatidea",0,0,0,0,0,0,0,0,0,0,0,0,0.00423728813559322,0,0,0,0,0,0,0,0,0,0,0,0.006282722513089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.210849539406346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0647948164146868,0,0,0,0,0,0,0,0,0.0133630289532294,0.104615384615385,0,0,0.0938914027149321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0489977728285078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Polychaeta",0.0102857142857143,0,0,0.0571428571428571,0,0,0,0,0,0,0.121975806451613,0.00405679513184584,0.148305084745763,0,0,0.0423825887743414,0.0305343511450382,0,0,0.0963302752293578,0.00205761316872428,0,0,0.0672016048144433,0.201047120418848,0.147368421052632,0,0,0,0.108108108108108,0,0,0,0,0,0,0.219903691813804,0.408854166666667,0.643640350877193,0,0,0,0,0,0,0.177072671443193,0,0,0,0,0,0,1,0,0.0206825232678387,0,0,0.313,0.0696774193548387,0.204616998950682,0.067,0.137149028077754,0,0,0,0,0,0.227617602427921,0.364705882352941,0.0841219768664564,0.212694877505568,0.406153846153846,0,0.029263370332997,0.164027149321267,0.056369785794814,0.013,0.183350895679663,0.0705128205128205,0.496835443037975,0.0227544910179641,0.0141557128412538,0.05,0.303664921465969,0.100907029478458,0,0,0.17004048582996,0,0,0.0436241610738255,0.0501113585746102,0.027,0,0,0,0,0,0,0.1,0,0.106194690265487,0.0986238532110092,0.365,0,0,0,0,0,0,0.0833333333333333,0,0,0.0614035087719298,0,0.203501094091904,0,0,0,0,0,0.014760147601476,0.0720164609053498,0,0,0,0.044,0,0,0,0.22974358974359,0.00305810397553517,0.143,0,0.442307692307692,0,0,0.280864197530864,0.0721271393643032,0,0,0,0.111,0.638474295190713,0.148106904231626,0,0,0,0.040650406504065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.103967168262654,0,0,0.16969696969697,0.387791741472172,0.170212765957447,0,0,0,0,0.0613718411552347,0,0,0,0,0.0837988826815642,0
"Polyplacophora",0,0.0166666666666667,0,0,0,0,0,0,0,0,0,0,0.00847457627118644,0,0,0,0,0,0,0.00458715596330275,0.00720164609053498,0,0,0,0.018848167539267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0.0166666666666667,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0.0121396054628225,0,0.103049421661409,0,0.0584615384615385,0,0,0.00791855203619909,0,0,0.0347734457323498,0.0256410256410256,0.0158227848101266,0.0526946107784431,0.00202224469160768,0,0,0,0,0,0,0,0,0,0.0066815144766147,0,0,0,0,0,0,0,0,0,0,0.00917431192660551,0.00875,0,0,0,0,0,0,0.0659722222222222,0,0,0,0,0.0864332603938731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.104674796747967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0191518467852257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Priapulida",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0121396054628225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pycnogonida",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018018018018018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022864019253911,0,0,0,0,0,0
"Scaphopoda",0,0,0,0,0,0,0,0,0,0,0,0,0.00211864406779661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00303490136570562,0.00470588235294118,0,0,0.00820512820512821,0,0.00201816347124117,0,0.00225479143179256,0,0,0,0.00210970464135021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00437636761487965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0625698324022346,0
"Scyphozoa",0,0,0,0.0793650793650794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0
"Thaliacea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.202247191011236,0,0,0,0,0,0.0479591836734694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0687022900763359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.132608695652174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ulvophyceae",0,0,0,0,0,0,0,0,0.963636363636364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.123893805309735,0,0.01125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
