site,cons_class,cons_fam,cons_sp,cons_size,lev1,lev2,w
mad,Actinopterygii,Pomacentridae,Pomacentrus tripunctatus,7.5,Actinopterygii,Actinopterygii,0.19
nca,Actinopterygii,Apogonidae,Apogon hyalosoma,7.99127659574,Actinopterygii,Actinopterygii,0.071428571
jap,Actinopterygii,Pomacentridae,Chrysiptera brownriggii,8,Actinopterygii,Actinopterygii,0.11
mari,Actinopterygii,Pomacentridae,Chrysiptera brownriggii,8,Actinopterygii,Actinopterygii,0.05
mari,Actinopterygii,Pomacentridae,Pomacentrus pavo,8.5,Actinopterygii,Actinopterygii,0.5
mad,Actinopterygii,Gobiidae,Vanderhorstia ornatissima,8.5,Actinopterygii,Actinopterygii,0.09
mari,Actinopterygii,Serranidae,Pseudogramma polyacantha,8.6,Actinopterygii,Actinopterygii,0.09
mad,Actinopterygii,Apogonidae,Apogonichthyoides timorensis,9,Actinopterygii,Actinopterygii,0.3
mad,Actinopterygii,Apogonidae,Fowleria aurita,9,Actinopterygii,Actinopterygii,0.08
jap,Actinopterygii,Pomacentridae,Pomacentrus chrysurus,9,Actinopterygii,Actinopterygii,0.34
mad,Actinopterygii,Scorpaenidae,Sebastapistes strongia,9.5,Actinopterygii,Actinopterygii,0.08
vir,Actinopterygii,Atherinidae,Atherinomorus stipes,10,Actinopterygii,Actinopterygii,0.2
jap,Actinopterygii,Pomacentridae,Dascyllus aruanus,10,Actinopterygii,Actinopterygii,0.08
mari,Actinopterygii,Pomacentridae,Dascyllus aruanus,10,Actinopterygii,Actinopterygii,0.26
mad,Actinopterygii,Gobiidae,Oplopomus oplopomus,10,Actinopterygii,Actinopterygii,0.04
mari,Actinopterygii,Apogonidae,Ostorhinchus novemfasciatus,10,Actinopterygii,Actinopterygii,0.83
mad,Actinopterygii,Pomacentridae,Plectroglyphidodon lacrymatus,10,Actinopterygii,Actinopterygii,0.53
mad,Actinopterygii,Plesiopidae,Plesiops coeruleolineatus,10,Actinopterygii,Actinopterygii,0.27
mari,Actinopterygii,Plesiopidae,Plesiops coeruleolineatus,10,Actinopterygii,Actinopterygii,0.33
mari,Actinopterygii,Pomacentridae,Pomacentrus vaiuli,10,Actinopterygii,Actinopterygii,0.1
haw,Actinopterygii,Scorpaenidae,Sebastapistes coniorta,10,Actinopterygii,Actinopterygii,0.066666667
vir,Actinopterygii,Pomacentridae,Stegastes leucostictus,10,Actinopterygii,Actinopterygii,0.253
mad,Actinopterygii,Apogonidae,Taeniamia fucata,10,Actinopterygii,Actinopterygii,0.08
mad,Actinopterygii,Scorpaenidae,Sebastapistes nuchalis,10.16,Actinopterygii,Actinopterygii,0.18
jap,Actinopterygii,Pomacentridae,Chromis ternatensis,10.5,Actinopterygii,Actinopterygii,0.03
jap,Actinopterygii,Pomacentridae,Amblyglyphidodon curacao,11,Actinopterygii,Actinopterygii,0.15
mad,Actinopterygii,Apogonidae,Ostorhinchus angustatus,11,Actinopterygii,Actinopterygii,0.16
mari,Actinopterygii,Pomacentridae,Plectroglyphidodon dickii,11,Actinopterygii,Actinopterygii,0.22
mad,Actinopterygii,Pomacentridae,Pomacentrus sulfureus,11,Actinopterygii,Actinopterygii,0.33
vir,Actinopterygii,Scorpaenidae,Scorpaena inermis,11,Actinopterygii,Actinopterygii,0.003
mari,Actinopterygii,Tetraodontidae,Canthigaster solandri,11.5,Actinopterygii,Actinopterygii,0.06
mari,Actinopterygii,Pomacentridae,Chrysiptera glauca,11.5,Actinopterygii,Actinopterygii,0.12
mari,Actinopterygii,Gobiidae,Bathygobius fuscus,12,Actinopterygii,Actinopterygii,0.29
mad,Actinopterygii,Bythitidae,Dinematichthys iluocoeteoides,12,Actinopterygii,Actinopterygii,0.08
mari,Actinopterygii,Bythitidae,Dinematichthys iluocoeteoides,12,Actinopterygii,Actinopterygii,0.25
mari,Actinopterygii,Atherinidae,Hypoatherina temminckii,12,Actinopterygii,Actinopterygii,0.14
mad,Actinopterygii,Blenniidae,Plagiotremus rhinorhynchos,12,Actinopterygii,Actinopterygii,0.91
mari,Actinopterygii,Pomacentridae,Plectroglyphidodon leucozonus,12,Actinopterygii,Actinopterygii,0.5
mari,Actinopterygii,Apogonidae,Pristiapogon exostigma,12,Actinopterygii,Actinopterygii,0.25
vir,Actinopterygii,Scorpaenidae,Scorpaenodes caribbaeus,12,Actinopterygii,Actinopterygii,0.077
mad,Actinopterygii,Pomacentridae,Chrysiptera biocellata,12.5,Actinopterygii,Actinopterygii,0.04
mari,Actinopterygii,Pomacentridae,Chrysiptera biocellata,12.5,Actinopterygii,Actinopterygii,0.09
mari,Actinopterygii,Cirrhitidae,Cirrhitichthys aprinus,12.5,Actinopterygii,Actinopterygii,1
mari,Actinopterygii,Labridae,Halichoeres margaritaceus,12.5,Actinopterygii,Actinopterygii,0.06
vir,Actinopterygii,Pomacentridae,Stegastes fuscus,12.6,Actinopterygii,Actinopterygii,0.049
vir,Actinopterygii,Serranidae,Hypoplectrus chlorurus,12.7,Actinopterygii,Actinopterygii,0.25
jap,Actinopterygii,Apogonidae,Cheilodipterus quinquelineatus,13,Actinopterygii,Actinopterygii,0.4
mad,Actinopterygii,Apogonidae,Cheilodipterus quinquelineatus,13,Actinopterygii,Actinopterygii,0.26
mari,Actinopterygii,Apogonidae,Cheilodipterus quinquelineatus,13,Actinopterygii,Actinopterygii,0.61
vir,Actinopterygii,Serranidae,Hypoplectrus aberrans,13,Actinopterygii,Actinopterygii,0.119
vir,Actinopterygii,Opistognathidae,Opistognathus maxillosus,13,Actinopterygii,Actinopterygii,0.227
mad,Actinopterygii,Pomacentridae,Chromis weberi,13.5,Actinopterygii,Actinopterygii,0.02
jap,Actinopterygii,Labridae,Labroides dimidiatus,14,Actinopterygii,Actinopterygii,1
mad,Actinopterygii,Labridae,Labroides dimidiatus,14,Actinopterygii,Actinopterygii,0.44
mari,Actinopterygii,Labridae,Labroides dimidiatus,14,Actinopterygii,Actinopterygii,0.2
vir,Actinopterygii,Opistognathidae,Opistognathus whitehursti,14,Actinopterygii,Actinopterygii,0.22
mad,Actinopterygii,Apogonidae,Ostorhinchus endekataenia,14,Actinopterygii,Actinopterygii,0.04
jap,Actinopterygii,Pomacentridae,Stegastes nigricans,14,Actinopterygii,Actinopterygii,0.19
mari,Actinopterygii,Pomacentridae,Stegastes nigricans,14,Actinopterygii,Actinopterygii,0.05
mad,Actinopterygii,Scorpaenidae,Parascorpaena aurita,15,Actinopterygii,Actinopterygii,0.14
mad,Actinopterygii,Labridae,Stethojulis strigiventer,15,Actinopterygii,Actinopterygii,0.02
vir,Actinopterygii,Serranidae,Hypoplectrus nigricans,15.24,Actinopterygii,Actinopterygii,0.442
vir,Actinopterygii,Serranidae,Hypoplectrus puella,15.24,Actinopterygii,Actinopterygii,0.1
mad,Actinopterygii,Pseudochromidae,Haliophis guttatus,15.5,Actinopterygii,Actinopterygii,0.04
haw,Actinopterygii,Apogonidae,Pristiapogon kallopterus,15.5,Actinopterygii,Actinopterygii,0.083333333
mad,Actinopterygii,Apogonidae,Pristiapogon kallopterus,15.5,Actinopterygii,Actinopterygii,0.16
mari,Actinopterygii,Apogonidae,Pristiapogon kallopterus,15.5,Actinopterygii,Actinopterygii,0.27
mad,Actinopterygii,Pomacentridae,Abudefduf sparoides,16,Actinopterygii,Actinopterygii,0.29
haw,Actinopterygii,Holocentridae,Plectrypops lima,16,Actinopterygii,Actinopterygii,0.1
mari,Actinopterygii,Pomacentridae,Stegastes fasciolatus,16.5,Actinopterygii,Actinopterygii,0.09
mari,Actinopterygii,Platycephalidae,Thysanophrys sp,16.9,Actinopterygii,Actinopterygii,0.14
mari,Actinopterygii,Plesiopidae,Plesiops nigricans,17,Actinopterygii,Actinopterygii,0.68
mad,Actinopterygii,Holocentridae,Sargocentron diadema,17,Actinopterygii,Actinopterygii,0.06
mari,Actinopterygii,Labridae,Thalassoma quinquevittatum,17,Actinopterygii,Actinopterygii,0.29
vir,Actinopterygii,Bothidae,Bothus ocellatus,18,Actinopterygii,Actinopterygii,0.283
mari,Actinopterygii,Pinguipedidae,Parapercis millepunctata,18,Actinopterygii,Actinopterygii,0.29
vir,Actinopterygii,Holocentridae,Sargocentron vexillarium,18,Actinopterygii,Actinopterygii,0.052
mari,Actinopterygii,Gobiidae,Valenciennea strigata,18,Actinopterygii,Actinopterygii,0.05
vir,Actinopterygii,Labridae,Halichoeres garnoti,19.3,Actinopterygii,Actinopterygii,0.03
haw,Actinopterygii,Apogonidae,Pristiapogon taeniopterus,19.6,Actinopterygii,Actinopterygii,0.032258065
jap,Actinopterygii,Pomacentridae,Abudefduf vaigiensis,20,Actinopterygii,Actinopterygii,0.43
vir,Actinopterygii,Antennariidae,Antennarius multiocellatus,20,Actinopterygii,Actinopterygii,0.75
nca,Actinopterygii,Bothidae,Asterorhombus intermedius,20,Actinopterygii,Actinopterygii,0.923076923
vir,Actinopterygii,Labridae,Halichoeres poeyi,20,Actinopterygii,Actinopterygii,0.05
mad,Actinopterygii,Labridae,Halichoeres scapularis,20,Actinopterygii,Actinopterygii,0.05
mari,Actinopterygii,Moringuidae,Moringua macrochir,20,Actinopterygii,Actinopterygii,0.1
haw,Actinopterygii,Labridae,Oxycheilinus orientalis,20,Actinopterygii,Actinopterygii,0.4
haw,Actinopterygii,Cirrhitidae,Paracirrhites arcatus,20,Actinopterygii,Actinopterygii,0.15
mari,Actinopterygii,Cirrhitidae,Paracirrhites arcatus,20,Actinopterygii,Actinopterygii,0.57
mari,Actinopterygii,Holocentridae,Sargocentron microstoma,20,Actinopterygii,Actinopterygii,0.18
mad,Actinopterygii,Labridae,Thalassoma hardwicke,20,Actinopterygii,Actinopterygii,0.23
mari,Actinopterygii,Labridae,Thalassoma hardwicke,20,Actinopterygii,Actinopterygii,0.36
nca,Actinopterygii,Leiognathidae,Gazza minuta,21,Actinopterygii,Actinopterygii,1
nca,Actinopterygii,Bothidae,Grammatobothus polyophthalmus,21,Actinopterygii,Actinopterygii,0.153846154
vir,Actinopterygii,Pomacentridae,Microspathodon chrysurus,21,Actinopterygii,Actinopterygii,0.001
mad,Actinopterygii,Scorpaenidae,Scorpaenopsis gibbosa,21,Actinopterygii,Actinopterygii,2
mari,Actinopterygii,Scorpaenidae,Scorpaenopsis gibbosa,21,Actinopterygii,Actinopterygii,1
haw,Actinopterygii,Chaetodontidae,Forcipiger longirostris,22,Actinopterygii,Actinopterygii,0.045454545
vir,Actinopterygii,Clupeidae,Harengula humeralis,22,Actinopterygii,Actinopterygii,0.605
haw,Actinopterygii,Cirrhitidae,Paracirrhites forsteri,22,Actinopterygii,Actinopterygii,0.666666667
mari,Actinopterygii,Cirrhitidae,Paracirrhites forsteri,22,Actinopterygii,Actinopterygii,1.11
mad,Actinopterygii,Pempheridae,Pempheris oualensis,22,Actinopterygii,Actinopterygii,0.13
mari,Actinopterygii,Pempheridae,Pempheris oualensis,22,Actinopterygii,Actinopterygii,0.06
nca,Actinopterygii,Mullidae,Upeneus moluccensis,22,Actinopterygii,Actinopterygii,0.195121951
vir,Actinopterygii,Pomacentridae,Abudefduf saxatilis,22.9,Actinopterygii,Actinopterygii,0.045
vir,Actinopterygii,Haemulidae,Haemulon chrysargyreum,23,Actinopterygii,Actinopterygii,0.004
vir,Actinopterygii,Haemulidae,Haemulon vittatum,23,Actinopterygii,Actinopterygii,0.033
vir,Actinopterygii,Clinidae,Labrisomus nuchipinnis,23,Actinopterygii,Actinopterygii,0.105
jap,Actinopterygii,Pinguipedidae,Parapercis cylindrica,23,Actinopterygii,Actinopterygii,0.16
vir,Actinopterygii,Sciaenidae,Pareques acuminatus,23,Actinopterygii,Actinopterygii,0.037
mad,Actinopterygii,Labridae,Thalassoma hebraicum,23,Actinopterygii,Actinopterygii,0.11
jap,Actinopterygii,Pseudochromidae,Labracinus cyclophthalmus,23.5,Actinopterygii,Actinopterygii,1.1
mari,Actinopterygii,Pomacentridae,Abudefduf sordidus,24,Actinopterygii,Actinopterygii,0.22
nca,Actinopterygii,Synodontidae,Synodus dermatogenys,24,Actinopterygii,Actinopterygii,1
vir,Actinopterygii,Antennariidae,Antennarius striatus,25,Actinopterygii,Actinopterygii,1
nca,Actinopterygii,Apogonidae,Cheilodipterus macrodon,25,Actinopterygii,Actinopterygii,0.25
jap,Actinopterygii,Lethrinidae,Lethrinus genivittatus,25,Actinopterygii,Actinopterygii,0.2
nca,Actinopterygii,Lethrinidae,Lethrinus genivittatus,25,Actinopterygii,Actinopterygii,0.142857143
vir,Actinopterygii,Labridae,Thalassoma bifasciatum,25,Actinopterygii,Actinopterygii,0.087
nca,Actinopterygii,Mullidae,Upeneus tragula,25,Actinopterygii,Actinopterygii,0.015384615
nca,Actinopterygii,Synodontidae,Synodus sp,25.0233333333,Actinopterygii,Actinopterygii,0.2
haw,Actinopterygii,Holocentridae,Myripristis kuntee,26,Actinopterygii,Actinopterygii,0.136363636
nca,Actinopterygii,Synodontidae,Synodus hoshinonis,26,Actinopterygii,Actinopterygii,1
haw,Actinopterygii,Holocentridae,Myripristis amaena,26.5,Actinopterygii,Actinopterygii,0.214285714
vir,Actinopterygii,Sciaenidae,Equetus punctatus,27,Actinopterygii,Actinopterygii,0.004
mari,Actinopterygii,Labridae,Halichoeres trimaculatus,27,Actinopterygii,Actinopterygii,0.12
nca,Actinopterygii,Monodactylidae,Monodactylus argenteus,27,Actinopterygii,Actinopterygii,0.142857143
mad,Actinopterygii,Serranidae,Epinephelus hexagonatus,27.5,Actinopterygii,Actinopterygii,0.6
mari,Actinopterygii,Serranidae,Epinephelus hexagonatus,27.5,Actinopterygii,Actinopterygii,3
mari,Actinopterygii,Serranidae,Cephalopholis urodeta,28,Actinopterygii,Actinopterygii,0.42
haw,Actinopterygii,Labridae,Thalassoma duperrey,28,Actinopterygii,Actinopterygii,0.041666667
nca,Actinopterygii,Mullidae,Upeneus vittatus,28,Actinopterygii,Actinopterygii,0.040816327
nca,Actinopterygii,Nemipteridae,Nemipterus peronii,29,Actinopterygii,Actinopterygii,0.285714286
jap,Actinopterygii,Pinguipedidae,Parapercis hexophtalma,29,Actinopterygii,Actinopterygii,0.54
vir,Actinopterygii,Serranidae,Serranus tigrinus,29,Actinopterygii,Actinopterygii,0.097
nca,Actinopterygii,Nemipteridae,Nemipterus zysron,29.7,Actinopterygii,Actinopterygii,0.188505747
nca,Actinopterygii,Carangidae,Atule mate,30,Actinopterygii,Actinopterygii,0.75
mad,Actinopterygii,Balistidae,Balistapus undulatus,30,Actinopterygii,Actinopterygii,0.16
mari,Actinopterygii,Balistidae,Balistapus undulatus,30,Actinopterygii,Actinopterygii,0.6
nca,Actinopterygii,Serranidae,Cephalopholis boenak,30,Actinopterygii,Actinopterygii,1
mari,Actinopterygii,Lethrinidae,Gnathodentex aureolineatus,30,Actinopterygii,Actinopterygii,0.5
mari,Actinopterygii,Labridae,Gomphosus varius,30,Actinopterygii,Actinopterygii,0.05
mad,Actinopterygii,Serranidae,Grammistes sexlineatus,30,Actinopterygii,Actinopterygii,0.66
vir,Actinopterygii,Sciaenidae,Odontoscion dentex,30,Actinopterygii,Actinopterygii,0.378
vir,Actinopterygii,Mullidae,Pseudupeneus maculatus,30,Actinopterygii,Actinopterygii,0.043
mari,Actinopterygii,Balistidae,Rhinecanthus aculeatus,30,Actinopterygii,Actinopterygii,0.18
nca,Actinopterygii,Nemipteridae,Scolopsis taenioptera,30,Actinopterygii,Actinopterygii,0.005813953
vir,Actinopterygii,Scorpaenidae,Scorpaena grandicornis,30,Actinopterygii,Actinopterygii,0.125
jap,Actinopterygii,Siganidae,Siganus virgatus,30,Actinopterygii,Actinopterygii,0.04
vir,Actinopterygii,Tetraodontidae,Sphoeroides spengleri,30,Actinopterygii,Actinopterygii,0.007
mad,Actinopterygii,Balistidae,Sufflamen chrysopterum,30,Actinopterygii,Actinopterygii,0.09
haw,Actinopterygii,Labridae,Thalassoma trilobatum,30,Actinopterygii,Actinopterygii,0.071428571
nca,Actinopterygii,Sillaginidae,Sillago sihama,31,Actinopterygii,Actinopterygii,0.057692308
mad,Actinopterygii,Tetraodontidae,Canthigaster margaritata,31.2,Actinopterygii,Actinopterygii,0.03
jap,Actinopterygii,Serranidae,Epinephelus merra,32,Actinopterygii,Actinopterygii,1.1
mad,Actinopterygii,Serranidae,Epinephelus merra,32,Actinopterygii,Actinopterygii,0.99
mari,Actinopterygii,Serranidae,Epinephelus merra,32,Actinopterygii,Actinopterygii,0.6
nca,Actinopterygii,Serranidae,Epinephelus merra,32,Actinopterygii,Actinopterygii,0.295454545
haw,Actinopterygii,Holocentridae,Neoniphon sammara,32,Actinopterygii,Actinopterygii,0.117647059
mad,Actinopterygii,Holocentridae,Neoniphon sammara,32,Actinopterygii,Actinopterygii,0.18
nca,Actinopterygii,Holocentridae,Neoniphon sammara,32,Actinopterygii,Actinopterygii,0.125
nca,Actinopterygii,Holocentridae,Sargocentron rubrum,32,Actinopterygii,Actinopterygii,0.1125
jap,Actinopterygii,Synodontidae,Saurida gracilis,32,Actinopterygii,Actinopterygii,1
mad,Actinopterygii,Synodontidae,Saurida gracilis,32,Actinopterygii,Actinopterygii,1.92
mari,Actinopterygii,Synodontidae,Saurida gracilis,32,Actinopterygii,Actinopterygii,1.08
nca,Actinopterygii,Synodontidae,Saurida gracilis,32,Actinopterygii,Actinopterygii,1
vir,Actinopterygii,Serranidae,Alphestes afer,33,Actinopterygii,Actinopterygii,0.07
haw,Actinopterygii,Holocentridae,Sargocentron tiere,33,Actinopterygii,Actinopterygii,0.090909091
vir,Actinopterygii,Labridae,Halichoeres bivittatus,35,Actinopterygii,Actinopterygii,0.032
vir,Actinopterygii,Holocentridae,Holocentrus rufus,35,Actinopterygii,Actinopterygii,0.012
nca,Actinopterygii,Lethrinidae,Lethrinus semicinctus,35,Actinopterygii,Actinopterygii,0.52173913
jap,Actinopterygii,Lutjanidae,Lutjanus fulviflamma,35,Actinopterygii,Actinopterygii,0.64
mad,Actinopterygii,Lutjanidae,Lutjanus fulviflamma,35,Actinopterygii,Actinopterygii,0.44
nca,Actinopterygii,Lutjanidae,Lutjanus fulviflamma,35,Actinopterygii,Actinopterygii,0.485915493
nca,Actinopterygii,Lutjanidae,Lutjanus semicinctus,35,Actinopterygii,Actinopterygii,0.5
vir,Actinopterygii,Carangidae,Oligoplites saurus,35,Actinopterygii,Actinopterygii,0.987
haw,Actinopterygii,Mullidae,Parupeneus trifasciatus,35,Actinopterygii,Actinopterygii,0.590909091
jap,Actinopterygii,Mullidae,Parupeneus trifasciatus,35,Actinopterygii,Actinopterygii,0.08
mari,Actinopterygii,Mullidae,Parupeneus trifasciatus,35,Actinopterygii,Actinopterygii,0.2
nca,Actinopterygii,Scorpaenidae,Pterois lunulata,35,Actinopterygii,Actinopterygii,0.25
vir,Actinopterygii,Serranidae,Rypticus saponaceus,35,Actinopterygii,Actinopterygii,0.479
vir,Actinopterygii,Haemulidae,Haemulon carbonarium,36,Actinopterygii,Actinopterygii,0.007
nca,Actinopterygii,Mullidae,Parupeneus heptacanthus,36,Actinopterygii,Actinopterygii,0.086206897
nca,Actinopterygii,Terapontidae,Terapon jarbua,36,Actinopterygii,Actinopterygii,0.571428571
vir,Actinopterygii,Belonidae,Platybelone argalus,37,Actinopterygii,Actinopterygii,0.97
mari,Actinopterygii,Hemiramphidae,Hyporhamphus affinis,38,Actinopterygii,Actinopterygii,0.3
mari,Actinopterygii,Hemiramphidae,Hyporhamphus dussumieri,38,Actinopterygii,Actinopterygii,0.47
nca,Actinopterygii,Lutjanidae,Lutjanus quinquelineatus,38,Actinopterygii,Actinopterygii,0.08401084
vir,Actinopterygii,Ogcocephalidae,Ogcocephalus nasutus,38,Actinopterygii,Actinopterygii,0.088
vir,Actinopterygii,Clupeidae,Opisthonema oglinum,38,Actinopterygii,Actinopterygii,0.098
mad,Actinopterygii,Scorpaenidae,Pterois volitans,38,Actinopterygii,Actinopterygii,1.12
mari,Actinopterygii,Muraenidae,Gymnothorax buroensis,38.7,Actinopterygii,Actinopterygii,0.1
mad,Actinopterygii,Bothidae,Bothus pantherinus,39,Actinopterygii,Actinopterygii,0.24
mad,Actinopterygii,Serranidae,Epinephelus fasciatus,40,Actinopterygii,Actinopterygii,0.4
nca,Actinopterygii,Serranidae,Epinephelus fasciatus,40,Actinopterygii,Actinopterygii,0.127659574
nca,Actinopterygii,Serranidae,Epinephelus ongus,40,Actinopterygii,Actinopterygii,0.75
vir,Actinopterygii,Hemiramphidae,Hemiramphus balao,40,Actinopterygii,Actinopterygii,0.391
mari,Actinopterygii,Lutjanidae,Lutjanus fulvus,40,Actinopterygii,Actinopterygii,0.5
nca,Actinopterygii,Lutjanidae,Lutjanus fulvus,40,Actinopterygii,Actinopterygii,0.178571429
nca,Actinopterygii,Lutjanidae,Lutjanus kasmira,40,Actinopterygii,Actinopterygii,0.074074074
mari,Actinopterygii,Lutjanidae,Lutjanus vitta,40,Actinopterygii,Actinopterygii,0.22
nca,Actinopterygii,Lutjanidae,Lutjanus vitta,40,Actinopterygii,Actinopterygii,0.359281437
mad,Actinopterygii,Mullidae,Parupeneus macronemus,40,Actinopterygii,Actinopterygii,0.14
jap,Actinopterygii,Siganidae,Siganus punctatus,40,Actinopterygii,Actinopterygii,0.17
haw,Actinopterygii,Synodontidae,Synodus variegatus,40,Actinopterygii,Actinopterygii,1.2
mad,Actinopterygii,Synodontidae,Synodus variegatus,40,Actinopterygii,Actinopterygii,1.97
mari,Actinopterygii,Synodontidae,Synodus variegatus,40,Actinopterygii,Actinopterygii,0.99
nca,Actinopterygii,Synodontidae,Synodus variegatus,40,Actinopterygii,Actinopterygii,1
nca,Actinopterygii,Carangidae,Carangoides coeruleopinnatus,41,Actinopterygii,Actinopterygii,1
vir,Actinopterygii,Serranidae,Cephalopholis cruentata,42.6,Actinopterygii,Actinopterygii,0.662
mari,Actinopterygii,Mullidae,Mulloidichthys flavolineatus,43,Actinopterygii,Actinopterygii,0.28
nca,Actinopterygii,Mullidae,Mulloidichthys flavolineatus,43,Actinopterygii,Actinopterygii,0.272727273
nca,Actinopterygii,Lethrinidae,Gymnocranius sp,43.6,Actinopterygii,Actinopterygii,0.025316456
vir,Actinopterygii,Serranidae,Cephalopholis fulva,44,Actinopterygii,Actinopterygii,0.46
mari,Actinopterygii,Labridae,Cheilinus trilobatus,45,Actinopterygii,Actinopterygii,0.65
nca,Actinopterygii,Lethrinidae,Gymnocranius euanus,45,Actinopterygii,Actinopterygii,0.022624434
mari,Actinopterygii,Ostraciidae,Ostracion cubicus,45,Actinopterygii,Actinopterygii,0.16
nca,Actinopterygii,Mullidae,Parupeneus indicus,45,Actinopterygii,Actinopterygii,0.03125
nca,Actinopterygii,Priacanthidae,Priacanthus hamrur,45,Actinopterygii,Actinopterygii,0.1
vir,Actinopterygii,Scorpaenidae,Scorpaena plumieri,45,Actinopterygii,Actinopterygii,0.422
vir,Actinopterygii,Bothidae,Bothus lunatus,46,Actinopterygii,Actinopterygii,0.857
vir,Actinopterygii,Haemulidae,Haemulon sciurus,46,Actinopterygii,Actinopterygii,0.029
vir,Actinopterygii,Synodontidae,Synodus intermedius,46,Actinopterygii,Actinopterygii,0.945
nca,Actinopterygii,Serranidae,Epinephelus areolatus,47,Actinopterygii,Actinopterygii,0.147058824
vir,Actinopterygii,Lutjanidae,Lutjanus mahogoni,48,Actinopterygii,Actinopterygii,0.75
vir,Actinopterygii,Synodontidae,Synodus foetens,48.3,Actinopterygii,Actinopterygii,1
nca,Actinopterygii,Serranidae,Cephalopholis miniata,50,Actinopterygii,Actinopterygii,0.714285714
jap,Actinopterygii,Labridae,Cheilio inermis,50,Actinopterygii,Actinopterygii,0.9
mad,Actinopterygii,Labridae,Cheilio inermis,50,Actinopterygii,Actinopterygii,0.11
mad,Actinopterygii,Platycephalidae,Cociella crocodilus,50,Actinopterygii,Actinopterygii,1.8
nca,Actinopterygii,Platycephalidae,Cymbacephalus staigeri,50,Actinopterygii,Actinopterygii,1
vir,Actinopterygii,Dactylopteridae,Dactylopterus volitans,50,Actinopterygii,Actinopterygii,0.05
nca,Actinopterygii,Lethrinidae,Lethrinus atkinsoni,50,Actinopterygii,Actinopterygii,0.122470714
mad,Actinopterygii,Lethrinidae,Lethrinus harak,50,Actinopterygii,Actinopterygii,0.05
nca,Actinopterygii,Lethrinidae,Lethrinus harak,50,Actinopterygii,Actinopterygii,0.128205128
nca,Actinopterygii,Lethrinidae,Lethrinus rubrioperculatus,50,Actinopterygii,Actinopterygii,0.176322418
nca,Actinopterygii,Lutjanidae,Lutjanus adetii,50,Actinopterygii,Actinopterygii,0.231578947
mari,Actinopterygii,Lutjanidae,Lutjanus gibbus,50,Actinopterygii,Actinopterygii,0.04
nca,Actinopterygii,Lutjanidae,Lutjanus gibbus,50,Actinopterygii,Actinopterygii,0.152112676
nca,Actinopterygii,Lutjanidae,Lutjanus russellii,50,Actinopterygii,Actinopterygii,0.612244898
vir,Actinopterygii,Balistidae,Melichthys niger,50,Actinopterygii,Actinopterygii,0.031
haw,Actinopterygii,Mullidae,Parupeneus cyclostomus,50,Actinopterygii,Actinopterygii,0.866666667
mari,Actinopterygii,Mullidae,Parupeneus cyclostomus,50,Actinopterygii,Actinopterygii,1.5
jap,Actinopterygii,Mullidae,Parupeneus spilurus,50,Actinopterygii,Actinopterygii,0.32
vir,Actinopterygii,Priacanthidae,Priacanthus arenatus,50,Actinopterygii,Actinopterygii,0.375
nca,Actinopterygii,Synodontidae,Saurida undosquamis,50,Actinopterygii,Actinopterygii,0.920833333
nca,Actinopterygii,Sphyraenidae,Sphyraena pinguis,50,Actinopterygii,Actinopterygii,1
vir,Actinopterygii,Carangidae,Trachinotus goodei,50,Actinopterygii,Actinopterygii,0.852
haw,Actinopterygii,Priacanthidae,Heteropriacanthus cruentatus,50.7,Actinopterygii,Actinopterygii,0.285714286
mari,Actinopterygii,Priacanthidae,Heteropriacanthus cruentatus,50.7,Actinopterygii,Actinopterygii,0.46
vir,Actinopterygii,Priacanthidae,Heteropriacanthus cruentatus,50.7,Actinopterygii,Actinopterygii,0.287
mari,Actinopterygii,Bothidae,Bothus mancus,51,Actinopterygii,Actinopterygii,1.12
mad,Actinopterygii,Serranidae,Epinephelus macrospilos,51,Actinopterygii,Actinopterygii,0.25
nca,Actinopterygii,Serranidae,Epinephelus macrospilos,51,Actinopterygii,Actinopterygii,0.173913043
mari,Actinopterygii,Holocentridae,Sargocentron spiniferum,51,Actinopterygii,Actinopterygii,0.12
nca,Actinopterygii,Holocentridae,Sargocentron spiniferum,51,Actinopterygii,Actinopterygii,0.085714286
haw,Actinopterygii,Scorpaenidae,Scorpaenopsis cacopsis,51,Actinopterygii,Actinopterygii,0.666666666
nca,Actinopterygii,Sillaginidae,Sillago ciliata,51,Actinopterygii,Actinopterygii,0.285714286
nca,Actinopterygii,Lethrinidae,Lethrinus lentjan,52,Actinopterygii,Actinopterygii,0.058139535
nca,Actinopterygii,Albulidae,Albula sp,52.8122222222,Actinopterygii,Actinopterygii,0.125
vir,Actinopterygii,Haemulidae,Haemulon plumierii,53,Actinopterygii,Actinopterygii,0.033
jap,Actinopterygii,Labridae,Epibulus insidiator,54,Actinopterygii,Actinopterygii,0.5
mari,Actinopterygii,Serranidae,Epinephelus howlandi,55,Actinopterygii,Actinopterygii,0.75
nca,Actinopterygii,Serranidae,Epinephelus howlandi,55,Actinopterygii,Actinopterygii,0.333333333
mad,Actinopterygii,Serranidae,Epinephelus longispinis,55,Actinopterygii,Actinopterygii,0.5
vir,Actinopterygii,Hemiramphidae,Hemiramphus brasiliensis,55,Actinopterygii,Actinopterygii,0.19
nca,Actinopterygii,Sphyraenidae,Sphyraena obtusata,55,Actinopterygii,Actinopterygii,1
